Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,OPS,BB,IBB,SO,HBP,AB,H,1B,2B,3B,BB%,K%,BB/K,OPS,WPA,Clutch,EV,Barrel%,maxEV,HardHit%,xBA,xSLG,BatSpd,SqUpSw%,O-Swing% (mlb),Z-Swing% (mlb),Swing% (sc),O-Contact% (mlb),Z-Contact% (mlb),Contact% (sc),Zone% (mlb),NameASCII,PlayerId,MLBAMID
"Maverick Handley","BAL",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.2476492678968328,0,-0.02202603395662039,0,0,0,1,0,1,0,0,0,0,0,1,0,0,-0.0000020003319605166325,,,,,,,,67.77898661295573,0,0.66666667,1,0.75,0.5,0,0.33333333,0.25,"Maverick Handley",26106,668974
"Ryan Ritter","COL",6,7,0,1,0,0,0,0.428571428,0,0.25,0.142857142,0.142857142,0.142857142,0.12832741226468766,0.16585714476449148,-40.984463075429915,-0.14104192098602653,-1.2846780856364066,0.8315388914197683,-0.02415591186786075,0.285714284,0,0,3,0,7,1,1,0,0,0,0.428571428,0,0.285714284,-0.2700119912624359,-0.05261900317236751,90.57499694824219,0,96,0.25,0.16700000422341482,0.2140000036784581,70.34750162760416,0.26666667,0.45454545,0.92857143,0.72,0.6,0.69230769,0.66666667,0.56,"Ryan Ritter",31500,690022
"Yohel Pozo","STL",17,32,0,0,5,0,0,0.0625,0.03125,0.266666666,0.25,0.25,0.28125,0.23645356111228466,0.2562413873343632,48.50281434524296,-0.09655260154977441,-2.00619504770411,-0.09151247330009937,-0.11313876649265217,0.53125,0,0,2,0,32,8,7,1,0,0,0.0625,0,0.53125,0.36473581194877625,0.33453482430518044,87.5933349609375,0,104.9,0.26666667,0.2698275796298323,0.31789654698865166,70.01422797309027,0.25925926,0.52173913,0.77777778,0.66,0.83333333,0.95238095,0.90909091,0.54,"Yohel Pozo",18848,650968
"Andy Ibáñez","- - -",14,26,0,1,5,0,0.038461538,0.115384615,0,0.09090909,0.086956521,0.115384615,0.086956521,0.0960942254616664,0.16379200265957758,-46.930489007951934,-0.015843008179217577,-4.55013556122125,-1.8980182111263275,-0.5764093388083196,0.202341136,1,0,3,0,23,2,2,0,0,0.038461538,0.115384615,0.333333333,0.202341136,-0.406330406665802,0.03573278773262739,86.25454434481534,0,105.1,0.18181818,0.15186956524848938,0.20513042678003726,70.70595650050952,0.30434783,0.51428571,0.77272727,0.65822785,0.77777778,0.85294118,0.82692308,0.55696203,"Andy Ibanez",18819,628451
"Ronny Mauricio","NYM",10,32,1,3,2,0,0,0.375,0.09375,0.315789473,0.21875,0.21875,0.3125,0.23374247178435326,0.22431249916553497,47.81400169716768,-0.15563120786100626,-2.0908165230767897,-1.664181798696518,-0.2845789327191509,0.53125,0,0,12,0,32,7,6,0,0,0,0.375,0,0.53125,0.02635214664041996,0.19957744633183397,89.75,0.1,111.3,0.35,0.1965624988079071,0.3297500014305115,75.28987862723214,0.15714286,0.53623188,0.77358491,0.63934426,0.54054054,0.87804878,0.71794872,0.43442623,"Ronny Mauricio",23698,677595
"Braden Shewmake","HOU",24,67,3,7,7,0,0.014925373,0.164179104,0.1875,0.3,0.28125,0.292307692,0.46875,0.33210468200536875,0.28063264440317626,111.56270783129163,-0.21533070830628276,0.6831481430680435,-1.4449729919433594,0.16187643748071295,0.761057692,1,0,11,0,64,18,12,3,0,0.014925373,0.164179104,0.09090909,0.761057692,0.11342941969633102,0.03107489589756282,89.64808067908653,0.05454545,107.1,0.32727273,0.24986666043599445,0.3887166659037272,69.27883780715813,0.2991453,0.57407407,0.70192308,0.63679245,0.72580645,0.84931507,0.79259259,0.49056604,"Braden Shewmake",25817,669699
"Tyler Tolbert","KCR",11,6,0,2,0,3,0,0.166666666,0,0.2,0.166666666,0.166666666,0.166666666,0.14971531430880228,0.2240000009536743,-16.115975131153263,0.18478375021368265,-0.6232262363659717,-0.03840212058275938,-0.046889022890357936,0.333333332,0,0,1,0,6,1,1,0,0,0,0.166666666,0,0.333333332,-0.033829934895038605,-0.022826500653607414,77.34000244140626,0,102.8,0.4,0.24099998474121093,0.2635999917984009,71.76872253417969,0.25,0.22222222,1,0.63157895,0,0.9,0.75,0.52631579,"Tyler Tolbert",25779,686475
"Billy Cook","PIT",32,21,0,5,0,3,0,0.38095238,0,0.307692307,0.19047619,0.19047619,0.19047619,0.1711032163529169,0.13857143265860422,-0.04374243003553616,0.017170647159218788,-2.4174304300263376,0.19988426566123962,-0.16123773699663152,0.38095238,0,0,8,0,21,4,4,0,0,0,0.38095238,0,0.38095238,-0.06930671632289886,0.12723893276306336,84.51818292791194,0,103.7,0.15384615,0.14671428998311362,0.17176191012064615,72.91728659237133,0.17647059,0.55555556,0.68421053,0.63076923,0.6,0.84615385,0.75609756,0.58461538,"Billy Cook",29573,695257
"Ryan Mountcastle","BAL",8,15,0,0,1,0,0.066666666,0.133333333,0.071428572,0.333333333,0.285714285,0.333333333,0.357142857,0.3116808334986369,0.30090614954630535,98.53313775360587,-0.02164676965912804,-0.04716520807133601,-0.5016873478889465,-0.0028920998173106657,0.69047619,1,0,2,0,14,4,3,1,0,0.066666666,0.133333333,0.5,0.69047619,-0.0014381343498826027,0.03001016295224573,90.04166666666667,0,111,0.41666667,0.279071433203561,0.34785713468279156,74.38171780493951,0.16129032,0.44827586,0.84,0.62962963,0.76923077,1,0.91176471,0.46296296,"Ryan Mountcastle",18373,663624
"Gage Workman","DET",13,34,2,3,5,0,0,0.470588235,0.264705882,0.25,0.176470588,0.176470588,0.44117647,0.2621682268731734,0.3466874957084656,63.154587398425456,-0.8467573239468038,-2.299657731599823,-1.9939507208764553,-0.322018530329031,0.617647058,0,0,16,0,34,6,1,3,0,0,0.470588235,0,0.617647058,-0.13749797642230988,0.08251487840569294,94.97777642144098,0.27777778,109,0.55555556,0.2515625059604645,0.5764374732971191,70.77895938648896,0.22058824,0.45588235,0.83333333,0.62295082,0.4516129,0.84444444,0.68421053,0.44262295,"Gage Workman",27573,669398
