Name,Team,PA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Jhostynxon Garcia","PIT",18,0.41935484,0.82608696,0.59259259,0.76923077,0.68421053,0.71875,0.42592593,22.66666667,"Jhostynxon Garcia",28142,691373
"Michael Stefanic","ATH",5,0.33333333,0.6,0.5,1,0.83333333,0.875,0.625,21.90909091,"Michael Stefanic",25353,683021
"Chadwick Tromp","ATL",12,0.48275862,0.52380952,0.5,0.57142857,1,0.76,0.42,21.76315789,"Chadwick Tromp",16953,644433
"Scott Kingery","CHC",4,0.44444444,0.66666667,0.53333333,1,0.75,0.875,0.4,21.36363636,"Scott Kingery",17975,664068
"Ryan Mountcastle","BAL",15,0.44827586,0.84,0.62962963,0.76923077,1,0.91176471,0.46296296,21.15384615,"Ryan Mountcastle",18373,663624
"Kyle Tucker","LAD",220,0.2280285,0.75175644,0.49174528,0.5625,0.85669782,0.78896882,0.50353774,21.13099042,"Kyle Tucker",18345,663656
"Jeff McNeil","ATH",183,0.3079096,0.79090909,0.54093567,0.69724771,0.93103448,0.86216216,0.48245614,20.91348089,"Jeff McNeil",15362,643446
"Max Schuemann","NYY",19,0.16666667,0.71428571,0.40625,0.55555556,0.8,0.74358974,0.4375,20.73684211,"Max Schuemann",24488,680474
"Dylan Moore","PHI",15,0.26086957,0.6,0.40740741,0.5,0.80952381,0.6969697,0.43209877,20.6969697,"Dylan Moore",18042,664238
"Jeferson Quero","MIL",2,0.28571429,0,0.25,0.5,,0.5,0.125,20.66666667,"Jeferson Quero",28272,691620
"José Caballero","NYY",154,0.33012821,0.66089965,0.48918469,0.69902913,0.80628272,0.76870748,0.48086522,20.52455357,"Jose Caballero",23401,676609
"Weston Wilson","BAL",42,0.26666667,0.62650602,0.43930636,0.33333333,0.88461538,0.71052632,0.47976879,20.51908397,"Weston Wilson",19358,642215
"Victor Robles","SEA",15,0.33333333,0.62962963,0.46666667,0.63636364,0.76470588,0.71428571,0.45,20.51111111,"Victor Robles",18363,645302
"Austin Hays","CHW",44,0.39361702,0.70833333,0.53012048,0.45945946,0.78431373,0.64772727,0.43373494,20.47933884,"Austin Hays",19363,669720
"Bryan Reynolds","PIT",227,0.23505155,0.66903073,0.43722467,0.39473684,0.87279152,0.73551637,0.46585903,20.47584187,"Bryan Reynolds",19326,668804
"Derek Hill","CHW",67,0.33103448,0.65811966,0.47709924,0.54166667,0.80519481,0.704,0.44656489,20.47150259,"Derek Hill",16947,656537
"Will Brennan","SFG",20,0.5,0.76666667,0.62903226,0.9375,1,0.97435897,0.48387097,20.46511628,"Will Brennan",25660,686823
"Jake Mangum","PIT",103,0.485,0.73006135,0.59504132,0.78350515,0.81512605,0.80092593,0.44903581,20.43190661,"Jake Mangum",26202,663968
"Vinnie Pasquantino","KCR",214,0.32251082,0.64075067,0.46467066,0.75838926,0.89958159,0.84536082,0.44670659,20.4267101,"Vinnie Pasquantino",27676,686469
"Wade Meckler","LAA",8,0.27272727,0.625,0.48148148,0.33333333,0.8,0.69230769,0.59259259,20.42105263,"Wade Meckler",31490,685133
"Ronny Mauricio","NYM",32,0.53623188,0.77358491,0.63934426,0.54054054,0.87804878,0.71794872,0.43442623,20.4,"Ronny Mauricio",23698,677595
"Tyler Freeman","COL",124,0.28767123,0.64705882,0.46818182,0.79365079,0.93706294,0.89320388,0.50227273,20.33440514,"Tyler Freeman",22532,671289
"Ty France","SDP",90,0.34899329,0.75842697,0.57186544,0.57692308,0.83703704,0.76470588,0.54434251,20.33333333,"Ty France",17982,664034
"Anthony Volpe","NYY",30,0.22666667,0.68,0.408,0.58823529,0.85294118,0.76470588,0.4,20.32631579,"Anthony Volpe",27647,683011
"Elias Díaz","KCR",23,0.37777778,0.81578947,0.57831325,0.58823529,0.80645161,0.72916667,0.45783133,20.31666667,"Elias Diaz",11680,553869
"Josh Naylor","SEA",216,0.35768262,0.76415094,0.53846154,0.70422535,0.87654321,0.81298701,0.44475524,20.28952772,"Josh Naylor",18839,647304
"Nathan Lukes","TOR",56,0.44036697,0.65217391,0.54910714,0.89583333,0.88,0.88617886,0.51339286,20.28915663,"Nathan Lukes",18123,664770
"Victor Bericoto","SFG",3,0.33333333,0.875,0.64285714,0.5,1,0.88888889,0.57142857,20.27272727,"Victor Bericoto",26468,682674
"Kevin Alcántara","CHC",1,0,0.66666667,0.4,,0.5,0.5,0.6,20.25,"Kevin Alcantara",25971,682634
"Rafael Marchán","PHI",61,0.31192661,0.62096774,0.47639485,0.64705882,0.92207792,0.83783784,0.53218884,20.23837209,"Rafael Marchan",21646,665561
"Miguel Rojas","LAD",88,0.34254144,0.68115942,0.48902821,0.75806452,0.87234043,0.82692308,0.43260188,20.2,"Miguel Rojas",7802,500743
"Alika Williams","ATH",5,0.27272727,0.7,0.47619048,0.66666667,1,0.9,0.47619048,20.2,"Alika Williams",27604,675961
"Jace Jung","DET",8,0.17647059,0.75,0.45454545,0.66666667,1,0.93333333,0.48484848,20.2,"Jace Jung",31437,690291
"Eric Haase","SFG",26,0.37777778,0.72916667,0.55913978,0.41176471,0.8,0.67307692,0.51612903,20.19402985,"Eric Haase",14111,606992
"George Springer","TOR",148,0.27419355,0.77338129,0.51020408,0.51764706,0.8744186,0.77333333,0.47278912,20.15909091,"George Springer",12856,543807
"Jared Oliva","SFG",7,0.33333333,0.6,0.48148148,0.5,1,0.84615385,0.55555556,20.1,"Jared Oliva",19968,666931
"Jose Altuve","HOU",185,0.33333333,0.63728814,0.46898638,0.63934426,0.85638298,0.77096774,0.44629349,20.09915612,"Jose Altuve",5417,514888
"Shay Whitcomb","HOU",18,0.43589744,0.75,0.55555556,0.23529412,0.83333333,0.54285714,0.38095238,20.06666667,"Shay Whitcomb",27789,694376
"Christian Koss","SFG",15,0.35294118,0.77272727,0.58974359,0.5,0.82352941,0.73913043,0.56410256,20.04166667,"Christian Koss",27653,683766
"Colton Cowser","BAL",105,0.3,0.60280374,0.44273128,0.5,0.75968992,0.66666667,0.47136564,20.03735632,"Colton Cowser",29591,681297
"Dillon Dingler","DET",195,0.33906634,0.63760218,0.48062016,0.64492754,0.90598291,0.80913978,0.47416021,20.01036269,"Dillon Dingler",27464,693307
"Matt Shaw","CHC",104,0.36818182,0.625,0.49047619,0.69135802,0.904,0.82038835,0.47619048,20.00319489,"Matt Shaw",33322,807713
"Billy Cook","PIT",21,0.55555556,0.68421053,0.63076923,0.6,0.84615385,0.75609756,0.58461538,19.97727273,"Billy Cook",29573,695257
"Tristan Peters","CHW",140,0.33969466,0.7148289,0.52761905,0.68539326,0.84574468,0.79422383,0.50095238,19.96363636,"Tristan Peters",30063,671976
"Carlos Cortes","ATH",142,0.22903226,0.68214286,0.4440678,0.73239437,0.86910995,0.83206107,0.47457627,19.96188341,"Carlos Cortes",21842,666126
"Max Muncy","LAD",190,0.24615385,0.64322917,0.44315245,0.53125,0.80566802,0.72886297,0.49612403,19.95883362,"Max Muncy",13301,571970
"José Fermín","STL",65,0.19858156,0.53521127,0.36749117,0.82142857,0.88157895,0.86538462,0.50176678,19.95391705,"Jose Fermin",21746,665877
"Jesús Sánchez","TOR",165,0.3993808,0.72881356,0.5566343,0.68217054,0.83255814,0.77616279,0.47734628,19.94456763,"Jesus Sanchez",19913,660821
"Tyler Heineman","TOR",73,0.43333333,0.66141732,0.55060729,0.63461538,0.89285714,0.79411765,0.51417004,19.93678161,"Tyler Heineman",13897,623168
"Patrick Bailey","- - -",111,0.28033473,0.6803653,0.47161572,0.50746269,0.87919463,0.76388889,0.47816594,19.93043478,"Patrick Bailey",27478,672275
"Dansby Swanson","CHC",198,0.25116279,0.68956044,0.45214106,0.5,0.80876494,0.71587744,0.45843829,19.92087542,"Dansby Swanson",18314,621020
"Xander Bogaerts","SDP",200,0.27411168,0.62864721,0.44747082,0.63888889,0.8649789,0.7942029,0.48897536,19.91068301,"Xander Bogaerts",12161,593428
"Luis Matos","MIL",21,0.5,0.73333333,0.59722222,0.47619048,0.90909091,0.69767442,0.41666667,19.90196078,"Luis Matos",26467,682641
"Justin Foscue","TEX",49,0.32631579,0.54444444,0.43243243,0.58064516,0.85714286,0.75,0.48648649,19.88888889,"Justin Foscue",27501,679822
