Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"William Kempner","MIA",1,0.33333333,0.6,0.5,0,1,0.75,0.625,24.2,"William Kempner",31615,687531
"Pete Fairbanks","MIA",13,0.34782609,0.56363636,0.44354839,0.54166667,0.85483871,0.71818182,0.44354839,23.94240838,"Pete Fairbanks",17998,664126
"Riley Cornelio","WSN",2,0.04545455,0.6,0.30952381,1,0.91666667,0.92307692,0.47619048,23.20689655,"Riley Cornelio",31953,683000
"Cade Gibson","MIA",3.2,0.37288136,0.56097561,0.45,0.68181818,0.95652174,0.82222222,0.41,22.82051282,"Cade Gibson",31815,806188
"Josh Simpson","SEA",2.1,0.26315789,0.71428571,0.5,0.6,0.8,0.75,0.525,22.7,"Josh Simpson",25957,681006
"Yuki Matsui","SDP",10,0.30434783,0.6031746,0.42580645,0.28571429,0.73684211,0.54545455,0.40645161,22.5826087,"Yuki Matsui",33826,673513
"Luke Weaver","NYM",22.1,0.33510638,0.69411765,0.50558659,0.58730159,0.84745763,0.75690608,0.47486034,22.42424242,"Luke Weaver",16918,596133
"Aaron Brooks","TBR",0.1,0.3125,1,0.35294118,0.8,1,0.83333333,0.05882353,22.38461538,"Aaron Brooks",12272,605156
"Matt Pushard","STL",4.1,0.30188679,0.65517241,0.42682927,0.6875,0.89473684,0.8,0.35365854,22.38095238,"Matt Pushard",31870,690155
"Orlando Ribalta","WSN",11.2,0.41025641,0.68421053,0.51813472,0.66666667,0.84615385,0.76,0.39378238,22.27083333,"Orlando Ribalta",26247,687377
"Paxton Schultz","WSN",18.2,0.25287356,0.63333333,0.42901235,0.68181818,0.86315789,0.8057554,0.46296296,22.25847458,"Paxton Schultz",25501,687606
"David Morgan","SDP",13.1,0.34722222,0.66086957,0.48648649,0.52,0.86842105,0.73015873,0.44401544,22.2565445,"David Morgan",31616,688158
"Alex Vesia","LAD",18,0.34574468,0.6124031,0.45425868,0.53846154,0.7721519,0.66666667,0.40694006,22.15447154,"Alex Vesia",25007,681911
"Kirby Yates","LAA",6.1,0.36507937,0.625,0.48739496,0.7826087,0.74285714,0.75862069,0.47058824,22.10989011,"Kirby Yates",9073,489446
"Jedixson Paez","CHW",3,0.24390244,0.83333333,0.46153846,0.7,0.95,0.86666667,0.36923077,22.02040816,"Jedixson Paez",29114,699151
"PJ Poulin","WSN",21.2,0.25454545,0.60621762,0.4188862,0.82142857,0.87179487,0.85549133,0.46731235,21.97142857,"PJ Poulin",23394,676571
"Devin Williams","NYM",17,0.37142857,0.656,0.49,0.52307692,0.74390244,0.6462585,0.41666667,21.83181818,"Devin Williams",15816,642207
"Johan Oviedo","BOS",3.2,0.33333333,0.6969697,0.5,0.76923077,0.91304348,0.86111111,0.45833333,21.82692308,"Johan Oviedo",22487,670912
"Abner Uribe","MIL",18.1,0.24,0.56551724,0.4,0.66666667,0.86585366,0.80508475,0.49152542,21.70642202,"Abner Uribe",25327,682842
"Josh Fleming","TOR",3,0.25581395,0.70588235,0.45454545,0.81818182,0.875,0.85714286,0.44155844,21.69491525,"Josh Fleming",20418,676596
"Yohan Ramírez","PIT",30,0.33590734,0.58482143,0.45134576,0.55172414,0.84732824,0.7293578,0.46376812,21.69054441,"Yohan Ramirez",19444,670990
"Tyron Guerrero","BOS",1.2,0.23076923,0.64705882,0.46666667,0.33333333,0.81818182,0.71428571,0.56666667,21.68181818,"Tyron Guerrero",11691,594027
"Kyle Hart","SDP",16.2,0.25373134,0.62015504,0.43346008,0.70588235,0.8875,0.83333333,0.4904943,21.68062827,"Kyle Hart",19646,606996
"Nolan Hoffman","PHI",3.1,0.18518519,0.67857143,0.43636364,0.6,0.94736842,0.875,0.50909091,21.575,"Nolan Hoffman",23381,676510
"Fernando Cruz","NYY",21.2,0.28638498,0.60248447,0.42245989,0.37704918,0.73195876,0.59493671,0.43048128,21.5734767,"Fernando Cruz",7048,518585
"Michael Petersen","MIA",19.2,0.25675676,0.65,0.46103896,0.65789474,0.83653846,0.78873239,0.51948052,21.57079646,"Michael Petersen",20827,656848
"Bryce Miller","SEA",11,0.31944444,0.80246914,0.5751634,0.65217391,0.87692308,0.81818182,0.52941176,21.53211009,"Bryce Miller",29837,682243
"Matt Strahm","KCR",16.1,0.28571429,0.62162162,0.46263345,0.63157895,0.85869565,0.79230769,0.52669039,21.51442308,"Matt Strahm",13799,621381
"Jonathan Cannon","CHW",0,0,1,0.07142857,,0,0,0.07142857,21.5,"Jonathan Cannon",31730,686563
"Dustin May","STL",54,0.29464286,0.65566038,0.47018349,0.63636364,0.89928058,0.81463415,0.48623853,21.48895899,"Dustin May",19716,669160
