"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Alcantara, Sandy","645261","223","10.5",27.4,"111.3","88.4","77.5","93","85.2","418","148","399","82",36.8,"12",5.4,4.1
"Kirby, George","669923","205","8.6",26.3,"109.2","89.3","78.5","92.7","87.8","412","132","395","86",42,"11",5.4,4
"Lorenzen, Michael","547179","199","10.8",39.2,"114.2","90.2","78.7","94.1","88","454","167","411","94",47.2,"19",9.5,7.3
"Lugo, Seth","607625","196","17.4",41.3,"110.9","90.6","80.7","92.6","90","435","185","407","82",41.8,"21",10.7,7.7
"Sánchez, Cristopher","650911","193","1.5",29,"112.7","89","77","93.7","86.9","429","126","403","85",44,"16",8.3,5.4
"Ober, Bailey","641927","192","23.8",26,"115.5","87.3","76.4","93.1","82.1","424","166","399","58",30.2,"18",9.4,7.1
"Martinez, Nick","607259","192","14.3",31.8,"111.9","87","75.7","91.9","83.8","415","166","403","62",32.3,"13",6.8,5.4
"Elder, Bryce","693821","190","12.5",31.6,"113","89.4","79.2","93.5","86.7","454","158","411","72",37.9,"7",3.7,2.6
"Valdez, Framber","664285","190","9",29.5,"111.9","90","79","93.1","87.6","449","154","398","84",44.2,"13",6.8,4.9
"Keller, Mitch","656605","189","13.5",35.4,"110.8","87.4","75.5","92.8","83.8","406","159","393","72",38.1,"10",5.3,3.9
"Gausman, Kevin","592332","187","15.2",33.2,"112.3","87.3","74.9","93.2","82.1","418","171","391","64",34.2,"16",8.6,6.2
"Nelson, Ryne","669194","184","20.7",33.2,"112.4","90.7","80.5","94.4","87.3","441","204","406","81",44,"19",10.3,7.5
"Springs, Jeffrey","605488","183","17.6",33.9,"114.1","87.2","76.3","93.6","78.9","425","181","394","62",33.9,"17",9.3,6.7
"Cecconi, Slade","677944","183","13.5",37.7,"111.6","87.7","76.1","93.3","82.7","441","167","395","64",35,"17",9.3,6.7
"Houser, Adrian","605288","183","9",36.1,"112.5","91.2","80.4","95.8","88.2","446","151","403","84",45.9,"17",9.3,7.2
"Abbott, Andrew","671096","182","16.9",30.2,"113","89.1","78.7","93.1","87.2","407","171","384","67",36.8,"11",6,4.5
