fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%
,7.25,43.76092336184115,9.009503543376924,3.979906901717186,,,,,158.92703627735804,0.4066698052959797,,,,,0.856793854,0.462546816,0.394247038,0.329588014,0.132958802,,136,599,534,105,91,3,49,247,176,127,30,16,42,43,,,,0.07178631,,,,,,,,,10.0,,,,,,,
,6.79,52.128783635599746,-3.8352746963500977,-1.0519374553114176,,,,,172.84728610049655,0.485066321873709,,,,,1.042542174,0.589852008,0.452690166,0.376321353,0.213530655,,123,539,473,103,93,10,67,279,178,111,43,14,16,62,,,,0.115027829,,,,,,,,,2.0,,,,,,,
,6.6,30.38334833180111,13.228394985198976,-1.5474703088402748,,,,,139.48968253142897,0.4166637320526701,,,,,0.8897606,0.514545454,0.375215146,0.34,0.174545454,,137,597,550,104,77,11,62,283,187,125,39,12,11,27,,,,0.04522613,,,,,,,,,9.0,,,,,,,
,5.86,19.100868301545763,19.87037038803101,1.948062589392066,,,,,122.37518617611197,0.3807484062139738,,,,,0.788343443,0.402061855,0.386281588,0.298969072,0.103092783,,132,566,485,76,93,3,37,195,145,108,27,7,31,65,,,,0.114840989,,,,,,,,,12.0,,,,,,,
,5.92,21.40246842731095,16.135802268981934,1.3966632075607777,,,,,130.817620175863,0.3630572832710578,,,,,0.767100233,0.426070038,0.341030195,0.278210116,0.147859922,,135,576,514,97,85,6,42,219,143,101,14,22,25,45,,,,0.078125,,,,,,,,,12.0,,,,,,,
,5.06,36.09068476960047,-1.209876537322998,1.5793507304042578,,,,,151.1211329893052,0.3945587344773828,,,,,0.821854505,0.417744916,0.404109589,0.356746765,0.060998151,,130,599,541,100,67,0,27,226,193,166,21,6,33,39,,,,0.065108514,,,,,,,,,2.0,,,,,,,
,5.0,36.551473335131675,-1.580246925354004,1.7882850412279367,,,,,158.19816302066204,0.4055389386551981,,,,,0.8495651,0.448801742,0.400763358,0.315904139,0.132897603,,113,530,459,103,53,2,43,206,145,102,27,14,29,51,,,,0.096226415,,,,,,,,,4.0,,,,,,,
,5.15,6.189271919226371,27.037036895751953,0.044707678258419,,,,,108.26355011049138,0.3559184526650725,,,,,0.742620468,0.39271255,0.349907918,0.285425101,0.107287449,,133,549,494,71,63,1,42,194,141,99,32,9,18,45,,,,0.081967213,,,,,,,,,19.0,,,,,,,
,5.05,34.20042023167479,4.0,1.3335307780653238,,,,,163.02978053333584,0.4605957222237827,,,,,0.984439052,0.565340909,0.419098143,0.377840909,0.1875,,87,385,352,81,65,7,47,199,133,86,35,5,20,19,,,,0.049350649,,,,,,,,,4.0,,,,,,,
,5.01,34.754118300126855,-6.358024716377258,-1.9234480690211055,,,,,148.01415918871083,0.4330523903850171,,,,,0.926016489,0.539325842,0.386690647,0.36142322,0.177902622,,130,564,534,74,110,11,60,288,193,133,36,13,9,15,,,,0.026595744,,,,,,,,,-2.0,,,,,,,
,5.06,26.81015457832083,0.8641977310180664,-0.8206493053585291,,,,,141.1351235585162,0.3847359187598791,,,,,0.785449193,0.376278118,0.409171075,0.314928425,0.061349693,,134,596,489,88,30,2,23,184,154,131,18,3,21,73,,,,0.122483221,,,,,,,,,5.0,,,,,,,
,4.36,14.365380689534732,15.30246901512146,0.549174839630723,,,,,121.52079813934674,0.3865756511688232,,,,,0.819647019,0.459207459,0.36043956,0.321678321,0.137529138,,108,474,429,71,61,6,37,197,138,101,21,10,18,24,,,,0.050632911,,,,,,,,,12.0,,,,,,,
,4.1499999999999995,16.12725219633715,7.27469127997756,2.587172782048583,,,,,115.71763280272134,0.367679924342283,,,,,0.750745234,0.363802559,0.386942675,0.296160877,0.067641682,,140,639,547,109,46,3,26,199,162,136,18,5,39,76,,,,0.118935837,,,,,,,,,3.0,,,,,,,
,4.82,30.00815797995051,-4.913580417633057,-1.3642266504466534,,,,,145.70837521372704,0.4006087528927805,,,,,0.847662587,0.461261261,0.386401326,0.333333333,0.127927928,,140,609,555,92,78,3,43,256,185,142,18,22,16,47,,,,0.077175697,,,,,,,,,2.0,,,,,,,
