Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%,Inn
Eddie Stanky,1012406,122666,2B,NYG,7.683711627212392,,8.22,38.196212989090775,18.660493850708008,1.501922191120684,,,,,141.16230263699146,0.4166241652096347,,,,,0.871501161,0.411764705,0.459736456,0.299810246,0.111954459,0.319829424,152,691,527,115,51,8,38,217,158,120,25,5,9,144,,50,0.0723589,0.208393632,,,,,,,,,14.0,,,,,,,,0.0
Al Rosen,1011208,121461,3B,CLE,6.9163580770575015,,5.84,37.47736985608832,9.90123450756073,-2.2977803291287273,,,,,143.21688155093747,0.4257269258420151,,,,,0.94844178,0.543321299,0.405120481,0.28700361,0.256317689,0.274157303,155,668,554,100,116,37,64,301,159,95,23,4,5,100,,72,0.107784431,0.149700598,,,,,,,,,8.0,,,,,,,,0.0
Phil Rizzuto,1011011,121257,SS,NYY,6.898992998304572,,6.78,24.097585861426214,20.567901611328125,-1.3847830991726369,,,,,125.16346949327628,0.3988368224831267,,,,,0.856819807,0.439222042,0.417597765,0.324149108,0.115072934,0.338003502,155,735,617,125,66,7,50,271,200,150,36,7,12,92,,39,0.053061224,0.125170068,,,,,,,,,11.0,,,,,,,,0.0
Jackie Robinson,1011070,121314,2B,BRO,6.839987463750826,,7.38,36.33153613493003,14.444444179534912,2.186161588411778,,,,,143.17681639043528,0.4214730026512399,,,,,0.922885572,0.5,0.422885572,0.328185328,0.171814672,0.325,144,613,518,99,81,14,57,259,170,113,39,4,12,80,,24,0.039151712,0.130505709,,,,,,,,,10.0,,,,,,,,0.0
Larry Doby,1003346,113411,OF,CLE,6.771490849770365,,6.68,45.02110828414211,3.1358025670051575,-1.2669371215160936,,,,,155.1657605241756,0.445877025017432,,,,,0.98624726,0.54473161,0.44151565,0.326043737,0.218687873,0.341523341,142,609,503,110,102,25,55,274,164,109,25,5,8,98,,71,0.116584564,0.16091954,,,,,,,,,4.0,,,,,,,,0.0
Stan Musial,1009405,119602,OF,STL,6.597041758804579,,7.25,57.126679112118815,-9.451818466186523,0.7775216302834451,,,,,167.7184365428517,0.4602989073871642,,,,,1.033605698,0.596396396,0.437209302,0.345945945,0.250450451,0.334012219,146,645,555,105,109,28,76,331,192,116,41,7,5,87,,36,0.055813953,0.13488372,,,,,,,,,-2.0,,,,,,,,0.0
Andy Pafko,1009948,120167,OF,CHC,6.263310220890857,,6.34,42.74903953770997,2.8518519401550293,0.6185613293200731,,,,,154.88562744239394,0.4372674902079482,,,,,0.988746085,0.591439688,0.397306397,0.303501945,0.287937743,0.269058295,146,595,514,95,92,36,68,304,156,88,24,8,4,69,,32,0.053781512,0.115966386,,,,,,,,,4.0,,,,,,,,0.0
Yogi Berra,1000898,110925,C,NYY,6.022904013393064,,6.06,28.667782650743057,10.135802268981934,-0.2809247935656458,,,,,132.02900137145363,0.4104145737137736,,,,,0.915285267,0.532663316,0.382621951,0.32160804,0.211055276,0.29443447,151,656,597,116,124,28,64,318,192,128,30,6,4,55,,12,0.018292682,0.083841463,,,,,,,,,1.0,,,,,,,,0.0
Joe DiMaggio,1003311,113376,OF,NYY,5.641738068370873,,5.22,37.59720852498823,-0.9074073433876038,-0.1771187139675021,,,,,145.24203946525583,0.4326964989550436,,,,,0.979151342,0.584761904,0.394389438,0.30095238,0.283809524,0.273913043,139,606,525,114,122,32,75,307,158,83,33,10,0,80,,33,0.054455445,0.132013201,,,,,,,,,0.0,,,,,,,,0.0
Sid Gordon,1004877,114970,OF,BSN,5.5403683842987705,,6.35,39.0391204494355,0.0493826866149902,0.2250412763096392,,,,,153.53430664333771,0.4287145856017522,,,,,0.960024606,0.557172557,0.402852049,0.303534303,0.253638254,0.281323877,134,562,481,78,103,27,64,268,146,82,33,4,2,78,,31,0.055160142,0.138790035,,,,,,,,,6.0,,,,,,,,0.0
Duke Snider,1012230,122488,OF,BRO,5.458919027092923,,5.65,37.529613956437125,-2.932098686695099,3.0002014983911067,,,,,139.13022068857015,0.4150833287949407,,,,,0.932281853,0.553225806,0.379056047,0.320967741,0.232258065,0.329411764,152,684,620,109,107,31,72,343,199,127,31,10,16,58,,79,0.115497076,0.084795321,,,,,,,,,-2.0,,,,,,,,0.0
