Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%
Cal Ripken Jr.,1010978,121222,SS,BAL,9.756146980639974,,10.02,38.88580817985712,31.88475227355957,-0.0625188053818419,,,,,146.47087439917087,0.392711164567854,,,,,0.88444208,0.510140405,0.374301675,0.304212168,0.205928237,0.318785578,162,716,641,103,86,27,71,327,195,124,37,7,2,71,1,89,0.124301675,0.099162011,,,3.730778217315674,0.5368558592223489,,,,,23.0,,,,,,,
Ryne Sandberg,1011411,121665,2B,CHC,7.973179161099923,,8.52,36.350449911031966,16.676508903503418,3.592772727308329,,,,,141.59093108696885,0.3900253908827125,,,,,0.887346725,0.520440251,0.366906474,0.314465408,0.205974843,0.348076923,156,700,636,114,84,19,74,331,200,126,36,19,32,52,3,101,0.144285714,0.074285714,,,4.292198657989502,0.2423961064221584,,,,,12.0,,,,,,,
Mike Schmidt,1011586,121836,3B,PHI,7.141961300881739,,7.04,36.51283630418817,10.780521214008331,-1.8029016816872172,,,,,153.88199914453148,0.3982074185482506,,,,,0.91889624,0.535984848,0.382911392,0.276515151,0.259469697,0.286458333,151,632,528,93,106,36,62,283,146,84,23,3,5,92,14,116,0.183544303,0.14556962,,,3.2060227394104004,-1.026605390018828,,,,,10.0,,,,,,,
Gary Carter,1002015,112061,C,MON,7.135445265023725,,7.43,31.02650622058526,14.886144638061523,-0.4471755302511155,,,,,141.81239220797352,0.3766618983312086,,,,,0.852795417,0.486577181,0.366218236,0.293624161,0.19295302,0.28737864,159,669,596,75,106,27,60,290,175,115,32,1,2,64,9,57,0.085201793,0.095665171,,,4.4594526290893555,-0.1546182996564287,,,,,8.0,,,,,,,
Lloyd Moseby,1009238,119432,CF,TOR,6.941314656674388,,7.27,24.967104202157095,20.0,4.207598503038753,,,,,125.77707465433848,0.3691176278351327,,,,,0.837477805,0.469594594,0.367883211,0.280405405,0.189189189,0.322440087,158,688,592,97,92,18,61,278,166,105,28,15,39,78,9,122,0.177325581,0.113372093,,,2.989828586578369,0.3557675464212435,,,,,20.0,,,,,,,
Alan Trammell,1013157,123437,SS,DET,6.863185713274163,,6.78,27.129759703825016,18.75308609008789,-1.3598662658478131,,,,,138.8792137394597,0.3807812014829765,,,,,0.850726532,0.468468468,0.382258064,0.313513513,0.154954955,0.333333333,139,626,555,85,69,14,53,260,174,121,34,5,19,60,2,63,0.100638977,0.095846645,,,3.6422860622406006,0.969596169213114,,,,,15.0,,,,,,,
Eddie Murray,1009386,119579,1B,BAL,6.798103615182509,,7.12,42.51998001805815,-0.0176944732666015,1.1420103149139322,,,,,150.14009118834576,0.398301940630464,,,,,0.918432479,0.508503401,0.409929078,0.306122448,0.202380953,0.314583333,162,705,588,97,110,29,58,299,180,122,26,3,10,107,25,87,0.123404255,0.151773049,,,7.273260116577148,1.6548782160238469,,,,,10.0,,,,,,,
Tim Raines Sr.,1406,120891,CF,MON,6.67923105508521,,6.5,42.37532005892322,-2.9931412898004055,11.0023949459719,,,,,138.83418120688373,0.3722999987460799,,,,,0.830306028,0.437299035,0.393006993,0.308681672,0.128617363,0.335154826,160,718,622,106,60,8,55,272,192,137,38,9,75,87,7,69,0.096100278,0.121169916,,,5.952650547027588,0.7271832451319176,,,,,-3.0,,,,,,,
Buddy Bell,1000799,110815,3B,TEX,6.536545826937512,,6.09,23.03918865509555,19.875857293605804,-0.0567512434208765,,,,,131.31844210032557,0.371435107338813,,,,,0.839670125,0.45750452,0.382165605,0.314647377,0.142857143,0.327967806,148,630,553,88,83,11,52,253,174,122,36,5,2,63,8,54,0.085714285,0.1,,,3.4602837562561035,0.3486176218651979,,,,,19.0,,,,,,,
Tony Gwynn,1005166,115270,RF,SDP,6.320625579406514,,6.33,33.157495362684536,5.120731830596924,-0.5346974334970582,,,,,144.36179274756992,0.3796584112796841,,,,,0.853460906,0.443894389,0.409566517,0.351485148,0.092409241,0.358620689,158,675,606,88,71,5,36,269,213,177,21,10,33,59,13,23,0.034074074,0.087407407,,,7.388265609741211,3.126219113367574,,,,,12.0,,,,,,,
Chet Lemon,1007518,117669,CF,DET,6.208163033526995,,6.23,21.74431343833254,19.891975313425064,-1.007994675746886,,,,,133.86246951953595,0.3731372013847174,,,,,0.852356358,0.495088408,0.35726795,0.286836935,0.208251473,0.307317073,141,574,509,77,76,20,60,252,146,86,34,6,5,51,9,83,0.144599303,0.088850174,,,0.771687924861908,-1.2274580446362358,,,,,20.0,,,,,,,
Don Mattingly,1008261,118443,1B,NYY,6.069024587929443,,6.3,40.564581460184414,-3.87174129486084,-0.2538674654206261,,,,,152.67488152989375,0.4008039837651208,,,,,0.918047376,0.537313432,0.380733944,0.343283582,0.19402985,0.330935251,153,662,603,91,110,23,69,324,207,138,44,2,1,41,8,33,0.049848942,0.061933534,,,4.399119853973389,-0.1719039145908305,,,,,5.0,,,,,,,
Wade Boggs,1001124,111153,3B,BOS,5.972942398991897,,6.29,23.35630198641009,10.7176473736763,-0.2720481382275466,,,,,127.8036514866146,0.3726203608211507,,,,,0.822685236,0.416,0.406685236,0.3248,0.0912,0.340241796,158,726,625,109,55,6,41,260,203,162,31,4,3,89,6,44,0.06060606,0.122589531,,,1.5675681829452517,-0.0521308852952981,,,,,10.0,,,,,,,
Keith Hernandez,1005706,115826,1B,NYM,5.693675290089712,,6.32,32.966112671423005,-0.1815500259399414,-0.8516582493612077,,,,,145.74706040061207,0.3822211593620537,,,,,0.858527743,0.449090909,0.409436834,0.31090909,0.138181819,0.342857142,154,657,550,83,94,15,46,247,171,125,31,0,2,97,12,89,0.135464231,0.147640791,,,5.146975994110107,0.7957157849842531,,,,,9.0,,,,,,,
Jose Cruz,1002841,112902,LF,HOU,5.596150313794614,,6.34,31.97071824338018,-1.189659595489502,1.19405754035688,,,,,139.93139747070106,0.370824141364218,,,,,0.842340165,0.461666666,0.380673499,0.311666666,0.15,0.330188679,160,685,600,96,95,12,53,277,187,134,28,13,22,73,10,68,0.099270072,0.106569343,,,4.266635894775391,0.775067358553307,,,,,6.0,,,,,,,
Dale Murphy,1009355,119545,CF,ATL,5.567668276008488,,5.54,37.50098727411216,-8.0,0.9989007231488358,,,,,146.94866282231644,0.3959123078295086,,,,,0.91887697,0.546952224,0.371924746,0.289950576,0.257001648,0.318181818,162,691,607,94,100,36,76,332,176,100,32,8,19,79,20,134,0.193921852,0.114327062,,,4.214415073394775,-0.7262199860771417,,,,,-8.0,,,,,,,
Kent Hrbek,1006117,116243,1B,MIN,5.563166244794724,,5.56,30.164980644197875,3.0190677642822266,-0.2520651023078244,,,,,140.92120038251602,0.3938228832693208,,,,,0.905642116,0.522361359,0.383280757,0.311270125,0.211091234,0.32594235,149,635,559,80,107,27,61,292,174,113,31,3,1,65,15,87,0.137007874,0.102362204,,,3.0298919677734375,-0.4866699461032424,,,,,12.0,,,,,,,
Rickey Henderson,194,115749,LF,OAK,5.5291332975374665,,6.03,38.114033587544526,-4.701284885406494,6.0779192066402175,,,,,145.8427396101666,0.3871275214587941,,,,,0.857496189,0.45816733,0.399328859,0.292828685,0.165338645,0.321078431,142,597,502,113,58,16,47,230,147,100,27,4,66,86,1,81,0.135678391,0.144053601,,,3.904303789138794,-0.1618424001166709,,,,,1.0,,,,,,,
Alvin Davis,1003033,113096,1B,SEA,5.328770201132789,,5.95,30.944817121438675,-1.5490388870239258,-0.6341521295544226,,,,,139.78994287790115,0.388589330040076,,,,,0.888209954,0.497354497,0.390855457,0.283950617,0.21340388,0.285714285,152,678,567,80,116,27,64,282,161,97,34,3,5,97,16,78,0.115044247,0.143067846,,,5.231011867523193,1.5842896706286045,,,,,8.0,,,,,,,
Dwight Evans,1003865,113936,RF,BOS,5.312956947678085,,5.41,42.71503132083822,-16.34053373336792,0.1335159987502265,,,,,149.29124749415382,0.4053609548782815,,,,,0.919805732,0.531746031,0.388059701,0.295238095,0.236507936,0.314285714,162,738,630,121,104,32,77,335,186,109,37,8,3,96,2,115,0.155826558,0.1300813,,,4.9995527267456055,0.4153945912716823,,,,,-9.0,,,,,,,
Robin Yount,1014396,124721,SS,MIL,5.290312403117944,,5.92,20.743256278496244,7.363147497177124,1.1615222257969435,,,,,123.82972853690924,0.3564323378399401,,,,,0.803044642,0.440705128,0.362339514,0.298076923,0.142628205,0.309090909,160,702,624,105,80,16,50,275,186,136,27,7,14,67,7,67,0.095441595,0.095441595,,,2.361971855163574,0.5630120603595596,,,,,5.0,,,,,,,
Tony Peña Sr.,1010153,120370,C,PIT,4.969083515461116,,5.92,6.597011661975774,21.710561752319336,-0.7879188583174255,,,,,111.08685304765326,0.3378002975858096,,,,,0.758241757,0.424908424,0.333333333,0.285714285,0.139194139,0.310572687,147,592,546,77,78,15,44,232,156,112,27,2,12,36,5,79,0.133445945,0.06081081,,,1.2463456392288208,-0.8606799959445088,,,,,13.0,,,,,,,
Kevin McReynolds,1008690,118875,CF,SDP,4.836042568034389,,5.41,9.087452544416593,19.0,-1.7944537696894258,,,,,116.9376228628966,0.3394928638424192,,,,,0.781663312,0.464761904,0.316901408,0.278095238,0.186666666,0.283146067,147,571,525,68,75,20,52,244,146,94,26,6,3,34,8,69,0.12084063,0.059544658,,,2.128756523132324,0.0201195028858034,,,,,19.0,,,,,,,
Dave Winfield,1014127,124448,RF,NYY,4.821117519616166,,5.33,37.0696688975173,-11.641305923461914,-0.4323497634613886,,,,,151.17824294125475,0.3985235594466594,,,,,0.907962427,0.514991181,0.392971246,0.340388007,0.174603174,0.360248447,141,626,567,106,100,19,57,292,193,136,34,4,6,53,9,71,0.11341853,0.084664536,,,3.778621673583984,-0.4068017331281628,,,,,-6.0,,,,,,,
Harold Baines,1000434,110456,RF,CHW,4.8099160252161886,,4.33,31.077609033470843,-5.440328121185303,-0.6381637176673394,,,,,143.075438890999,0.3923619680335333,,,,,0.902765495,0.541300527,0.361464968,0.304042179,0.237258348,0.306382978,147,629,569,72,94,29,67,308,173,106,28,10,1,54,9,75,0.119236883,0.085850556,,,3.5344343185424805,0.6481480256620631,,,,,1.0,,,,,,,
Kirk Gibson,1004669,114752,RF,DET,4.738842627304486,,5.12,32.15077104238689,-6.6769537925720215,2.2173312340455595,,,,,141.85241043646414,0.3853114535444202,,,,,0.879494374,0.516007532,0.363486842,0.282485875,0.233521657,0.302211302,149,611,531,92,91,27,60,274,150,90,23,10,29,63,6,103,0.168576104,0.103109656,,,2.515172004699707,-0.9878324053645096,,,,,0.0,,,,,,,
