Name,PlayerId,MLBAMID,Pos,Team,fWAR,fWAR,bWAR,Off,Def,BsR,Barrel%,HardHit%,EV,maxEV,wRC+,wOBA,xwOBA,wOBA-xwOBA,xBA,xSLG,OPS,SLG,OBP,AVG,ISO,BABIP,G,PA,AB,R,RBI,HR,XBH,TB,H,1B,2B,3B,SB,BB,IBB,SO,K%,BB%,BB/K,Chase%,Whiff%,WPA,Clutch,FRV,OAA,DRS,FRM,TZ,Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,BatSpd,Squared-Up%,Inn
Rickey Henderson,194,115749,CF,NYY,9.717314223641411,,9.91,58.33083766940746,13.768518552184103,11.744843092747033,,,,,159.45013931169473,0.4127814959603466,,,,,0.934499549,0.515539305,0.418960244,0.314442413,0.201096892,0.319654427,143,654,547,146,72,24,57,282,172,115,28,5,80,99,1,65,0.099388379,0.151376146,1.523076923,,,5.021771430969238,-0.3165027171464025,,,,,14.0,,,,,,,,1218.1
Wade Boggs,1001124,111153,3B,BOS,8.813124192764276,,9.07,50.86247545869825,8.972105503082275,-0.3635552239138633,,,,,156.40229203041028,0.4149970111846924,,,,,0.928125918,0.477794793,0.450331125,0.367534456,0.110260337,0.395904436,161,758,653,107,78,8,53,312,240,187,42,3,2,96,5,61,0.080474934,0.126649076,1.573770491,,,4.4505486488342285,-0.5575149514396527,,,,,8.0,,,,,,,,1417.1
George Brett,1001400,111437,3B,KCR,8.268916738220936,,8.3,55.518294103929456,1.8108161687850952,1.161067659733817,,,,,168.2198714652505,0.4308707524173267,,,,,1.02154477,0.585454545,0.436090225,0.334545454,0.250909091,0.320833333,155,665,550,108,112,30,73,322,184,111,38,5,9,103,31,49,0.07368421,0.154887218,2.102040816,,,5.961246013641357,0.1634135438243387,,,,,1.0,,,,,,,,1339.2
Pedro Guerrero,1005120,115222,LF,LAD,7.768857050342609,,7.97,53.949458588013755,1.5669875144958496,0.5842188152018934,,,,,180.8101815604411,0.4291335224474548,,,,,0.998688799,0.577002053,0.421686746,0.320328542,0.256673511,0.314578005,137,581,487,99,87,33,57,281,156,99,22,2,12,83,14,68,0.117039586,0.142857142,1.220588235,,,6.468133926391602,-0.888795453935673,,,,,5.0,,,,,,,,1167.2
Tim Raines Sr.,1406,120891,LF,MON,7.173198262796568,,7.6,46.866292728130254,0.3556079864501953,10.161790955695324,,,,,148.56030858294923,0.3854743011743519,,,,,0.879616444,0.474782608,0.404833836,0.32,0.154782608,0.341222879,150,665,575,115,41,11,54,273,184,130,30,13,70,81,13,60,0.090225563,0.121804511,1.35,,,4.0680155754089355,-0.9350778412274088,,,,,7.0,,,,,,,,1291.2
Willie McGee,1008513,118694,CF,STL,7.138913458947513,,8.21,42.28431643385069,4.936557114124298,4.588549004634842,,,,,150.86613545275722,0.3889183650949886,,,,,0.88729255,0.503267973,0.384024577,0.352941176,0.150326797,0.395393474,152,652,612,114,82,10,54,308,216,162,26,18,56,34,2,86,0.13190184,0.052147239,0.395348837,,,5.237191677093506,0.706419915445216,,,,,5.0,,,,,,,,1290.3
Jesse Barfield,1000537,110559,RF,TOR,7.037202691517411,,6.84,31.977192145168964,16.362501621246338,1.024174124118872,,,,,142.2111157266119,0.3932309181136393,,,,,0.905459152,0.536178107,0.369281045,0.28942486,0.246753247,0.346774193,155,612,539,94,84,27,70,289,156,86,34,9,22,66,5,143,0.23366013,0.107843137,0.461538461,,,2.25380802154541,-1.3241616594890395,,,,,23.0,,,,,,,,1356.3
Gary Carter,1002015,112061,C,NYM,6.683798982577853,,6.92,27.373174783457568,16.264745712280273,-0.4116711128735915,,,,,138.61784474380613,0.3698739801658803,,,,,0.853217197,0.488288288,0.364928909,0.281081081,0.207207207,0.258333333,149,633,555,83,100,32,50,271,156,106,17,1,1,69,16,46,0.072669826,0.109004739,1.5,,,3.4990718364715576,0.2948153475375354,,,,,8.0,,,,,,,,1299.0
Don Mattingly,1008261,118443,1B,NYY,6.054165932836297,,6.44,43.917212336638485,-9.748490333557127,-0.615637454437092,,,,,151.12358845998122,0.4000115468260947,,,,,0.938519144,0.567484662,0.371034482,0.323619631,0.243865031,0.297800338,159,727,652,107,145,35,86,370,211,125,48,3,2,56,13,41,0.056396148,0.077028885,1.365853658,,,4.835659980773926,-0.1722842053939057,,,,,0.0,,,,,,,,1421.1
Ryne Sandberg,1011411,121665,2B,CHC,5.886878083650797,,5.86,33.60591301913276,0.582064151763916,6.199293637648225,,,,,135.82813104649577,0.3793594257251636,,,,,0.867741453,0.50410509,0.363636363,0.305418719,0.198686371,0.326530612,153,673,609,113,83,26,63,307,186,123,31,6,54,57,5,97,0.144130757,0.084695393,0.587628865,,,5.194407939910889,1.200471441928431,,,,,-4.0,,,,,,,,1335.1
Rich Gedman,1004592,114676,C,BOS,5.6099520134089635,,5.36,17.057652522691104,18.92866897583008,0.2234509503468871,,,,,125.26928680796702,0.3672501229272117,,,,,0.845599394,0.483935742,0.361663652,0.295180722,0.18875502,0.320099255,144,556,498,66,80,18,53,241,147,94,30,5,2,50,11,79,0.14208633,0.089928057,0.632911392,,,1.70360004901886,0.0037765550322268,,,,,11.0,,,,,,,,1156.0
Ozzie Smith,1012186,122439,SS,STL,5.572696497359167,,6.44,5.508730867956648,28.68518447875977,2.7956147448858246,,,,,103.88129824865042,0.3205628975098874,,,,,0.716051772,0.361266294,0.354785478,0.275605214,0.08566108,0.280632411,158,615,537,70,54,6,31,194,148,117,22,3,31,65,11,27,0.043902439,0.105691056,2.407407407,,,1.2264703512191772,0.1135505410902155,,,,,20.0,,,,,,,,1407.0
Mike Scioscia,1011667,121919,C,LAD,5.523690060783415,,5.42,23.00092873548674,12.894375324249268,-0.8053240929730237,,,,,139.8188806399422,0.3694976971881224,,,,,0.826195204,0.419580419,0.406614785,0.296037296,0.123543123,0.297029702,141,526,429,47,53,7,36,180,127,91,26,3,3,77,9,21,0.039923954,0.146387832,3.666666666,,,2.041494131088257,0.1096022440126356,,,,,5.0,,,,,,,,1151.0
Eddie Murray,1009386,119579,1B,BAL,5.503670351188131,,5.64,36.30900243371367,-5.580451965332031,-0.0260226840618997,,,,,144.79319586976342,0.3916190568665812,,,,,0.905726251,0.523156089,0.382570162,0.296740994,0.226415095,0.288617886,156,677,583,111,124,31,69,305,173,104,37,1,5,84,12,68,0.100443131,0.124076809,1.235294117,,,6.355875492095947,2.8881507102679995,,,,,4.0,,,,,,,,1365.1
Cal Ripken Jr.,1010978,121222,SS,BAL,5.3977163783852475,,5.58,19.393265227254837,8.810678482055664,-1.0325853471877051,,,,,123.74274671024762,0.3593352013053255,,,,,0.815644009,0.468847352,0.346796657,0.281931464,0.186915888,0.278776978,161,718,642,116,110,26,63,301,181,118,32,5,2,67,1,68,0.09470752,0.093314763,0.985294117,,,1.3704853057861328,-0.4977088717562152,,,,,0.0,,,,,,,,1427.1
Dave Parker,1010000,120225,RF,CIN,5.353171276577591,,4.7,31.07052945175355,-2.2239184379577637,-4.360607469105162,,,,,144.91685784913685,0.3888002231049893,,,,,0.915734416,0.551181102,0.364553314,0.311811023,0.239370079,0.312380952,160,694,635,88,125,34,80,350,198,118,42,4,5,52,24,80,0.115273775,0.074927953,0.65,,,4.1310553550720215,0.6924167298732882,,,,,5.0,,,,,,,,1404.1
Kirk Gibson,1004669,114752,RF,DET,5.319797818429039,,5.4,33.555961178491465,-4.447169303894043,4.207585655618459,,,,,136.55817587908874,0.3775322285299111,,,,,0.88239013,0.518072289,0.364317841,0.287435456,0.230636833,0.324705882,154,670,581,96,97,29,71,301,167,96,37,5,30,71,16,137,0.204477611,0.105970149,0.518248175,,,2.3658854961395264,-2.1620642317088703,,,,,2.0,,,,,,,,1254.3
Mike Schmidt,1011586,121836,1B,PHI,5.228953032056165,,5.02,34.85703274606081,-5.847281455993652,-1.2066222537541762,,,,,149.1919201347156,0.3927519105292938,,,,,0.907069936,0.531876138,0.375193798,0.27686703,0.255009108,0.29382716,158,645,549,89,93,33,69,292,152,83,31,5,1,87,8,117,0.181395348,0.13488372,0.743589743,,,3.3986976146698,-0.4928072903815423,,,,,0.0,,,,,,,,1329.3000000000002
Tim Wallach,1013554,123865,3B,MON,5.134920103547661,,6.09,5.220449664970955,24.924780428409576,-1.9356549952644857,,,,,110.20411323747868,0.3296721355472684,,,,,0.759474524,0.449912126,0.309562398,0.260105448,0.189806678,0.266384778,155,617,569,70,81,22,61,256,148,87,36,3,9,38,8,79,0.128038897,0.06158833,0.481012658,,,-0.5041859745979309,-1.7733236930397065,,,,,24.0,,,,,,,,1348.1
Tom Herr,1005737,115839,2B,STL,5.095176370995689,,5.6,26.038634757668156,-0.185185432434082,4.737557178363204,,,,,126.92626305606711,0.3540896571759927,,,,,0.795268018,0.416107382,0.379160636,0.302013422,0.11409396,0.315018315,159,696,596,97,110,8,49,248,180,131,38,3,31,80,5,55,0.079022988,0.114942528,1.454545454,,,5.955384254455566,1.338731543139084,,,,,-5.0,,,,,,,,1404.0
Keith Hernandez,1005706,115826,1B,NYM,5.040896010412537,,5.05,22.193902583175987,4.486968994140625,-0.8507595116971061,,,,,129.72827567421075,0.356941070603109,,,,,0.814181085,0.430016863,0.384164222,0.308600337,0.121416526,0.323970037,158,682,593,87,91,10,48,255,183,135,34,4,3,77,15,59,0.086510263,0.112903225,1.305084745,,,4.153415203094482,0.7929746613144211,,,,,14.0,,,,,,,,1387.0
Bill Doran,1003406,113472,2B,HOU,5.025493950474209,,5.35,20.447187794281213,6.330143928527832,-1.5958013557828965,,,,,129.51813177267792,0.352674651477072,,,,,0.796641376,0.434256055,0.362385321,0.287197231,0.147058824,0.304,148,657,578,84,59,14,51,251,166,115,31,6,23,71,6,69,0.105022831,0.108066971,1.028985507,,,2.0653820037841797,-0.5052025406957776,,,,,2.0,,,,,,,,1262.2
Mike Davis,1003070,113127,RF,OAK,4.903022111694722,,4.7,22.513639263532795,5.18209981918335,0.6409063825849444,,,,,130.223263933383,0.3630755034104165,,,,,0.832214437,0.484460694,0.347753743,0.287020109,0.197440585,0.312206572,154,604,547,92,82,24,59,265,157,98,34,1,24,50,8,99,0.163907284,0.082781456,0.505050505,,,-0.4767458438873291,-1.8850258809498728,,,,,11.0,,,,,,,,1283.0
Phil Bradley,1001313,111349,LF,SEA,4.793001711744297,,4.81,29.43903816781892,-6.915637016296387,0.5786668253131211,,,,,133.73486342124872,0.37913856340873,,,,,0.862448638,0.497659906,0.364788732,0.299531981,0.198127925,0.340163934,159,714,641,100,88,26,67,319,192,125,33,8,22,55,4,129,0.180672268,0.077030812,0.426356589,,,3.894024133682251,0.3080273126825972,,,,,-1.0,,,,,,,,1389.0
Darryl Strawberry,1012606,122864,RF,NYM,4.751241774861976,,4.82,34.038465368066475,-3.931753396987915,0.6693939145188779,,,,,162.4640319515775,0.4045663910308604,,,,,0.94661361,0.557251908,0.389361702,0.277353689,0.279898219,0.295202952,111,470,393,78,79,29,48,219,109,61,15,4,26,73,13,96,0.204255319,0.155319148,0.760416666,,,2.9821367263793945,-0.9944095840858528,,,,,0.0,,,,,,,,979.1
Lou Whitaker,1013846,124154,2B,DET,4.6705763880331475,,4.51,20.198958861264035,1.4844646453857422,-0.6300609057070687,,,,,124.798537408204,0.3594971516073357,,,,,0.818555007,0.456486042,0.362068965,0.279146141,0.177339901,0.277467411,152,701,609,102,73,21,58,278,170,112,29,8,6,80,9,56,0.079885877,0.114122681,1.428571428,,,3.5730998516082764,1.398152280242691,,,,,-3.0,,,,,,,,1307.2
Dale Murphy,1009355,119545,CF,ATL,4.628719615395615,,5.0,41.13972835730243,-21.0,0.5609239025507122,,,,,150.14215600642387,0.3998217832409326,,,,,0.926601487,0.538961038,0.387640449,0.300324675,0.238636363,0.334085778,162,712,616,118,111,37,71,332,185,114,32,2,10,90,15,141,0.198033707,0.126404494,0.638297872,,,5.987949371337891,0.0854369859796886,,,,,-21.0,,,,,,,,1421.1
Willie Randolph,1010694,120927,2B,NYY,4.262963200114937,,3.97,7.468181729608627,14.307270050048828,-0.6304202763130888,,,,,111.3216826878936,0.338969667516459,,,,,0.737893576,0.35613682,0.381756756,0.275653923,0.080482897,0.287581699,143,597,497,75,40,5,28,177,137,109,21,2,16,85,3,39,0.065326633,0.142378559,2.179487179,,,-0.5580605268478394,-0.4529073158417916,,,,,10.0,,,,,,,,1256.0
Tony Gwynn,1005166,115270,RF,SDP,4.215857009675712,,5.19,13.9431226367262,5.13616418838501,-1.8318621972575784,,,,,120.68379287040756,0.3452154653924363,,,,,0.772539232,0.408360128,0.364179104,0.316720257,0.091639871,0.327054794,154,671,622,90,46,6,40,254,197,157,29,5,14,45,4,33,0.049180327,0.067064083,1.363636363,,,2.542738199234009,0.3490710665207732,,,,,12.0,,,,,,,,1334.1
Darrell Evans,1003864,113935,1B,DET,4.1546377084721735,,4.18,24.437676929678418,-3.785438537597656,-1.7742402662988752,,,,,136.82880230347692,0.3779472726142345,,,,,0.874629756,0.518811881,0.355817875,0.247524752,0.271287129,0.222513089,151,594,505,81,94,40,57,262,125,68,17,0,0,85,12,85,0.143097643,0.143097643,1.0,,,2.772779941558838,1.585771230591969,,,,,6.0,,,,,,,,947.2
