Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,fWAR,NameASCII,PlayerId,MLBAMID,AB,H,1B,2B,3B,BB,IBB,SO,HBP,SF,SH,GDP,CS,BB/K,OPS,Spd,UBR,wGDP,XBR,wSB,wRC,wRAA,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,PB,WP,FP,TZ,Pos,Year,bWAR,TB,XBH,BatSpd,Squared-Up%,EV,Barrel%,HardHit%,xBA,xSLG,maxEV,FRV,OAA,Chase%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Whiff%,Zone%,DRS
Cal Ripken Jr.,BAL,162,717,34,99,114,6,0.073919107,0.064156206,0.243076923,0.303972366,0.323076923,0.373779637,0.566153846,0.4052781798900702,,154.44644577937282,0.7833094535162672,46.87365269755316,31.81277751922607,10.571078680041632,Cal Ripken Jr.,1010978,121222,650,210,125,46,5,53,15,46,5,9,0,19,1,1.152173913,0.939933483,4.226360185679554,,,,0.7833094535162672,129.07792203839708,48.21524092521356,4.317043781280518,-11.068668365478516,15.385711669921877,49.36899948120117,4.933462619781494,0.986085057258606,,0,4.904850959777832,-0.5268880756405965,162.0,1427.2,267.0,528.0,11.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98635236,23.0,SS,1991,11.53,368,85,,,,,,,,,,,,,,,,,,
Barry Bonds,PIT,153,634,25,95,116,43,0.168769716,0.115141955,0.221568628,0.291764705,0.292156862,0.410094637,0.51372549,0.3964788172828348,,155.0441689843316,3.4426619063451653,43.01326799016594,11.353893280029297,7.771425146342156,Barry Bonds,1109,111188,510,149,91,28,5,107,25,73,4,13,0,8,13,1.465753424,0.923820127,6.3096409734317325,,,,3.4426619063451653,109.83342129106376,38.33141316587778,7.9857940673828125,-9.73445987701416,17.720252990722656,67.3759994506836,7.368206024169922,1.0933068990707395,1.3902000188827517,5,5.815682888031006,1.4885736516198165,147.0,1306.2,320.0,13.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99088146,18.0,LF,1991,7.98,262,58,,,,,,,,,,,,,,,,,,
Frank Thomas,CHW,158,701,32,104,109,1,0.196861626,0.159771754,0.234347048,0.350119904,0.31842576,0.452857142,0.552772808,0.4417771461922702,,178.7701149199069,-0.6208325486950343,64.57213482406486,-18.17981433868408,7.259099813942644,Frank Thomas,255,123245,559,178,113,31,2,138,13,112,1,2,0,20,2,1.232142857,1.00562995,2.1150162043336613,,,,-0.6208325486950343,145.9295412775126,66.87132724635275,4.424015522003174,-10.72214412689209,15.146160125732422,59.40800094604492,6.259977340698242,1.0333983898162842,3.1314001083374023,1,5.515518665313721,-1.2344828464078406,56.0,476.2,459.0,27.0,2.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99590164,-4.0,1B,1991,6.98,309,65,,,,,,,,,,,,,,,,,,
Ken Griffey Jr.,SEA,154,633,22,76,100,18,0.112164296,0.129541864,0.200729927,0.346578366,0.326642335,0.399046104,0.527372262,0.3991217635768024,,147.6484214683634,1.2089128577354131,36.81903634737506,9.072478771209717,6.918545430132382,Ken Griffey Jr.,327,115135,548,179,114,42,1,71,21,82,1,9,4,10,6,0.865853658,0.926418366,3.7634544565430983,,,,1.2089128577354131,110.95040609373795,39.56117716117848,4.274759769439697,-10.004841804504396,14.27960205078125,42.54899978637695,4.5637640953063965,1.037095069885254,1.73389995098114,6,3.671468734741211,0.4503903826805553,145.0,1271.2,361.0,15.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98947368,7.0,CF,1991,7.1,289,65,,,,,,,,,,,,,,,,,,
Ryne Sandberg,CHC,158,684,26,104,100,22,0.127192982,0.130116959,0.194871795,0.300626304,0.29059829,0.37920937,0.485470085,0.3833822693143572,,139.01105648019922,1.2151179736974882,31.471426385529107,7.885692596435547,6.422246362541824,Ryne Sandberg,1011411,121665,585,170,110,32,2,87,4,89,2,9,1,9,8,0.977528089,0.864679455,4.9755883457158365,,,,1.2151179736974882,111.5868292503307,34.44586149382091,6.091912269592285,-10.328791618347168,16.420703887939453,55.40399932861328,5.736449718475342,1.0662212371826172,1.9525333642959597,3,4.140169620513916,1.5733840559158958,154.0,1374.2,267.0,515.0,4.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99491094,6.0,2B,1991,7.03,284,60,,,,,,,,,,,,,,,,,,
Devon White,TOR,156,715,17,110,60,33,0.076923076,0.188811188,0.172897196,0.330645161,0.281931464,0.342253521,0.45482866,0.3547167230728483,,118.67741389094364,2.627791449209326,18.394608805997237,20.37311291694641,6.380647086800228,Devon White,1013862,124164,642,181,114,40,10,55,1,135,7,6,5,7,10,0.407407407,0.797082181,7.642525450747321,,,,2.627791449209326,100.83749989732384,20.200377169393292,1.5028876066207886,-12.925228118896484,14.428115844726562,12.541000366210938,1.3062803745269775,1.0639102458953855,,0,1.4482026100158691,-0.035595096911265,156.0,1384.0,439.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99776786,18.0,CF,1991,6.34,292,67,,,,,,,,,,,,,,,,,,
Terry Pendleton,ATL,153,644,22,94,86,10,0.066770186,0.108695652,0.197952219,0.329341317,0.319112627,0.362637362,0.517064846,0.3837618602288736,,140.54868521283666,1.189516820028075,30.799268759861818,8.320647478103638,6.257035386384106,Terry Pendleton,1010157,120381,586,187,123,34,8,43,8,70,1,7,7,16,2,0.614285714,0.879702208,5.886126179873738,,,,1.189516820028075,105.2498111427432,32.62001109129248,3.571157693862915,-10.475549697875977,14.046708106994627,32.8120002746582,3.210479974746704,1.0370442867279053,2.302000045776367,5,3.540107011795044,-0.0965147375145738,148.0,1283.2,108.0,349.0,24.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95010395,7.0,3B,1991,6.14,303,64,,,,,,,,,,,,,,,,,,
Wade Boggs,BOS,144,641,8,93,51,1,0.138845553,0.049921996,0.128205128,0.337890625,0.331501831,0.421216848,0.459706959,0.3851059269788977,,134.52031988052195,-0.6148816771019483,25.509985618441945,12.231141328811646,6.0634795405560435,Wade Boggs,1001124,111153,546,181,129,42,2,89,25,32,0,6,0,16,2,2.78125,0.880923807,2.5781548549562365,,,,-0.6148816771019483,105.42395093820546,33.132488464634164,4.144824028015137,-8.272356033325195,12.417180061340332,31.84119987487793,3.1835851669311523,0.9397245049476624,2.291249990463257,4,3.012190580368042,1.398489364863333,140.0,1196.2,89.0,276.0,12.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96816976,11.0,3B,1991,6.42,251,52,,,,,,,,,,,,,,,,,,
Lou Whitaker,DET,138,572,23,94,78,4,0.157342657,0.078671328,0.210638298,0.263414634,0.278723404,0.39122807,0.489361702,0.389361818420126,,141.09420796751024,-0.0113887652696575,27.74084182634391,12.13500678539276,6.058061905106991,Lou Whitaker,1013846,124154,470,131,80,26,2,90,6,45,2,8,2,3,2,2.0,0.880589772,3.743586482845214,,,,-0.0113887652696575,95.95307461126498,31.443376428920548,3.792001724243164,-8.951410293579102,12.743412017822266,39.76700210571289,3.875793218612671,1.0324782133102417,1.5921857357025146,14,3.770707368850708,-0.0979889759990286,119.0,1063.2,255.0,361.0,4.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99354839,11.0,2B,1991,6.75,230,51,,,,,,,,,,,,,,,,,,
Barry Larkin,CIN,123,527,20,88,69,24,0.104364326,0.121442125,0.20474138,0.314136125,0.301724137,0.377862595,0.506465517,0.3929088304877053,,148.13543171867622,2.411370844318298,31.17526032212563,9.370369911193848,6.035445617953572,Barry Larkin,335,117501,464,140,89,27,4,55,1,64,3,2,3,7,6,0.859375,0.884328112,6.617823676655837,,,,2.411370844318298,89.84592356647855,30.41128905232554,2.411520481109619,-8.881753921508789,11.29327392578125,31.448299407958984,3.225302219390869,1.0113643407821655,2.5108001232147217,2,3.014791965484619,-0.6303688808773393,120.0,1032.0,226.0,372.0,15.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97553018,3.0,SS,1991,6.12,235,51,,,,,,,,,,,,,,,,,,
