Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,fWAR,NameASCII,PlayerId,MLBAMID,AB,H,1B,2B,3B,BB,IBB,SO,HBP,SF,SH,GDP,CS,BB/K,OPS,Spd,UBR,wGDP,XBR,wSB,wRC,wRAA,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Pos,Year,bWAR,TB,XBH,BatSpd,EV,Barrel%,HardHit%,xBA,xSLG,maxEV,Chase%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Whiff%,Zone%,TZ
Alex Rodriguez,NYY,162,715,48,124,130,21,0.127272727,0.194405594,0.289256198,0.346793349,0.320661157,0.42097902,0.609917355,0.4356509525502756,,173.76639237630283,2.1748662187019363,66.57838500586081,-0.1959264278411865,9.078447161892951,Alex Rodriguez,1274,121347,605,194,116,29,1,91,8,139,16,3,0,8,6,0.654676258,1.030896375,4.645842175008636,-2.299999952316284,3.0999999046325684,,1.374866266385652,150.6740547106995,64.98643317682877,6.265436172485352,-10.744138717651367,17.009572982788086,71.6760025024414,7.255834102630615,0.9729251861572266,,0,7.194278240203857,-0.7544858886130692,1390.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-0.2472279965877533,-5.696034446358681,3.4502367642708123,-2.4930279552936554,2.1906436655238326,0.0,,,3B,2005,9.36,369,78,,,,,,,,,,,,,,,
Andruw Jones,ATL,160,672,51,95,128,5,0.095238095,0.166666666,0.31228669,0.239534883,0.262798634,0.34672619,0.575085324,0.3825868968717607,,134.0497978295437,-0.8622388716321439,27.87199986129862,28.532065391540527,7.851414188587478,Andruw Jones,96,116662,586,154,76,24,3,64,13,112,15,7,0,19,3,0.571428571,0.921811514,3.5143301900248582,0.3000000119209289,-0.699999988079071,,-0.4622388954740017,112.08608471262131,31.55170475351487,3.893083333969116,-11.452385902404783,15.345470428466797,28.525999069213867,2.9215269088745117,1.0324251651763916,1.7890000343322754,1,4.2076592445373535,-0.4368451794772712,1366.1,0.0,0.0,0.0,0.0,8.0,0.0,7.0,0.0,15.0,8.41034984588623,0.0,17.064199447631836,0.7147061303257942,26.189249992370605,27.932744212359175,0.0,,,CF,2005,6.74,337,78,,,,,,,,,,,,,,,
Albert Pujols,STL,161,700,41,129,117,16,0.138571428,0.092857142,0.279187817,0.31557377,0.329949238,0.43,0.609137055,0.4319314087836561,,167.39545548539132,4.883596826693974,64.12761927307335,-9.919971108436584,7.722591228359675,Albert Pujols,1177,405395,591,195,114,38,2,97,27,65,9,3,0,19,2,1.492307692,1.039137055,5.085476236977862,2.299999952316284,0.5,,2.0835968743776903,145.35715721796484,61.467178093895626,4.448251724243164,-10.82551383972168,15.273765563964844,61.82999801635742,6.317392826080322,0.953416645526886,2.0742666721343994,6,6.301718711853027,-1.6361281275970434,1358.2,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,13.0,0.0,0.3984740078449249,4.600500106811523,-3.2705299258232117,1.72843399643898,1.5378806445740711,0.0,,,1B,2005,8.39,360,81,,,,,,,,,,,,,,,
Chase Utley,PHI,147,628,28,93,105,16,0.109872611,0.173566878,0.248618785,0.314769975,0.290976058,0.375796178,0.539594843,0.3884609048860222,,134.31574913280235,4.7147248417604715,31.7772933418078,19.102498054504395,7.153692218985605,Chase Utley,1679,400284,543,158,85,39,6,69,5,109,9,7,0,10,3,0.633027522,0.915391021,6.056019367839962,1.399999976158142,1.600000023841858,,1.7147248417604717,107.80158407927097,32.540288522248865,3.669329881668091,-9.967484474182127,13.63681411743164,39.62300109863281,3.947106122970581,1.0097815990447998,2.0773000717163086,6,3.0075442790985107,0.6262413683514763,1249.3,0.0,0.0,0.0,-2.0,0.0,2.0,23.0,0.0,23.0,0.0,-0.7025289833545685,19.042070388793945,-0.8179250229150057,17.521571844816208,78.00087453626145,0.0,,,2B,2005,7.26,293,73,,,,,,,,,,,,,,,
Derrek Lee,CHC,158,691,46,120,107,15,0.12301013,0.157742402,0.326599326,0.343049327,0.335016835,0.418234442,0.661616161,0.4436591371983111,,170.3282309363256,0.0017670417437329,61.02899248253445,-14.166331052780151,6.956587172569481,Derrek Lee,525,117601,594,199,100,50,3,85,23,109,5,7,0,12,3,0.779816513,1.079850603,4.972936474623308,-2.0999999046325684,0.6000000238418579,,1.5017669225344434,150.19844942395932,67.387055745771,4.799781799316406,-10.632914543151855,15.432696342468262,58.16399765014648,5.755417823791504,1.0003091096878052,,0,6.607557773590088,-1.809259174855533,1386.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,0.0,0.6085349917411804,-4.18602991104126,1.2938889861106873,-2.283614933490753,-2.4790688466998043,0.0,,,1B,2005,7.74,393,99,,,,,,,,,,,,,,,
Brian Roberts,BAL,143,640,18,92,73,27,0.1046875,0.1296875,0.201426025,0.340517241,0.31372549,0.387401574,0.515151515,0.3870221000815195,,140.1003967573845,3.461160380509682,34.79933194333755,11.50197958946228,6.810597527334302,Brian Roberts,166,406878,561,176,106,45,7,67,5,83,3,4,5,6,10,0.807228915,0.902553089,6.228014331300925,0.5,2.0,,0.961160380509682,109.09901579347972,32.39960630861644,2.645073175430298,-10.542255401611328,13.18733024597168,31.55590057373047,3.1348698139190674,0.9930391311645508,1.928599953651428,3,2.3133533000946045,0.3502609447220965,1208.0,0.0,0.0,0.0,2.0,0.0,-1.0,14.0,0.0,15.0,0.0,-0.3550699949264526,6.62755012512207,3.15816680341959,9.430649876594543,10.639059758657238,0.0,,,2B,2005,7.26,289,70,,,,,,,,,,,,,,,
Jim Edmonds,STL,142,567,29,88,89,5,0.160493827,0.245149911,0.269807281,0.310231023,0.263383297,0.38515901,0.533190578,0.3886745748974436,,138.8734265962975,4.000673205475323,31.679760681243256,10.853217720985413,6.11738203236912,Jim Edmonds,1153,113744,467,123,56,37,1,91,10,139,4,4,1,6,5,0.654676258,0.918349588,3.1575533881297755,3.3000001907348633,2.0,,-1.2993269852595404,97.43072664075216,29.479843550256096,3.4274096488952637,-9.588274002075195,13.015684127807615,35.612998962402344,3.749999046325683,1.0358030796051023,2.2317776679992676,9,3.15431547164917,0.1546239555264623,1153.1,0.0,0.0,0.0,0.0,5.0,0.0,-3.0,0.0,2.0,5.164340019226074,0.0,2.617539882659912,1.093759000301361,8.875629901885986,9.835342121568871,0.0,,,CF,2005,4.37,249,67,,,,,,,,,,,,,,,
Morgan Ensberg,HOU,150,624,36,86,101,6,0.136217948,0.190705128,0.273764259,0.300531914,0.283269961,0.387820512,0.55703422,0.3990064018140963,,143.978559165983,-2.8709695511497557,31.591109277615892,8.56296968460083,6.064974407368642,Morgan Ensberg,556,348563,526,149,80,30,3,85,9,119,8,5,0,12,7,0.714285714,0.944854732,3.4542741947142996,-1.2000000476837158,0.3000000119209289,,-1.9709695153869689,112.56365372653175,37.78172947879006,2.1424882411956787,-11.020796775817873,13.163284301757812,29.35700035095215,2.941272258758545,1.0405516624450684,0.0254000015556812,2,2.205028295516968,-0.1460356298752629,1286.1,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,14.0,0.0,0.2722389996051788,3.966629981994629,2.118458826094866,6.357329159975052,6.364735831652066,0.0,,,3B,2005,6.27,293,69,,,,,,,,,,,,,,,
Mark Teixeira,TEX,162,730,43,112,144,4,0.098630136,0.169863013,0.273291925,0.314583333,0.301242236,0.379452054,0.574534161,0.4043943502163065,,146.8604704046601,2.333642796962522,44.10460834753675,-9.77160096168518,5.9150846900197775,Mark Teixeira,1281,407893,644,194,107,41,3,72,5,124,11,3,0,18,0,0.580645161,0.953986215,3.89866413366316,1.3999999463558197,0.4000000059604645,,0.5336428446462378,134.9418194037999,47.45655546012775,3.1334238052368164,-11.773550033569336,14.906973838806152,60.553001403808594,5.653934478759766,0.9659115672111512,,0,4.01509952545166,-0.7710926084583565,1358.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,13.0,0.0,-0.900052011013031,-0.0784927979111671,3.713804066181183,2.735257923603058,2.7147552563834787,0.0,,,1B,2005,7.23,370,87,,,,,,,,,,,,,,,
Brian Giles,SDP,158,674,15,92,83,13,0.176557863,0.094955489,0.181651376,0.314345991,0.300917431,0.422848664,0.482568807,0.3923598730474486,,147.05323475417012,3.2941300763050094,43.11999960455765,-6.264557853341103,5.897466211117463,Brian Giles,990,114789,545,164,103,38,8,119,9,64,2,8,0,14,5,1.859375,0.905417471,5.3523758924487215,1.4999998807907104,1.600000023841858,,0.194130171672441,117.87383970399574,37.0997740902491,4.27655553817749,-10.370039939880373,14.64659595489502,55.80699920654297,5.682521820068359,1.0630443096160889,2.1429333686828613,3,4.749325275421143,-0.7263927414781888,1354.0,0.0,0.0,0.0,0.0,-1.0,-2.0,-4.0,0.0,-7.0,0.5554040074348449,0.0,-1.623289305716753,0.8561394321732221,-0.211746707558632,2.011481503318081,0.0,,,RF,2005,4.86,263,61,,,,,,,,,,,,,,,
