Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,fWAR,NameASCII,PlayerId,MLBAMID,AB,H,1B,2B,3B,BB,IBB,SO,HBP,SF,SH,GDP,CS,BB/K,OPS,Spd,UBR,wGDP,XBR,wSB,wRC,wRAA,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,Chase%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Whiff%,Zone%,Pace,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Pos,Year,TB,XBH,BatSpd,EV,Barrel%,HardHit%,xBA,xSLG,maxEV,TZ
Alex Rodriguez,NYY,158,708,54,143,156,24,0.13418079,0.169491525,0.331046312,0.30861244,0.313893653,0.422316384,0.644939965,0.4446726942507061,,174.88911858638824,7.712871355703101,74.20784340156487,-0.5241881608963013,9.578519662198064,Alex Rodriguez,1274,121347,583,183,98,31,0,95,11,120,21,9,0,15,4,0.791666666,1.067256349,5.016155911793067,4.199999690055847,1.100000023841858,,2.4128716418053955,155.04123916789203,67.50167098208576,7.681145668029785,-10.674885749816896,18.35603141784668,84.35600280761719,8.16465950012207,1.0013104677200315,,0,6.641583442687988,1.0295095056556294,0.2465374,0.6011236,0.42259414,0.51685393,0.79906542,0.28382838,0.49651325,,1330.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,0.0,-1.0,0.0,1.0349600315093994,-5.67048978805542,2.2629270255565643,-2.372609853744507,-2.7181673747490107,0.0,,,3B,2007,376,85,,,,,,,,
David Wright,NYM,160,711,30,113,107,34,0.132208157,0.161744022,0.221854304,0.356223175,0.324503311,0.416315049,0.546357615,0.4133920902901507,,150.87498957448227,6.434663533465937,53.39806749845304,8.71754264831543,8.350359187862374,David Wright,3787,431151,604,196,123,42,1,94,6,115,6,7,0,14,5,0.817391304,0.962672664,5.10454974711984,2.5,0.0,,3.934663533465937,137.0356980139521,49.12519945447713,4.270450115203857,-10.644001007080078,14.91444969177246,45.72100067138672,4.6203813552856445,0.9435562491416932,7.376999855041504,1,5.149834632873535,-0.6239252140249221,0.21724138,0.61591696,0.41623489,0.76190476,0.8258427,0.19087136999999998,0.49913644,,1418.1,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,12.0,0.0,-0.2785249948501587,7.112040042877197,-0.5479529947042465,6.2855647802352905,6.2963623582248065,0.0,,,3B,2007,330,73,,,,,,,,
Magglio Ordonez,DET,157,679,28,117,139,4,0.111929307,0.116347569,0.231932773,0.381338742,0.36302521,0.433628318,0.594957983,0.4381724583568858,,169.45297896833645,-1.3912435183301568,57.75095754519928,1.140328884124756,8.037499773774023,Magglio Ordonez,248,120044,595,216,134,54,0,76,8,79,2,5,0,20,1,0.962025316,1.028586301,2.894563936814854,0.2000000476837158,-1.2999999523162842,,-0.2912436136975884,144.9870816146292,61.033173707620094,6.402487277984619,-10.388106346130373,16.79059410095215,69.51499938964844,6.716588497161865,1.0367282629013062,3.4607999324798584,1,5.311891078948975,0.8637747219110521,0.22490706,0.66921899,0.46851385,0.7768595,0.88329519,0.13978495000000002,0.54827876,,1221.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,0.0,1.0,-0.5339530110359192,0.0,7.910439968109131,1.5570550560951233,8.933537185192108,10.329955702909674,0.0,,,RF,2007,354,82,,,,,,,,
Curtis Granderson,DET,158,676,23,122,74,26,0.076923076,0.208579881,0.25,0.36,0.302287581,0.360655737,0.552287581,0.3875694044692787,,135.59469967091923,9.866855459054932,40.04335495882368,17.493361234664917,7.895222508479794,Curtis Granderson,4747,434158,612,185,101,38,23,52,3,141,5,2,5,3,1,0.368794326,0.912943318,8.47743298335143,3.200000286102295,2.4000000953674316,,4.266855077585205,115.64209486433936,32.05911733099891,0.6427958011627197,-11.078049659729004,11.72084617614746,25.068099975585938,2.40502405166626,0.9415062069892884,1.58270001411438,6,3.2030746936798096,-2.520343346407839,0.24724409,0.58179012,0.416212,0.57961783,0.88328912,0.20599250999999996,0.50506625,,1290.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,0.0,14.0,4.120419979095459,0.0,10.79507620073855,0.4002406550571322,15.31572113186121,18.46137957028681,0.0,,,CF,2007,338,84,,,,,,,,
Albert Pujols,STL,158,679,32,99,103,2,0.14580265,0.085419734,0.240707964,0.316770186,0.327433628,0.428571428,0.568141592,0.4189960118298116,,154.63239842076143,-4.937070020008832,43.225058782274104,13.126508712768556,7.684941085614525,Albert Pujols,1177,405395,565,185,114,38,1,99,22,58,7,8,0,27,6,1.706896551,0.99671302,1.9788514583711156,0.5,-2.5999999046325684,,-2.837070115376264,134.06103887770905,50.10713097069991,4.778099536895752,-10.012747764587402,14.790847778320312,49.17599868774414,4.789976596832275,0.9734601974487304,2.3340001106262207,4,4.526606559753418,0.3817600580274813,0.25142857,0.50617284,0.37388724,0.79545455,0.95528455,0.10052910000000004,0.48071217,,1324.2,0.0,0.0,0.0,0.0,0.0,4.0,27.0,0.0,31.0,0.0,1.145419955253601,20.968599319458008,2.369403064250946,24.48341929912567,21.446765347817024,0.0,,,1B,2007,321,71,,,,,,,,
Chase Utley,PHI,132,613,22,104,103,9,0.081566068,0.145187601,0.233962264,0.361502347,0.332075471,0.410130718,0.566037735,0.4188182123749229,,149.53344769358617,4.60232516634278,44.02487088596388,14.432295083999634,7.677744807824399,Chase Utley,1679,400284,530,176,101,48,5,50,1,89,25,7,1,7,1,0.561797752,0.976168453,5.823486184769742,2.200000166893006,1.600000023841858,,0.8023249756079167,120.9386121963238,45.14517251002542,3.6136221885681152,-9.51779556274414,13.131418228149414,45.3849983215332,4.413980484008789,0.9765265583992004,0.9987999796867372,1,4.907195568084717,-1.206710253592246,0.22364217,0.584375,0.40600316,0.74285714,0.90909091,0.13618677,0.50552923,,1175.0,0.0,0.0,0.0,-2.0,0.0,3.0,17.0,0.0,18.0,0.0,-1.5158900022506714,12.78123289393261,1.234517765675264,12.499853682180401,14.824059542635798,0.0,,,2B,2007,300,75,,,,,,,,
Chipper Jones Jr.,ATL,134,600,29,108,102,5,0.136666666,0.125,0.267056531,0.347826086,0.337231968,0.425,0.604288499,0.4338016758530827,,162.536444781567,-1.081542547326535,47.63428358660025,3.0481622219085693,6.877375349135936,Chipper Jones Jr.,97,116706,513,173,98,42,4,82,10,75,0,5,0,21,1,1.093333333,1.029288499,4.53870824985945,0.5,-1.600000023841858,,0.0184574765153229,125.91761575146523,51.731541017731104,4.284363746643066,-10.255330085754396,14.53969383239746,50.9109992980957,5.0902276039123535,1.0507174730300903,2.2662999629974365,2,4.777188301086426,-0.699628103778875,0.22607656,0.66857963,0.4272668,0.75132275,0.84120172,0.18473282000000002,0.45466406,,1087.2,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,-0.3961330056190491,-0.845928966999054,3.0493596016895026,1.8073019981384277,1.9845381769873756,0.0,,,3B,2007,310,75,,,,,,,,
Matt Holliday,COL,158,713,36,120,137,11,0.088359046,0.176718092,0.267295597,0.376569037,0.339622641,0.405329593,0.606918238,0.4283890641444803,,150.62243140857834,2.5548161840997636,49.41652963232031,-2.5747313499450684,6.866710695238662,Matt Holliday,1873,407812,636,216,124,50,6,63,7,126,10,4,0,23,4,0.5,1.012247831,5.170075057056184,4.900000095367432,-2.200000047683716,,-0.1451838635839522,146.3937679172099,58.23598244195586,4.389667510986328,-13.001325607299805,17.390995025634766,51.13999938964844,4.611326694488525,1.0384509563446045,,0,4.82796573638916,-0.600835428340563,0.31950207,0.75626424,0.5276873,0.57792208,0.85542169,0.23251029,0.47665581,,1383.2,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,0.0,0.0,0.3927559852600097,0.0,3.4496700763702393,0.8085139989852905,4.650936126708984,4.650936126708984,0.0,,,LF,2007,386,92,,,,,,,,
Alfonso Soriano,CHC,135,617,33,97,70,19,0.050243111,0.21069692,0.260794474,0.334128878,0.298791018,0.337115072,0.559585492,0.3784582495300455,,122.16836342063849,2.2016911013051867,19.960115476051268,27.87023448944092,6.653893522377299,Alfonso Soriano,847,150093,579,173,93,42,5,31,4,130,4,3,0,9,6,0.238461538,0.896700564,6.247325386291821,1.5999999791383743,-0.2000000029802322,,0.8016911251470447,100.83187947003722,24.54386595218062,0.725505530834198,-10.957571983337402,11.683077812194824,4.908400535583496,0.5173360705375671,0.9533150792121888,1.7173999547958374,1,1.5277045965194702,-0.7666702368891269,0.43539823,0.75700935,0.57401813,0.69918699,0.7808642,0.25438596,0.43101712,,1165.1,0.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0,17.0,14.283333241939545,0.0,19.253780126571655,-0.3673207163810731,33.16973286867142,52.9224599408703,0.0,,,LF,2007,324,80,,,,,,,,
Jimmy Rollins,PHI,162,778,30,139,94,41,0.062982005,0.109254498,0.234636871,0.299835255,0.296089385,0.344473007,0.530726256,0.3708921836696343,,118.5584846571025,11.837139750597998,30.583102201972416,9.977775573730469,6.4633470409834715,Jimmy Rollins,971,276519,716,212,124,38,20,49,5,85,7,6,0,11,6,0.576470588,0.875199263,8.688210814190704,6.900000192224979,-0.1000000014901161,,5.037139559863135,122.20354763714064,26.00893739906538,3.037529945373535,-13.406335830688477,16.443866729736328,34.55649948120117,3.393226385116577,0.9849553108215332,,0,2.9103078842163086,0.1736187792583896,0.30222222,0.53493976,0.41387283,0.77941176,0.92342342,0.13128492000000003,0.47976879,,1441.1,0.0,0.0,0.0,1.0,0.0,-1.0,5.0,0.0,5.0,0.0,0.8315579891204834,-2.25462007522583,3.9865939617156982,2.5635279417037964,2.3268989084651635,0.0,,,SS,2007,380,88,,,,,,,,
