Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID,AB,H,1B,2B,3B,BB,IBB,SO,HBP,SF,SH,GDP,CS,BB/K,OPS,Spd,UBR,wGDP,XBR,wSB,wRC,wRAA,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,xBA,xSLG,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,Inn,rSZ,rCERA,rSB,rGDP,rARM,rGFP,rPM,rTS,DRS,ARM,DPR,RngR,ErrR,UZR,UZR/150,FRM,OAA,FRV,Year
Aaron Judge,NYY,158,704,58,122,144,10,0.188920454,0.242897727,0.379248659,0.367469879,0.322003577,0.458036984,0.701252236,0.4757340011100992,0.4809395285213695,219.7835722854021,-0.4931896701455116,95.99530419615104,-9.598692893981934,11.3301788795295,Aaron Judge,15640,592450,559,180,85,36,1,133,20,171,9,2,0,22,0,0.777777777,1.15928922,3.920110021496349,2.299999952316284,-1.0,-0.8594608306884766,0.3662685975432396,176.15959543642597,93.8070330089052,391,96.23058925128537,111.4,117.5,18.894601542416453,105.0,0.2685422,239.0,0.6112532,0.3046500391239742,0.7400772314277484,6.17204475402832,-9.348380088806152,15.520424842834473,96.76200103759766,10.102310180664062,0.9214473366737366,,0,9.473153114318848,-2.7749463819533062,1010.0,0.0,0.0,0.0,0.0,0.0,1.0,-9.0,0.0,-8.0,3.0306281447410583,0.0,-4.1139764785184525,1.2892139945179224,0.2058658748865128,20.647833049470265,0.0,-5.0,-2.0,2024
Bobby Witt Jr.,KCR,161,709,32,125,109,31,0.080394922,0.149506346,0.256289308,0.35375494,0.331761006,0.389280677,0.588050314,0.4097383537462779,0.4069405691964285,169.13393177564416,4.488509424030781,60.57304130091224,17.54539966583252,10.492325777805815,Bobby Witt Jr.,25764,677951,636,211,123,45,11,57,9,106,8,8,0,4,12,0.537735849,0.977330991,7.2023241576855455,3.0,2.4000000953674316,4.561328411102295,-0.0728204175829887,139.75057346715485,56.81312068148408,538,92.7327123025093,109.5,116.9,15.118959107806692,77.0,0.14312268,260.0,0.48327138,0.3088416333468455,0.5827792665493563,4.986430644989014,-10.365489959716797,15.351920127868652,63.744998931884766,6.319154262542725,0.9406923055648804,,0,5.7002739906311035,-0.3994645596507036,1393.2,0.0,0.0,0.0,1.0,0.0,4.0,-3.0,0.0,2.0,0.0,0.0423843003809452,-2.389302968978882,5.798066318035126,3.4511472322046757,2.252727145837112,0.0,15.0,11.0,2024
Shohei Ohtani,LAD,159,731,54,134,130,59,0.110807113,0.221614227,0.336477988,0.336470588,0.309748427,0.39010989,0.646226415,0.4305492917641291,0.4438979805013927,179.6782932394558,9.737880982458591,79.3874901857637,-17.17592430114746,8.950996990191552,Shohei Ohtani,19755,660271,636,197,98,38,7,81,10,162,6,5,0,7,4,0.5,1.036336305,8.105655160534827,1.8999998569488523,2.200000047683716,0.9390804767608644,8.798800624907017,156.33115792539346,70.82018756386266,482,95.8046057792887,112.0,119.2,16.198744769874477,103.0,0.21369295,288.0,0.59751037,0.3096176243428164,0.6720898226372101,7.307146072387695,-11.061223983764648,18.368370056152344,81.4447021484375,8.38737678527832,0.9819509983062744,,0,7.960597991943359,-0.5191410506178951,,,,,,,,,,,,,,,,,,,,2024
Juan Soto,NYY,157,713,41,128,109,7,0.180925666,0.16690042,0.28125,0.297619047,0.288194444,0.419354838,0.569444444,0.4205848819428188,0.4636422871534512,180.99055562627643,-3.8677096739411354,62.20612550082791,-5.455176591873169,8.299217739628983,Juan Soto,20123,665742,576,166,90,31,4,129,2,119,4,4,0,10,4,1.084033613,0.988799282,4.300614076383838,-4.300000190734863,1.0,-1.9034605026245115,-1.964250959455967,146.7634593501984,63.35809427800763,461,94.1859375,110.0,115.7,10.672527472527472,91.0,0.19739696,262.0,0.56832972,0.3109934737042683,0.6561228788688208,5.98081636428833,-9.091389656066896,15.072205543518066,69.94400024414062,7.308413982391357,0.8637031316757202,0.746399998664856,1,7.468951225280762,-0.5443307799610793,1329.2,0.0,0.0,0.0,0.0,4.0,3.0,-7.0,0.0,0.0,3.074144124984741,0.0,-9.191835768520832,1.0568030141294003,-5.060888338834047,3.8677646652589983,0.0,-4.0,0.0,2024
Gunnar Henderson,BAL,159,719,37,118,92,21,0.108484005,0.221140472,0.247619048,0.319634703,0.28095238,0.364394993,0.528571428,0.3814647619438702,0.3739156656331949,153.79507079266284,3.9905477464199066,48.247039197559765,4.4383018016815186,7.899848028107995,Gunnar Henderson,26289,683002,630,177,102,31,7,78,1,159,7,4,0,2,4,0.490566037,0.892966421,6.711413310786194,2.9000000953674316,2.5,2.8782999515533447,1.1119838654994965,125.35989116745752,41.252657665486744,475,92.80421776107596,108.1,113.1,9.216842105263158,53.0,0.11157895,256.0,0.53894737,0.2790229688198654,0.4985421913037808,3.0245347023010254,-10.002717971801758,13.027252197265623,34.16239929199219,3.736317634582519,0.8786047697067261,,0,3.2449018955230713,0.1975272905950511,1384.0,0.0,0.0,0.0,-2.0,0.0,-2.0,9.0,0.0,5.0,0.0,-0.2674938142299652,4.417709827423096,0.3168278932571411,4.46704426407814,2.752034713403653,0.0,-2.0,-3.0,2024
Francisco Lindor,NYM,152,689,33,107,91,29,0.081277213,0.184325108,0.226537217,0.295010845,0.273462783,0.343976777,0.5,0.3628858149657228,0.381032855011696,136.87564878805517,4.007105514407158,34.38937253454479,16.907704830169678,7.678644854683361,Francisco Lindor,12916,596019,618,169,96,39,1,56,0,127,12,3,0,7,4,0.440944881,0.843976777,5.650956853192346,2.200000166893006,1.600000023841858,1.121485710144043,2.885617181658745,109.82636414417776,29.228472791107027,494,90.8898389862805,105.0,112.7,17.03252032520325,67.0,0.13562753,234.0,0.47368421,0.2782623192093167,0.5386870892739567,4.438841342926025,-10.695478439331056,15.134319305419922,35.04069900512695,3.771580219268799,0.960259974002838,2.503000020980835,1,3.294184923171997,1.3283563293002274,1311.2,0.0,0.0,0.0,-1.0,0.0,-1.0,3.0,0.0,1.0,0.0,0.5540602803230286,0.0144725004211068,2.9627140760421753,3.531246244907379,3.070732613768563,0.0,15.0,14.0,2024
Jarren Duran,BOS,160,735,21,111,75,34,0.073469387,0.217687074,0.207153502,0.344827586,0.284649776,0.341961852,0.491803278,0.3568673902286514,0.3395408880515176,130.74070663303564,8.32556726783514,34.178320024105346,7.675283670425415,6.835882905888461,Jarren Duran,24617,680776,671,191,108,48,14,54,1,160,6,3,1,6,7,0.3375,0.83376513,7.982662395677068,2.099999964237213,0.699999988079071,5.67841100692749,2.6469207033514977,113.59841430554036,27.619531657489578,515,90.78228038877953,106.9,113.9,9.467583497053043,48.0,0.09320388,226.0,0.43883495,0.2665630283640391,0.4560572837715718,2.2944107055664062,-11.65599536895752,13.950406074523926,22.192100524902344,2.248775005340576,0.9175696969032288,,0,3.124623537063598,-0.6240933720963202,1421.1,0.0,0.0,0.0,0.0,9.0,3.0,11.0,0.0,23.0,3.065730094909668,0.0,2.8877340559847653,-0.8752958104014397,5.078169107437134,8.426595034387667,0.0,10.0,11.0,2024
Elly De La Cruz,CIN,160,696,25,105,76,67,0.099137931,0.31321839,0.21197411,0.359042553,0.258899676,0.338616714,0.470873786,0.3486482402837345,0.3298914370329484,119.26510609565474,7.461562395095825,23.495564233948343,16.739577770233154,6.560381376068529,Elly De La Cruz,26668,682829,618,160,89,36,10,69,2,218,6,1,2,12,16,0.316513761,0.8094905,8.693407955542142,,,1.8202353715896609,5.641325235366821,102.9665163871542,21.54977853267347,403,91.82885680379746,108.7,114.7,9.712121212121213,51.0,0.12655087,184.0,0.45657568,0.237136444488129,0.4371159045727222,-0.36894091963768,-12.831722259521484,12.462780952453612,16.56199836730957,1.7081853151321411,0.9701893925666808,1.8539999723434448,1,1.6736820936203003,-2.053959308012049,1391.0,0.0,0.0,0.0,-2.0,0.0,2.0,-2.0,0.0,-2.0,0.0,-1.2986140251159668,-0.3361499011516571,-6.398991823196411,-8.033756256103516,-9.521626615818052,0.0,14.0,9.0,2024
José Ramírez,CLE,158,682,39,114,118,41,0.079178885,0.120234604,0.258064516,0.265346534,0.279032258,0.334801762,0.537096774,0.3642762730118049,0.3333672949729657,141.43936858837043,6.291075125336647,38.62832715644046,0.7672991752624512,6.400794706536588,Jose Ramirez,13510,608070,620,173,93,39,2,54,12,82,1,6,0,9,7,0.658536585,0.871898536,6.627416628901248,0.5,2.799999952316284,1.9994885921478271,4.291585817933083,109.47380956544085,29.69476471378013,545,89.20753389246323,103.9,116.6,19.59926470588235,47.0,0.08623853,216.0,0.39633028,0.2564236302529611,0.4667688677387853,3.426290273666382,-10.72179889678955,14.148088455200195,49.358001708984375,5.149255752563477,0.955475091934204,,0,3.886871337890625,-0.3009167666098458,1108.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,-0.1503410041332245,3.297473907470703,2.691088899970054,5.838222056627274,6.490868662560835,0.0,2.0,2.0,2024
Ketel Marte,ARI,136,583,36,93,95,7,0.111492281,0.181818181,0.267857143,0.299191374,0.291666666,0.372212692,0.559523809,0.3909995480337077,0.3941492200731397,151.5932209536712,0.9338681921362876,36.90238094861856,4.832349181175232,6.324790547352229,Ketel Marte,13613,606466,504,147,86,23,2,65,7,106,5,9,0,9,1,0.613207547,0.931736501,4.320483194670562,2.0000000447034836,0.2000000029802322,1.1148425340652466,-0.1809773221611976,106.12190957899442,37.9236938187038,407,94.12718204488776,108.6,117.0,9.44139650872818,50.0,0.12285012,218.0,0.53562654,0.2889462890625,0.5461146240234375,3.2614476680755615,-8.477596282958984,11.739044189453123,39.51729965209961,4.047186851501465,0.8974272608757019,1.1352499723434448,8,3.263314008712769,0.370905509973424,930.2,0.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,10.0,0.0,-0.3030261099338531,0.3922139108181,2.586735963821411,2.67592391371727,2.096443568845954,0.0,8.0,8.0,2024
William Contreras,MIL,155,679,23,99,92,9,0.114874815,0.204712812,0.18487395,0.330275229,0.280672268,0.365243004,0.465546218,0.3587271837346278,0.3591032848867535,131.57793467399807,-2.5740872099995613,23.065721493793603,7.381562352180481,5.490771103047341,William Contreras,20503,661388,595,167,105,37,2,78,5,139,3,3,0,19,2,0.561151079,0.830789222,4.415599497166965,-0.2999999523162842,-3.0999999046325684,-2.1355462074279785,-0.4385412409901619,105.95967461599218,26.53156397922146,459,92.79695159313724,108.6,118.1,6.082788671023965,46.0,0.10021786,227.0,0.49455338,0.2648569058971244,0.4756384072183561,0.9166719913482666,-12.177900314331056,13.09457302093506,29.10460090637207,2.958266019821167,1.0103721618652344,2.97760009765625,2,2.559242010116577,-1.651980284243201,1060.0,3.0,6.0,1.0,0.0,0.0,-2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.299999952316284,0.0,2.0,2024
Matt Chapman,SFG,154,647,27,98,78,15,0.098918083,0.244204018,0.215652174,0.293367346,0.246956521,0.327666151,0.462608695,0.3401357669452702,0.3417041044280003,120.6726386704186,3.683193765580654,19.67735533594779,11.599823713302612,5.465906668528573,Matt Chapman,16505,656305,575,142,74,39,2,64,3,158,6,2,0,13,2,0.405063291,0.790274846,5.571659057504478,6.100000001490116,-0.1000000014901161,2.6060361862182617,1.0771556720137596,91.28461153238707,15.59979918777637,419,93.1874717620482,109.5,114.5,16.206235011990408,53.0,0.12649165,202.0,0.48210024,0.244079108831135,0.4603331878181096,0.7018736004829407,-11.805299758911133,12.507173538208008,20.225000381469727,2.091824531555176,1.02558434009552,0.4670000076293945,1,1.9119155406951904,-1.227550956484037,1338.0,0.0,0.0,0.0,1.0,0.0,2.0,14.0,0.0,17.0,0.0,1.0028469562530518,1.9957460165023804,5.776135742664337,8.774729013442993,6.518720525643697,0.0,11.0,9.0,2024
Cal Raleigh,SEA,153,628,34,73,100,6,0.111464968,0.280254777,0.216117216,0.251461988,0.219780219,0.31210191,0.435897435,0.3225664181204942,0.3466632040890223,117.55250684811342,-2.5751669853925705,10.037426615675756,21.550546884536743,5.409784663621995,Cal Raleigh,21534,663728,546,120,70,16,0,70,4,176,6,6,0,7,1,0.397727272,0.747999345,2.925951453449971,-2.0999999046325684,1.7000000476837158,-2.249438762664795,-0.3257303684949875,79.72345096858389,6.26122198494322,376,90.95172916666668,106.4,113.9,21.2,58.0,0.15425532,181.0,0.48138298,0.2294871199021645,0.482625922806766,1.4563045501708984,-10.586750984191896,12.043055534362791,18.237001419067383,1.9245221614837649,1.032842040061951,1.8784571886062624,7,0.6399510502815247,0.7700463100927182,1122.0,11.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,12.880000114440918,0.0,14.0,2024
Jackson Merrill,SDP,156,593,24,77,90,16,0.048903878,0.170320404,0.207581228,0.31797235,0.292418772,0.32597623,0.5,0.351507786788097,0.3753677679567921,129.64684290775756,3.7243598848581314,24.747347278772818,7.156049728393555,5.3439871982908596,Jackson Merrill,29490,701538,554,162,101,31,6,29,1,101,1,5,4,2,3,0.287128712,0.82597623,6.132499834830481,,,2.7653908729553223,0.9589659124612808,89.09346624302768,19.725469766437037,462,90.36761487964988,105.1,111.6,14.62800875273523,52.0,0.11255411,203.0,0.43939394,0.2995672122666121,0.5473289627460797,2.4390411376953125,-9.291324615478516,11.730364799499512,15.96720027923584,1.6145719289779663,0.9293684363365172,0.6958400011062622,5,2.6485824584960938,-0.0241753425090451,1323.1,0.0,0.0,0.0,0.0,1.0,-2.0,1.0,0.0,0.0,1.4004900455474854,0.0,5.389193058013916,0.3947106599807739,7.184394121170044,7.986863789678175,0.0,11.0,10.0,2024
Vladimir Guerrero Jr.,TOR,159,697,30,98,103,2,0.103299856,0.137733142,0.22077922,0.342105263,0.323051948,0.395982783,0.543831168,0.3978902227687139,0.4129388982599432,164.49173188476283,-5.590876989066601,45.84219034356644,-17.402435302734375,5.32058980093082,Vladimir Guerrero Jr.,19611,665489,616,199,124,44,1,72,12,96,5,4,0,16,2,0.75,0.939813951,2.159302274889306,-5.300000309944153,-0.8999999761581421,-3.689817190170288,-1.9016806408762932,130.73860448194316,49.20488855583241,524,93.75095785440612,110.4,117.6,7.39961759082218,72.0,0.13740458,287.0,0.54770992,0.3168798947606546,0.5784711479946217,2.8081820011138916,-9.822858810424805,12.631040573120115,45.665000915527344,4.766209602355957,0.8919247984886169,5.888599872589111,1,4.6905741691589355,-1.542122633925911,1126.1,0.0,0.0,0.0,1.0,0.0,2.0,-4.0,0.0,-1.0,0.0,0.1786194667220116,0.016299307346343994,-2.7986276745796204,-2.6037084236741066,-5.95612933359379,0.0,-8.0,-6.0,2024
Yordan Alvarez,HOU,147,635,35,88,86,6,0.108661417,0.149606299,0.259057971,0.316901408,0.307971014,0.392125984,0.567028985,0.4015873697539716,0.4147676440073566,167.06348230854238,-2.898996725678444,45.82752750672614,-16.469484329223633,5.203419072671794,Yordan Alvarez,19556,670541,552,170,99,34,2,69,16,95,10,4,0,14,0,0.726315789,0.959154969,3.845090797636476,-3.099999785423279,-0.6000000238418579,-2.820427417755127,-0.0785724073648452,120.998620061653,46.717544576602336,461,93.05456861413045,109.6,117.0,18.265217391304347,67.0,0.14533623,229.0,0.4967462,0.299932822558062,0.6081408381245746,3.963724374771118,-9.14177417755127,13.105498313903809,45.98400115966797,4.768957138061523,0.9854697585105896,,0,5.701793193817139,-1.6796257548469402,421.0,0.0,0.0,0.0,0.0,1.0,0.0,-6.0,0.0,-5.0,0.6612744927406311,0.0,-1.5968550443649292,0.0987847223877906,-0.8367955088615417,-3.698594906391241,0.0,-7.0,-5.0,2024
Brent Rooker,OAK,145,614,39,82,112,11,0.096091205,0.288273615,0.269230769,0.362275449,0.293040293,0.364820846,0.562271062,0.3921844166810395,0.3811160639712685,163.63141597278016,0.7586114928126335,45.46252725777745,-16.324011087417603,5.108937172040304,Brent Rooker,19627,667670,546,160,93,26,2,59,4,177,5,4,0,5,3,0.333333333,0.927091908,4.276088545836224,0.6999999284744263,1.899999976158142,0.9811683893203736,-0.222559817135334,112.35029903558612,40.52576305476546,373,91.90647110849056,108.5,113.4,18.935309973045825,62.0,0.16621984,185.0,0.49597855,0.2632633377523983,0.5663347805247587,3.813843965530395,-10.128220558166504,13.94206428527832,47.582000732421875,5.024162769317627,1.0171514749526978,0.0627999976277351,1,3.957898378372192,-0.208364450096901,102.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-0.4616717994213103,0.0,-0.1499050781130791,0.1180184679105877,-0.4935583919286727,-7.179462590387889,0.0,-2.0,-2.0,2024
Bryce Harper,PHI,145,631,30,85,87,7,0.12044374,0.218700475,0.24,0.330729166,0.285454545,0.373015873,0.525454545,0.380217063407713,0.3591043310227736,143.72135955460536,-0.4876883178949356,32.502462569460775,-4.22327184677124,5.100994177378258,Bryce Harper,11579,547180,550,157,85,42,0,76,11,138,2,2,1,18,4,0.550724637,0.898470418,2.767145354128121,-0.6000000238418579,-1.2999999523162842,0.9319840669631958,-1.419673815369606,109.38315203397026,35.56998883543959,415,91.03071253071252,107.0,113.8,13.491442542787286,43.0,0.10361446,198.0,0.47710843,0.2628791485921674,0.4819691132884438,-0.020464714616537,-10.18968677520752,10.169221878051758,28.030000686645508,2.784934759140014,0.9253225326538086,,0,2.032191753387451,-2.0543080575888033,1233.1,0.0,0.0,0.0,0.0,0.0,-3.0,8.0,0.0,5.0,0.0,-0.5162019729614258,-0.5572586059570312,2.491320013999939,1.4178590774536133,0.8590484177522973,0.0,7.0,5.0,2024
Willy Adames,MIL,161,688,32,93,112,21,0.107558139,0.251453488,0.211475409,0.296568627,0.250819672,0.331395348,0.462295081,0.3419318153910393,0.341207106096031,120.27350052093948,1.2336751446127892,17.912999917890613,6.019538044929504,4.8490419125907325,Willy Adames,15986,642715,610,153,88,33,0,74,3,173,1,3,0,12,4,0.427745664,0.793690429,4.433158213874132,0.4999999850988388,0.2000000029802322,-0.0836258456110954,1.3171868473291397,98.06381335588893,17.582900074448172,440,88.56181640625,104.1,112.3,20.6,53.0,0.12045455,179.0,0.40681818,0.2397122742699795,0.4680542492475666,1.201114535331726,-12.950986862182615,14.152101516723633,23.1820011138916,2.4348442554473877,1.079220175743103,,0,0.1653895527124405,0.9475571492936556,1406.1,0.0,0.0,0.0,-1.0,0.0,1.0,-16.0,0.0,-16.0,0.0,0.2957080900669098,-3.640778064727783,-5.081336475908756,-8.426408380270004,-11.337559370701497,0.0,0.0,1.0,2024
