Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO,ER
Lefty Grove,1005099,115201.0,PHA,8.254816055297852,,10.37,2.536082474226804,,3.078897552228056,,,,0.17548279,0.05037783,0.12510495,291.0,50,32,,,,,0.2474226804123711,0.2915291529152915,0.7252142,,9,0.2424511545293073,1.1443298969072164,53.10335858064701,63.6742796548234,,,,,,209,60,5,8.0,,22,2,82
Dazzy Vance,1013342,123630.0,BRO,6.035313606262207,,7.26,2.6095358772249613,,3.5999456533755754,,,,0.16305372,0.05183789,0.11121583,258.2,35,31,,,,,0.5219071754449923,0.2779827798277983,0.72857143,,0,0.2407592407592407,1.1443298069016126,53.61116354307374,75.26508451336274,,,,,,173,55,5,15.0,,20,4,75
Wes Ferrell,1004010,114087.0,CLE,5.35427188873291,,8.27,3.3067413462612643,,4.20918052526936,,,,0.1122449,0.08320251,0.02904239,296.2,43,35,,,,,0.4247190719968596,0.2818991097922849,0.68500259,,3,0.2559931506849315,1.3651684457041915,67.78938095939897,85.51121524817799,,,,,,143,106,0,14.0,,25,1,109
Bump Hadley,1005186,115291.0,WAS,4.960251808166504,,4.58,3.7336750677150334,,3.8220192260692927,,,,0.14555256,0.09433962,0.05121294,260.1,42,34,,,,,0.2074263926508352,0.2829736211031175,0.66744051,,2,0.2415169660678642,1.3329066342562927,81.19895753269545,82.2943822148979,,,,,,162,105,6,6.0,,15,1,108
Carl Hubbell,1006123,116249.0,NYG,4.62366247177124,,3.97,3.873102877666181,,3.967832189415252,,,,0.11282546,0.05593057,0.05689489,241.2,37,32,,,,,0.409655112060846,0.3,0.66961466,,2,0.271694214876033,1.3282756663791069,79.70085459788196,82.95895842267439,,,,,,117,58,11,11.0,,17,3,104
Pat Malone,1008044,118214.0,CHC,4.56736421585083,,4.43,3.9423309931033272,,4.238752449294375,,,,0.11862991,0.0802005,0.03842941,271.2,45,35,,,,,0.4638036462474503,0.2939297124600639,0.66326531,,4,0.2648401826484018,1.4208587892977445,79.94608446716133,87.2469162874701,,,,,,142,96,6,14.0,,22,1,119
Ted Lyons,1007887,118055.0,CHW,4.343208312988281,,5.27,3.779395038436768,,4.142927400127542,,,,0.05484897,0.04531002,0.00953895,297.2,42,36,,,,,0.3628219236899296,0.2853309481216458,0.61629153,,1,0.2760633861551292,1.303471355478636,84.11319356534976,91.35872018868612,,,,,,69,57,2,12.0,,29,1,125
William Bell,1014596,,KCM,4.282507419586182,,0.0,2.9454545454545453,,,,,,,,,110.0,14,12,,,,,,,,,1,0.2437835202340321,1.0545454545454545,62.139112778309894,,,,,,,72,16,0,,,12,2,36
Ted Radcliffe,1016200,,SLS,4.233716011047363,,0.0,2.575145303627725,,,,,,,,,115.1,20,12,,,,,,,,,2,0.2369557615217472,1.153179546742382,54.32684224905066,,,,,,,42,32,2,,,9,1,33
George Earnshaw,1003633,113700.0,PHA,4.193166255950928,,4.35,4.4391891891891895,,4.481075503375079,,,,0.14857583,0.10700539,0.04157044,296.0,49,39,,,,,0.6081081081081081,0.2949260042283298,0.67396594,,2,0.2579810181190681,1.4797297297297298,92.95275595984546,93.034664930282,,,,,,193,139,1,20.0,,20,3,146
Willie Foster,1015189,,CAG,3.9600093364715576,,0.0,3.729896085781684,,,,,,,,,161.2,26,15,,,,,,,,,2,0.2488053633534963,1.2865976547969988,78.68817187603123,,,,,,,133,57,2,,,13,1,67
Nelson Dean,1015018,,DS,3.943514823913574,,0.0,3.7058823529411766,,,,,,,,,136.0,19,13,,,,,,,,,0,0.2428334517886756,1.0514705882352942,78.18156346290624,,,,,,,63,20,0,,,9,2,56
Chet Brewer,1014683,,KCM,3.856047391891479,,0.0,3.323974848895934,,,,,,,,,154.1,18,16,,,,,,,,,0,0.2700345964782097,1.3412530092036226,70.12460889154045,,,,,,,83,46,8,,,15,2,57
Bill Hallahan,1005229,115358.0,STL,3.839826822280884,,3.33,4.664326542421101,,4.410585207548476,,,,0.16937799,0.12057416,0.04880383,237.1,35,32,,,,,0.5688203100513538,0.2998624484181568,0.66272189,,2,0.2535364526659412,1.5126406763587852,93.27474695176063,89.47239807711976,,,,,,177,126,0,15.0,,13,2,123
Earl Whitehill,1013866,124200.0,DET,3.8197875022888184,,2.29,4.24169115851738,,4.167590458612185,,,,0.11088505,0.08138352,0.02950153,220.2,34,31,,,,,0.3262839352705676,0.3084832904884318,0.60652709,,1,0.2770949720670391,1.4864045940103638,89.36034779016072,86.99924162104826,,,,,,109,80,8,8.0,,16,0,104
Sam Streeter,1016502,,BBB,3.7508742809295654,,0.0,4.149589255688627,,,,,,,,,162.2,25,19,,,,,,,,,0,0.2795576893008171,1.309425942906189,87.54227599295942,,,,,,,64,35,1,,,15,0,75
Logan Hensley,1015426,,SLS,3.5804026126861572,,0.0,4.086206896551724,,,,,,,,,174.0,26,20,,,,,,,,,1,0.2727218829667398,1.3908045977011494,86.20512293159531,,,,,,,55,58,2,,,14,0,79
Syl Johnson,1006505,116630.0,STL,3.577394485473633,,2.73,4.651864126336245,,4.079306393033695,,,,0.11601513,0.04791929,0.06809584,187.2,32,24,,,,,0.6234457076533112,0.3126934984520124,0.63651591,,2,0.2862849533954727,1.3481347353528863,93.02553011495678,82.84765872550774,,,,,,92,38,4,13.0,,9,2,97
Rube Walberg,1013501,123804.0,PHA,3.5519485473632812,,3.01,4.689935878148045,,4.164780429459539,,,,0.11135857,0.09465479,0.01670379,205.1,38,30,,,,,0.2629870585877408,0.2851063829787234,0.6057423,,1,0.2552404438964241,1.4220781686596358,98.203173275533,86.41172151336889,,,,,,100,85,2,6.0,,12,2,107
Charlie Root,1011188,121440.0,CHC,3.5466108322143555,,3.0,4.329804027946996,,4.318392152285191,,,,0.12823164,0.06514995,0.0630817,220.1,37,30,,,,,0.6944025327839523,0.3042328042328042,0.66507503,,3,0.2753623188405797,1.4069593801504914,87.80360633088866,88.86192081991081,,,,,,124,63,7,17.0,,15,4,106
Red Ruffing,1011296,121547.0,- - -,3.513928860425949,,2.46,4.38496170170761,,3.91189234239574,,,,0.13645833,0.07083333,0.065625,221.2,38,28,,,,,0.4466164696183676,0.2958500669344043,0.61891516,,1,0.2609673790776153,1.3533832412677809,99.0564292710094,87.6507899849158,,,,,,131,68,3,11.0,,13,2,108
Alvin Crowder,1002820,112879.0,- - -,3.439310997724533,,4.79,3.893922326378488,,4.56411382141735,,,,0.09006734,0.08080808,0.00925926,279.2,40,35,,,,,0.547079996268052,0.2681159420289855,0.68817818,,2,0.2532110091743119,1.3301552850438914,83.5563311162996,97.14965919406136,,,,,,107,96,2,17.0,,25,1,121
Lefty Stewart,1012524,122786.0,SLB,3.410196542739868,,7.3,3.4538745387453873,,4.69816436345287,,,,0.06935909,0.06145742,0.00790167,271.0,35,33,,,,,0.6974169741697417,0.268595041322314,0.72225666,,0,0.2631086142322097,1.2952029520295203,72.08830452399641,97.26617998508009,,,,,,79,70,1,21.0,,23,1,104
Larry French,1004338,114421.0,PIT,3.354614019393921,,3.41,4.358009385932301,,4.816715656844693,,,,0.07305195,0.07224026,0.00081169,274.2,42,35,,,,,0.6553397572830528,0.296981499513145,0.65561224,,1,0.2858399296394019,1.5072814417510214,86.79129475272754,97.19320590925932,,,,,,90,89,6,20.0,,21,3,133
