Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO
Jim Bunning,1001653,111691,DET,6.32288122177124,,3.79,3.1902985074626864,,3.234334823266784,,,,0.17477477,0.06396396,0.11081081,268.0,38,37,,,,,0.8395522388059702,0.2552404438964241,0.71841155,,1,0.2252427184466019,1.1305970149253732,76.39915891159634,75.76287842381805,,,,,,194,71,9,25,,12,4
Sandy Koufax,1007124,117277,LAD,6.317925930023193,,5.68,3.5202081147343005,,3.0041347205402795,,,,0.25187266,0.08988764,0.16198502,255.2,42,35,,,,,0.9504561909782612,0.274888558692422,0.71010249,,1,0.218782249742002,1.2046934437090715,83.36206912008777,73.32849525674717,,,,,,269,96,3,27,,15,2
Frank Lary,1007364,117519,DET,5.872501850128174,,4.33,3.236077720961876,,3.431029982551994,,,,0.12954747,0.05856256,0.07098492,275.1,36,36,,,,,0.7845036899301517,0.2576271186440678,0.71280992,,0,0.2388625592417061,1.1549637657305012,77.49544924267076,80.47320402382722,,,,,,146,66,6,24,,22,4
Whitey Ford,1004227,114299,NYY,5.773343086242676,,3.72,3.2120141342756185,,3.1392580868077364,,,,0.18032787,0.07937877,0.10094909,283.0,39,39,,,,,0.7314487632508834,0.2625899280575539,0.74966975,,0,0.2270168855534709,1.1802120141342756,84.59474338579783,80.81901240821901,,,,,,209,92,1,23,,11,3
Jim O'Toole,1009897,120115,CIN,5.5984416007995605,,5.08,3.098944154349675,,3.127976693757242,,,,0.16776626,0.08765316,0.0801131,252.2,39,35,,,,,0.569920764018331,0.2762645914396887,0.74025116,,2,0.2373056994818652,1.2744061528743236,75.44126873057061,78.39686744491885,,,,,,178,93,3,16,,11,3
Camilo Pascual,1010039,120266,MIN,5.298802375793457,,5.33,3.4597098672878226,,3.38630461395592,,,,0.2092803,0.09469697,0.11458333,252.1,35,33,,,,,0.927344912881272,0.2535410764872521,0.71428571,,0,0.2151101783840503,1.208718796704222,84.11215843775285,80.61096228958029,,,,,,221,100,3,26,,15,8
Jack Kralick,1007135,117288,MIN,5.071850299835205,,5.97,3.6074380165289255,,3.4003333430644895,,,,0.13391984,0.06256109,0.07135875,242.0,33,33,,,,,0.78099173553719,0.2957393483709273,0.75695859,,0,0.2688284518828452,1.3264462809917354,87.70371205679217,80.95202750334785,,,,,,137,64,3,21,,11,2
Jim Archer,1000291,110304,KCA,4.898398399353027,,3.84,3.1996758794841806,,3.1485624863941135,,,,0.12514221,0.06825939,0.05688282,205.1,39,27,,,,,0.4821429407441915,0.2784992784992785,0.670347,,5,0.2506142506142506,1.2857145086511776,76.27779842855648,73.3760950031952,,,,,,110,60,5,11,,9,2
Bob Friend,1004355,114442,PIT,4.884289264678955,,2.7,3.8516949152542375,,3.1501582485134323,,,,0.10789211,0.04495504,0.06293706,236.0,41,35,,,,,0.6101694915254238,0.3075995174909529,0.67430883,,1,0.2843651626442812,1.3389830508474576,95.89601554237588,80.72969130948867,,,,,,108,45,3,16,,10,1
Don Mossi,1009250,119448,DET,4.654346466064453,,3.98,2.958391561706393,,3.589143800548647,,,,0.13965341,0.0479103,0.09174312,240.1,35,34,,,,,1.0859918391074102,0.2708333333333333,0.76828266,,1,0.253747323340471,1.1816922693735803,70.84560473474,84.25960917650768,,,,,,137,47,0,29,,12,1
Stan Williams,1014039,124340,LAD,4.580959320068359,,4.71,3.9008504485209334,,3.444992009727211,,,,0.20337302,0.10714286,0.09623016,235.1,41,35,,,,,0.8031162688131334,0.2874251497005988,0.71572581,,0,0.2382550335570469,1.364022869254052,92.37606247074731,83.76843932126718,,,,,,205,108,6,21,,6,2
Don Cardwell,1001941,111985,CHC,4.348756790161133,,6.08,3.817481019280913,,3.607306166282133,,,,0.14104882,0.079566,0.06148282,259.1,39,38,,,,,0.7634962038561827,0.2662650602409638,0.70921986,,0,0.2410714285714285,1.2763497145272549,92.52460736450784,89.6695134752637,,,,,,156,88,10,22,,13,3
