Name,PlayerId,MLBAMID,Team,fWAR,fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,K/9,BB/9,K/BB,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO,ER
Randy Johnson,60,116615,SEA,9.481749534606934,,8.6,2.4774496908421915,,2.0815239111432033,,,,0.33949192,0.07505774,0.26443418,214.1,30,30,,,,,12.345257781484818,2.729393727199024,4.52307692,0.503888072713666,0.3006134969325153,0.7739212,,0,0.2,1.0451011878505665,52.320355942932174,44.708970920659134,,,,6.6434197425842285,0.3309880815210757,294,65,6,12,23,6,3,59
Greg Maddux,104,118120,ATL,7.945730686187744,,9.72,1.631160414057026,,2.2590998910813136,,,,0.23057325,0.02929936,0.20127389,209.2,28,28,,,,,7.769474603797939,0.987281303245042,7.86956522,0.3434021924330581,0.2442882249560632,0.82923833,,0,0.1939313984168865,0.8108107321336093,38.646974305355705,52.31844220491415,,,,7.593796253204346,0.564462651894484,181,23,4,8,22,10,3,38
Kevin Appier,3,110293,KCR,5.260437488555908,,4.58,3.889072651183645,,3.480780372115209,,,,0.22235577,0.09615385,0.12620192,201.1,31,31,,,,,8.26986713182729,3.5761587597090987,2.3125,0.6258277829490922,0.273394495412844,0.69576491,,0,0.2190860215053763,1.2069535814018209,80.84438398965088,73.91588083829377,,,,1.9295539855957031,-0.3706640361643458,185,80,8,14,17,4,1,87
Hideo Nomo,666,119827,LAD,5.189611911773682,,4.69,2.5400697539344748,,2.8890112274971216,,,,0.3025641,0.1,0.2025641,191.1,28,28,,,,,11.101045591269186,3.668989644572019,3.02564103,0.6585366028719009,0.2460850111856823,0.76840982,,0,0.1779053084648493,1.055749156985111,65.44498740574907,70.29493775477069,,,,3.581926107406616,0.0192536587125902,236,78,5,14,18,4,3,54
Mike Mussina,837,119608,BAL,5.084527015686035,,6.06,3.288721502665217,,3.77547733691288,,,,0.17913832,0.05668934,0.12244898,221.2,32,32,,,,,6.415037005198818,2.0300750016451956,3.16,0.9744360007896938,0.25115562403698,0.74363992,,0,0.2250300842358604,1.069172834199803,69.29070908254556,79.80299678001688,,,,4.096954345703125,0.2443623578064482,158,50,1,24,20,7,4,81
Shane Reynolds,574,121110,HOU,4.890295505523682,,2.55,3.4700707954160444,,2.9025927005602075,,,,0.2209596,0.04671717,0.17424242,189.1,30,30,,,,,8.318662865723393,1.7588030058958033,4.72972973,0.7130282456334338,0.3214920071047957,0.69158879,,0,0.2602921646746348,1.2306339350562228,87.91952888902082,72.30526865816333,,,,0.2916260659694671,-0.8862672011691943,175,37,2,15,19,3,2,73
John Smoltz,115,122477,ATL,4.618714332580566,,4.13,3.1764705043787314,,3.2953384649008384,,,,0.23886139,0.08910891,0.14975248,192.2,29,29,,,,,9.015570696251398,3.3633217105186564,2.68055556,0.7006920230247201,0.2881679389312977,0.75113122,,0,0.226775956284153,1.235294085036173,75.25990264753527,76.71507682371546,,,,0.5984199643135071,-0.8807087009071536,193,72,4,15,16,2,1,68
Alex Fernandez,1003993,114073,CHW,4.5136027336120605,,3.83,3.8003269526128487,,3.71213485720017,,,,0.18531469,0.07575758,0.10955711,203.2,30,30,,,,,7.026185877505151,2.8723401386027345,2.44615385,0.8396071174377224,0.2943089430894309,0.70050336,,0,0.2522068095838587,1.3011455328713242,83.57260367131185,80.94930341614453,,,,1.8996660709381104,-0.2451882385231756,159,65,0,19,18,5,2,86
Kevin Brown,642,111554,BAL,4.513373851776123,,4.3,3.603482050172321,,3.4920784247120107,,,,0.16572238,0.06798867,0.09773371,172.1,26,26,,,,,6.110252172031327,2.506770121859006,2.4375,0.5222437753872929,0.2777777777777778,0.7020202,,0,0.2388289676425269,1.1779498489291162,75.92245990434743,73.87096239681348,,,,1.3769760131835938,-1.5063342321262592,117,48,9,10,14,3,1,69
David Cone,1680,112552,- - -,4.47658383846283,,6.9799999999999995,3.571221128243132,,4.027715603385896,,,,0.20020964,0.09224319,0.10796646,229.1,30,30,,,,,7.495639950488331,3.453488563575776,2.17045455,0.941860517338848,0.2651162790697674,0.7595928,,0,0.2267441860465116,1.2340116963282128,76.82196465042256,86.23334167191983,,,,4.09839403629303,0.7249274575216678,191,88,6,24,16,6,2,91
Chuck Finley,384,114133,CAL,4.385350704193115,,3.03,4.211822660098522,,3.940735371124569,,,,0.22159091,0.10568182,0.11590909,203.0,32,32,,,,,8.645320197044335,4.123152709359606,2.09677419,0.8866995073891626,0.3044247787610619,0.70454545,,0,0.2461538461538461,1.4039408866995071,88.08670769664427,82.28982503502577,,,,0.3577359616756439,-1.1871328854161562,195,93,7,20,16,2,1,95
John Smiley,1012084,122342,CIN,4.309645809233189,,2.69,3.4641511428632135,,3.2391460119052566,,,,0.17127072,0.0538674,0.11740332,176.2,28,27,,,,,6.316981495809389,1.9867925672303723,3.17948718,0.5603773907572845,0.2967032967032967,0.71784646,,0,0.2540381791483113,1.2000000690964072,82.92102381845824,75.83970273423792,,,,2.0629718648269773,0.3098886274441312,124,39,4,11,18,1,0,68
