Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA,ERA,xERA,FIP,xFIP,fWAR,NameASCII,PlayerId,MLBAMID,K/BB,K%,BB%,K-BB%,AVG,WHIP,ERA-,FIP-,xFIP-,E-F,SIERA,QS,CG,ShO,HLD,BS,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,Year,EV,Barrel%,HardHit%,Chase%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Whiff%,Zone%
Randy Johnson,ARI,21,6,0,35,34,249.2,13.409879566597432,2.559412497925854,0.684913203670299,0.3151750972762646,0.80525883,,,,2.487316371223717,,2.1279085437378074,,10.351997435092926,Randy Johnson,60,116615,5.23943662,0.37424547,0.07142857,0.3028169,0.2,1.0093457738299143,55.00765386312676,47.27248267196947,,0.3594078274859096,,27,3,2,,,994,181,74,69,19,71,2,18,8,1,372,6.230303853750229,-14.231009878218174,20.461313247680664,64.4188003540039,6.250666409730911,1.0363912662897987,0.9831230743663516,0.8807485478264945,1.073341965675354,31,5.843113899230957,0.1684225314591998,1,0,2001,,,,,,,,,,
Curt Schilling,ARI,22,6,0,35,35,256.2,10.274026381218706,1.3675325217321823,1.2974026488228398,0.3072196620583717,0.84813499,,,,2.9805195986470645,,3.1075783901340066,,7.233248710632324,Curt Schilling,73,121811,7.51282051,0.28697356,0.03819785,0.24877571,0.2415902140672783,1.0753247179432546,65.91497258307433,69.48222011972422,,-0.1270587914869421,,27,6,1,,,1021,237,86,85,37,39,0,1,4,0,293,5.563717842102051,-14.64627170562744,20.209989547729492,50.871700286865234,5.089052200317383,0.9713455438613892,0.9916337132453918,0.8683371543884277,1.13459312915802,29,3.701585054397583,2.0262611042254415,0,0,2001,,,,,,,,,,
Mike Mussina,NYY,17,11,0,34,34,228.2,8.42274033743321,1.6530611877205366,0.7871719941526364,0.2893481717011129,0.73181818,,,,3.1486879766105456,,2.917941497017448,,6.9215989112854,Mike Mussina,837,119608,5.0952381,0.23542354,0.04620462,0.18921892,0.2340672074159907,1.0670553698513516,71.79678892720268,66.20673301438221,,0.2307464795930975,,24,4,3,,,909,202,87,80,20,42,2,4,6,0,214,3.91361403465271,-12.88515567779541,16.798768997192383,35.30139923095703,3.4671645164489746,0.9441232085227966,0.9480618238449096,0.8730529546737671,0.9444133043289183,30,4.276155471801758,-0.1309189186446042,0,0,2001,,,,,,,,,,
Greg Maddux,ATL,17,11,0,34,34,233.0,6.682402995856748,1.0429183866366023,0.772532138249335,0.2857142857142857,0.74336283,,,,3.051501946084873,,3.117806352776162,,6.261125087738037,Greg Maddux,104,118120,6.40740741,0.18662352,0.02912621,0.1574973,0.2463605823068309,1.0600857674865876,71.06534016656157,71.44487431198824,,-0.0663044066912887,,24,3,3,,,927,220,86,79,20,27,10,7,2,0,173,3.2269139289855957,-13.11509609222412,16.342010498046875,28.82539939880371,3.0120997428894043,0.9365597367286682,0.924163579940796,0.8723765015602112,1.1242516040802002,31,3.0616211891174316,0.3838759878773432,0,0,2001,,,,,,,,,,
Matt Morris,STL,22,8,0,34,34,216.1,7.696455724380295,2.2465330222515454,0.540832023875372,0.3183229813664596,0.74587706,,,,3.161787216502175,,3.0491368293762213,,6.100847244262695,Matt Morris,1172,119403,3.42592593,0.20352035,0.05940594,0.14411441,0.2589073634204275,1.257318893111976,73.80781276051033,68.99404963231106,,0.1126503871259538,,24,2,1,,,909,218,86,76,13,54,3,13,5,1,185,3.403491973876953,-13.131999969482422,16.535491943359375,27.983200073242188,3.005350351333618,0.9835782051086426,0.9017912745475768,0.872988224029541,1.0037312507629397,32,2.7811930179595947,0.6791235651035845,0,0,2001,,,,,,,,,,
Javier Vazquez,MON,16,11,0,32,32,223.2,8.369596854188298,1.77049164223214,0.9657227139448036,0.2794830371567043,0.72243346,,,,3.4202679452211795,,3.2145615535241734,,6.097588539123535,Javier Vazquez,801,134320,4.72727273,0.23162584,0.04899777,0.18262806,0.2314923619271445,1.0774961762069335,75.00242530576851,71.13655640223274,,0.2057063916970061,,19,5,3,,,898,197,92,85,24,44,4,3,3,1,208,2.9054300785064697,-12.677769660949709,15.583200454711914,27.770299911499023,2.8206863403320312,0.9203895926475524,0.905119240283966,0.8741312623023987,0.9600370526313782,27,3.2720136642456055,-0.1152742772335941,0,0,2001,,,,,,,,,,
Andy Pettitte,NYY,15,10,0,31,31,200.2,7.355482100450996,1.838870525112749,0.6279070085750851,0.3317535545023696,0.66825776,,,,3.9916945545130407,,3.024219884591495,,5.790872573852539,Andy Pettitte,840,120485,4.0,0.19114219,0.04778555,0.14335664,0.2762022194821208,1.3205980735904566,91.01913353152965,68.57849842226906,,0.9674746699215456,,19,2,0,,,858,224,103,89,14,41,3,6,2,2,164,-0.3892039060592651,-15.758912086486816,15.369708061218262,2.658200263977051,0.2866632044315338,1.027459740638733,0.8725599646568298,0.8721548318862915,1.1044551134109497,29,0.6837459206581116,-1.0625480193343204,0,0,2001,,,,,,,,,,
Mark Mulder,OAK,21,8,0,34,34,229.1,6.004360598283825,2.0014535327612752,0.627906990670204,0.282051282051282,0.71890145,,,,3.4534884486861217,,3.3543693942853476,,5.65852165222168,Mark Mulder,932,150426,3.0,0.16504854,0.05501618,0.11003236,0.2456946039035591,1.1555232814416947,78.76224174672194,76.14673669989438,,0.099119054400774,,22,6,4,,,927,214,92,88,16,51,4,5,4,0,153,3.0329761505126953,-13.959327697753906,16.9923038482666,31.82900047302246,3.2045154571533203,0.9856000542640686,0.9413329362869264,0.8741176724433899,1.0856071710586548,28,3.86710262298584,-0.7898136786610865,0,0,2001,,,,,,,,,,
Roger Clemens,NYY,20,3,0,33,33,220.1,8.700453456101712,2.9409983513583255,0.7760967871640025,0.3054187192118227,0.73610023,,,,3.512859141900222,,3.285142869917321,,5.648586750030518,Roger Clemens,815,112388,2.95833333,0.23202614,0.07843137,0.15359477,0.2437574316290131,1.25718602365163,80.10066675882636,74.40139548388652,,0.2277162719829011,,21,0,0,,,918,205,94,86,19,72,1,5,14,0,213,2.293990135192871,-14.75611972808838,17.05010986328125,24.528799057006836,2.4043121337890625,0.9819785356521606,0.8940811157226562,0.8779818415641785,1.0246847867965698,33,2.4200806617736816,-0.0839907658073046,0,0,2001,,,,,,,,,,
Pedro Martínez,BOS,7,3,0,18,18,116.2,12.574285166090386,1.9285713444923904,0.3857142688984781,0.3073929961089494,0.75925926,,,,2.3914284671705643,,1.609136892155236,,5.53420877456665,Pedro Martinez,200,118377,6.52,0.35745614,0.05482456,0.30263158,0.1976470588235294,0.9342856735540914,52.50160160027967,38.07257552413185,,0.7822915750153283,,13,1,0,,,456,84,33,31,5,25,0,6,4,0,163,3.327754020690918,-5.58239221572876,8.91014575958252,32.14139938354492,3.1788172721862793,0.9948623180389404,0.9663709998130798,0.8707555532455444,1.3883764743804932,17,3.531327247619629,-0.1863879928586858,0,0,2001,,,,,,,,,,
