fWAR,bWAR,ERA,xERA,FIP,xFIP,vFA,K%,BB%,K-BB%,IP,G,GS,Barrel%,HardHit%,EV,GB%,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,Chase%,Whiff%,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO
,7.22,2.87482027011878,,2.7955707245658847,3.1208575096596136,,0.26153846,0.04945055,0.21208791,231.2,33,33,,,,0.393739703,0.8546762965217996,0.2615894039735099,0.76331967,0.083969465,0,0.2083333333333333,0.9712230642293176,66.34486416710926,66.71052027209471,2.951584288671502,,,4.160416126251221,-0.4314552191733662,238,45,1,22,24,3,2
,7.29,2.627644626367666,,2.9861806716951125,3.682519849323344,,0.17708333,0.05729167,0.11979167,236.1,34,34,,,,0.446175637,0.4188998679716568,0.2821229050279329,0.75594781,0.049327354,0,0.2374581939799331,1.133991561781859,64.12263159347253,71.14851839127951,3.849512243927197,,,5.208900451660156,1.986193192287616,170,55,8,11,25,7,5
,5.77,2.830344768017057,,2.8958932376548594,2.926369696607042,,0.22350472,0.05351522,0.16998951,241.2,33,33,,,,0.545454545,0.670344813477724,0.278443113772455,0.75601375,0.102857142,0,0.2269187986651835,1.0551723915853062,68.38175289660026,68.97224062954642,3.0227667351810097,,,4.31620979309082,0.2119929018691762,213,51,3,18,27,7,4
,6.95,2.8202764976958523,,2.946298447182651,3.416091245962179,,0.24673784,0.05575326,0.19098458,217.0,31,31,,,,0.378091872,0.7880184331797235,0.247787610619469,0.76881134,0.075098814,0,0.2007575757575757,0.9493087557603688,68.26153032936041,70.25293001988474,3.205944036410046,,,2.838181972503662,-1.030018397694032,208,47,4,19,23,4,1
,5.87,2.9420689035966774,,3.160720818288034,3.4308978293943517,,0.18363273,0.04790419,0.13572854,241.2,35,35,,,,0.490591397,0.670344813477724,0.3024193548387097,0.7815924,0.082949308,0,0.2568710359408034,1.2041379056914672,69.80494927185286,73.52511430793908,3.5466349382781335,,,4.085583686828613,1.0183515896316635,184,48,8,18,25,4,1
,7.79,1.8738170797983904,,2.86861160407275,3.3079565364864063,,0.22076372,0.07398568,0.14677804,211.1,32,32,,,,0.490367775,0.4684542699495976,0.24263431542461,0.8225324,0.064327485,0,0.1953428201811125,1.0078864595885282,44.459090009806744,66.66898347398876,3.46795556886514,,,5.943329811096191,0.3955938420742884,185,62,3,11,26,1,0
,4.81,3.1183099931877027,,3.4172142817401348,3.769727478929348,,0.15345005,0.04119464,0.11225541,236.2,33,33,,,,0.457894736,0.7605634129726104,0.2902374670184696,0.72265625,0.080321285,0,0.2588996763754045,1.1830986424018384,69.74780880084577,75.23871951843549,3.947881689449752,,,3.0458619594573975,-0.378696070606455,149,40,4,20,20,3,1
,6.78,2.388305737803138,,3.06950642618181,3.1486969125523863,,0.19542857,0.04685714,0.14857143,222.1,33,33,,,,0.502332814,0.6881558905534465,0.2659409020217729,0.79731028,0.098265895,0,0.2262334536702767,1.0299849603708449,56.6660966604873,71.3842102358114,3.3372532667277244,,,5.021443843841553,0.7491501495089334,171,41,3,17,27,0,0
,4.57,2.8817731824021227,,2.887026249965793,3.0048385423948356,,0.26600985,0.06157635,0.2044335,203.0,30,30,,,,0.440227703,0.7980294966652032,0.2763915547024952,0.76883385,0.096256684,0,0.214569536423841,1.0443348968705128,74.19194590261236,70.60660760758087,2.957066089261534,,,3.611547946929931,1.6968449172556852,216,50,7,18,22,3,3
,4.25,3.4449758250422993,,3.1013708730568257,3.5861984057464062,,0.22309417,0.07959641,0.14349776,209.0,33,33,,,,0.44592346,0.5598085715693737,0.3260869565217391,0.75423105,0.06632653,0,0.2567901234567901,1.334928132203891,80.82291108308426,73.14835090975484,3.6010702352242063,,,0.4783059358596802,-1.2416031482190502,199,71,11,13,18,1,0
,4.98,3.056603705892494,,3.2725710734011115,3.502816559545788,,0.18152524,0.05692803,0.12459721,229.2,33,33,,,,0.478955007,0.705370085975191,0.2782608695652174,0.75795645,0.086538461,0,0.2394526795895097,1.1451378556263905,73.21353488073656,77.60397611395425,3.71369765107902,,,2.65722393989563,-0.884698462921456,169,53,1,18,21,3,1
,3.44,3.4449763280677854,,3.106155574278355,3.2044396138101567,,0.22680412,0.09049255,0.13631157,209.0,32,32,,,,0.584347826,0.5167464492101678,0.2980935875216637,0.68325434,0.09375,0,0.2337992376111817,1.2583732976136492,84.06804547169213,74.03422760531512,3.333940503453605,,,0.5069360733032227,-0.8280303623279558,198,79,7,12,23,4,2
,4.86,3.537117903930131,,3.5091141355089746,2.9915320063262008,,0.18239661,0.06256628,0.11983033,229.0,33,33,,,,0.650217706,0.8253275109170306,0.3018867924528302,0.73676132,0.1875,0,0.2596371882086167,1.25764192139738,79.57397150925205,79.53004552178311,2.987280260028031,,,2.167412042617798,-0.1686745590082563,172,59,2,21,22,1,0
,3.81,3.774193548387097,,3.3333952213762,3.691486666664001,,0.18969298,0.06030702,0.12938597,217.0,34,34,,,,0.436641221,0.7465437788018433,0.3161875945537065,0.74102368,0.079646017,0,0.2664319248826291,1.2995391705069124,92.87498186521005,80.96000446412569,3.7891702050756817,,,0.6268261075019836,-0.4685353691616897,173,55,5,18,24,0,0
,4.49,3.826771837454817,,3.66727529167087,3.938589256279275,,0.1837655,0.05749718,0.12626832,211.2,32,32,,,,0.392801251,0.9354331158222884,0.3032659409020217,0.74632953,0.088353413,0,0.2620772946859903,1.2661417931331986,89.1471465662766,83.49255952265267,3.918587618132915,,,1.0828980207443235,0.4788414612969658,163,51,8,22,19,1,0
,4.79,3.1310922763809192,,3.458686605762876,3.979649268446402,,0.22643819,0.07955936,0.14687883,198.1,31,31,,,,0.302367941,0.8621848297280792,0.281767955801105,0.79387187,0.074803149,0,0.2302543507362784,1.194957921903829,77.0496093162606,84.02893547505111,3.7964064319441775,,,2.8783841133117676,0.744830307213781,185,65,5,19,19,2,1
,3.58,3.375000192158269,,3.271896852058621,3.5732861984094777,,0.22770919,0.07956104,0.14814815,178.2,29,29,,,,0.426501035,0.705223920749489,0.2871900826446281,0.72076613,0.081871345,0,0.2304216867469879,1.180970216493192,82.3604119742875,78.020737468115,3.5931852296252833,,,2.1655080318450928,0.0489673060827522,166,58,7,14,20,2,1
,5.57,3.264179178817047,,3.6961505844598896,3.55450197407777,,0.22222222,0.09460946,0.12761276,223.1,33,33,,,,0.5,0.8462686759896048,0.2516891891891892,0.75021313,0.12,0,0.2085889570552147,1.1462686828218986,75.00817238279082,85.20761122654493,3.7055848212443423,,,4.154279708862305,1.5127805330819672,202,86,8,21,23,2,0
,5.76,3.7887741737432967,,3.77778600082532,3.4317499534506233,,0.22934783,0.05108696,0.17826087,225.2,34,34,,,,0.44859813,1.2762186690503736,0.2831715210355987,0.74141049,0.130612244,0,0.2404181184668989,1.12555396506526,87.93670567382034,87.70261082847685,3.256286790577608,,,1.533445954322815,-0.2583313543132286,211,47,12,32,22,4,0
