Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA,ERA,xERA,FIP,xFIP,fWAR,NameASCII,PlayerId,MLBAMID,K/BB,K%,BB%,K-BB%,AVG,WHIP,ERA-,FIP-,xFIP-,E-F,SIERA,QS,CG,ShO,HLD,BS,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,Chase%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Whiff%,Zone%,Pace,Year,bWAR,EV,Barrel%,HardHit%
Jake Peavy,SDP,19,6,0,34,34,223.1,9.67164201130977,2.740298569871101,0.5238806089459458,0.2732049036777583,0.78291815,0.44,0.058295964,92.69194019784172,2.5388060279688145,,2.8410976689237346,3.336981528457275,6.6756157875061035,Jake Peavy,1051,408241,3.52941176,0.26726058,0.07572383,0.19153675,0.2050970873786407,1.0611940540187108,62.88858128701981,65.2176330293405,73.82464702751793,-0.3022916409549201,3.296153365598949,28,0,0,0,0,898,169,67,63,13,68,5,6,4,0,240,3.951502323150635,-11.681471824645996,15.632973670959473,39.83930206298828,4.249166488647461,0.9296736121177672,0.8896172046661377,0.869141161441803,1.0114647150039673,34,3.653266668319702,0.5971522654276331,0,0,0.29366306,0.65014577,0.47711928,0.61052632,0.86434978,0.21147799,0.51462866,,2007,6.19,,,
CC Sabathia,CLE,19,7,0,34,34,241.0,7.804979253112033,1.3817427385892116,0.7468879668049793,0.310984308131241,0.74117647,0.45,0.078125,94.10715288173652,3.211618257261411,,3.1441694560387323,3.397883103398367,6.446853160858154,CC Sabathia,404,282332,5.64864865,0.21435897,0.03794872,0.17641026,0.2559139784946236,1.1410788381742738,72.58507977937278,72.89256327420142,76.82920622469756,0.0674488012226786,3.443057730317414,25,4,1,0,0,975,238,94,86,20,37,1,8,1,0,209,3.229300022125244,-16.990520477294922,20.219820022583008,33.472999572753906,3.2727746963500977,1.083123803138733,1.0197570323944092,0.8685529232025146,1.1232399940490725,30,2.816019296646118,0.1654496848010711,0,0,0.29143898,0.60468521,0.4650974,0.68125,0.86440678,0.18673647000000004,0.55438312,,2007,6.3,,,
Brandon Webb,ARI,18,10,0,34,34,236.1,7.387870398772858,2.7418900449053902,0.4569816741508984,0.2846820809248555,0.7243685,0.617647058,0.08759124,78.22903349905303,3.008462688160081,,3.235373828888342,3.3024940617581824,6.216647624969482,Brandon Webb,1692,425630,2.69444444,0.19897436,0.07384615,0.12512821,0.232739420935412,1.1889986151518743,64.24821151052976,69.67696529176747,73.04731365832733,-0.2269111407282609,3.402078683413909,22,4,3,0,0,975,209,91,79,12,72,6,5,3,0,194,3.863355875015259,-15.4820556640625,19.345413208007812,39.37519836425781,3.782351493835449,1.048184156417847,0.981908917427063,0.8767235279083252,1.0501466989517212,30,3.9646072387695312,-0.2788466294714302,0,0,0.32780612,0.57340025,0.4516129,0.62645914,0.87308534,0.21568626999999996,0.50411132,,2007,6.41,,,
Josh Beckett,BOS,20,7,0,30,30,200.2,8.70099579557037,1.7940197516639935,0.7624583944571973,0.303886925795053,0.75166508,0.473136915,0.079812206,95.19885084833795,3.2740860467867883,,3.080136718315903,3.310382542016493,5.68612813949585,Josh Beckett,510,277417,4.85,0.23600973,0.0486618,0.18734793,0.2432432432432432,1.1411958975862626,70.36207505547128,71.63913305526066,74.89124812508504,0.193949328470885,3.28875279990631,20,1,0,0,0,822,189,76,73,17,40,0,5,3,0,194,3.118230104446411,-11.072035789489746,14.190265655517578,34.818199157714844,3.371738910675049,0.8753131031990051,0.8554075956344604,0.8756866455078125,0.9658965468406676,29,3.6465952396392822,-0.0841784392392637,0,0,0.25764192,0.56280587,0.43230626,0.65254237,0.86086957,0.19222461999999996,0.57236228,,2007,6.51,,,
John Smoltz,ATL,14,8,0,32,32,205.2,8.62074532975343,2.0567260431391428,0.7876823143937143,0.303236797274276,0.7619477,0.446917808,0.086956521,92.41017259414224,3.1069691289974286,,3.205569485125813,3.33041144780958,5.467003345489502,John Smoltz,115,122477,4.19148936,0.23094959,0.05509965,0.17584994,0.2443890274314214,1.1815234715905714,70.69506606769623,71.59312123785877,73.67656010161271,-0.0986003561283843,3.428264474799162,26,0,0,0,0,853,196,78,71,18,47,9,4,8,0,197,2.13004207611084,-13.77488613128662,15.90492820739746,32.56279754638672,3.190861463546753,1.0174353122711182,0.9117773175239564,0.8698750138282776,0.9311500191688538,32,2.544651985168457,-0.4511114421769209,0,0,0.36569274,0.6492986,0.50315687,0.56701031,0.81790123,0.27606178000000003,0.48470131,,2007,4.55,,,
Aaron Harang,CIN,16,6,0,34,34,231.2,8.469064004445116,2.020143707482321,1.0877696886443269,0.2881619937694704,0.73994867,0.402735562,0.101818181,90.18978120094192,3.7294960753519777,,3.7057921501050326,3.62369130264047,5.359164714813232,Aaron Harang,1451,421685,4.19230769,0.22995781,0.05485232,0.17510549,0.2398648648648648,1.1438847916299468,81.16956229500919,79.23068381182311,80.28696786686103,0.0237039252469446,3.520813646678709,20,2,1,0,0,948,213,100,96,28,52,3,8,12,1,218,2.7547178268432617,-15.342388153076172,18.09710693359375,28.53380012512207,2.773408889770508,1.008041501045227,0.960414707660675,0.8612882494926453,1.345831274986267,32,2.507649183273315,0.2250932920979123,0,0,0.34360555,0.68715084,0.52380952,0.58295964,0.86585366,0.22237762000000005,0.52454212,,2007,5.99,,,
Joe Blanton,OAK,14,10,0,34,34,230.0,5.478260869565218,1.565217391304348,0.6260869565217392,0.2986666666666667,0.68042813,0.469496021,0.065306122,88.07362140249141,3.9521739130434783,,3.5004747059034265,3.93241292445556,5.287923336029053,Joe Blanton,4849,430599,3.5,0.14736842,0.04210526,0.10526316,0.2649006622516556,1.2173913043478262,89.90128128553489,79.91496257401009,88.66794622639082,0.4516992071400518,4.173589530467767,20,3,1,0,0,950,240,106,101,16,40,4,4,3,1,140,1.5881640911102295,-15.69469165802002,17.282855987548828,15.407501220703123,1.6281414031982422,0.9786932468414308,0.9553534388542176,0.8755882382392883,1.2484580278396606,31,2.236441135406494,-0.6137017364827104,0,0,0.28316832,0.57938487,0.4441934,0.70979021,0.91965567,0.14140387,0.54360596,,2007,3.59,,,
Roy Halladay,TOR,16,7,0,31,31,225.1,5.551775273244627,1.9171598065880728,0.5991124395587727,0.3005540166204986,0.69465649,0.531034482,0.071428571,88.7118860003592,3.7144971252643906,,3.550256035272066,3.853980519052096,5.075593948364258,Roy Halladay,1303,136880,2.89583333,0.14994606,0.05177994,0.09816613,0.2648401826484018,1.2426035783441212,82.65930327485475,79.6862592135854,86.93082919624547,0.1642410899923247,4.041057298737767,21,7,1,0,0,927,232,101,93,15,48,3,3,4,0,139,3.173408031463623,-12.837284088134766,16.010692596435547,25.986499786376953,2.5460047721862793,0.9187148809432985,0.8709418773651123,0.861032247543335,1.1858333349227903,24,2.8960413932800293,0.5581402002577822,0,0,0.31622365,0.62820513,0.47766475,0.68115942,0.91564626,0.15925926,0.51747015,,2007,3.5,,,
John Lackey,LAA,19,9,0,33,33,224.0,7.191964285714286,2.0892857142857144,0.7232142857142857,0.3008982035928144,0.76027929,0.446902654,0.073469387,90.9136760752688,3.013392857142857,,3.5431765692574637,3.8706131329493862,5.0482497215271,John Lackey,1507,407793,3.44230769,0.1926803,0.05597417,0.13670614,0.253179190751445,1.2098214285714286,67.05763746211991,80.88861219212444,87.29920750503489,-0.5297837121146065,3.8817531035917634,24,2,2,0,0,929,219,87,75,18,52,2,12,9,1,179,2.8354880809783936,-15.512628555297852,18.348115921020508,32.90719985961914,3.25903582572937,1.04422926902771,0.957070767879486,0.8796969652175903,1.3424967527389526,31,2.9500892162323,-0.2347007808760119,0,0,0.29302326,0.59855189,0.45685936,0.58095238,0.89650538,0.19735599999999998,0.53623814,,2007,6.25,,,
Erik Bedard,BAL,13,5,0,28,28,182.0,10.928570512325535,2.818681082364505,0.9395603607881684,0.2830626450116009,0.77664399,0.478651685,0.122580645,91.92373609293192,3.1648348994969884,,3.190154595381395,2.9013812957836063,5.014066219329834,Erik Bedard,126,407853,3.87719298,0.30150068,0.07776262,0.22373806,0.210134128166915,1.0879119967020896,69.79039809494645,69.8976430648252,65.8327087812126,-0.0253196958844066,2.9189571535720806,21,1,1,0,0,733,141,66,64,19,57,0,5,3,0,221,3.656350135803222,-11.510377883911133,15.166728019714355,33.26110076904297,3.2142701148986816,1.0871031284332275,1.0204623937606812,0.8771428465843201,1.1506962776184082,27,3.3596091270446777,0.0037793502499163,0,0,0.27607362,0.5994695,0.44950213,0.5,0.86725664,0.23734177,0.53627312,,2007,5.73,,,
