Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,fWAR,NameASCII,PlayerId,MLBAMID,K/BB,K%,BB%,K-BB%,AVG,WHIP,ERA-,FIP-,xFIP-,E-F,SIERA,QS,CG,ShO,HLD,BS,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,Chase%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Whiff%,Zone%,Pace,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,Year
Aaron Nola,PHI,11,13,0,32,32,205.0,10.317073170731708,1.273170731707317,0.8341463414634146,0.2893203883495145,0.73021182,0.43560606,0.098445595,92.9222205528846,3.2487804878048783,2.740834438305091,2.5807236845900374,2.769559269780066,6.296249866485596,Aaron Nola,16149,605400,8.10344828,0.29120198,0.03593556,0.25526642,0.2184655396618985,0.9609756097560976,80.16718436399097,63.712463483235005,69.83632257890416,0.6680568032148408,2.8024568154976937,18,2,1,0,0,807,168,75,74,19,29,1,9,2,0,235,2.4007060527801514,-10.716174125671388,13.116880416870115,25.81399917602539,2.6610031127929688,0.8543140888214111,0.8727023601531982,0.8748250007629395,0.933566689491272,30,3.452258586883545,-0.6421608907398455,0,0,0.3544484,0.6119951,0.4929253,0.55823293,0.835,0.25700935,0.53767687,25.33423913,534,87.69847611692015,103.2,112.0,12.55977229601518,38,0.07116105,169,0.3164794,2022
Carlos Rodón,SFG,14,8,0,31,31,178.0,11.98314606741573,2.6292134831460676,0.6067415730337079,0.293103448275862,0.75059102,0.341404358,0.065217391,95.45985932365826,2.8820224719101124,2.6313069719100017,2.2528804398654554,2.9067454417100116,6.230337142944336,Carlos Rodon,16137,607074,4.55769231,0.33380282,0.07323944,0.26056338,0.2,1.0280898876404494,73.02601055135213,59.355328357957106,73.22066475588979,0.629142032044657,2.826217413757532,16,1,0,0,0,710,131,59,57,12,52,0,3,10,0,237,3.177814483642578,-9.741931915283203,12.91974639892578,26.76650047302246,2.885535717010498,0.957519829273224,0.9075812101364136,0.8763032555580139,0.9441733360290528,30,2.5514907836914062,0.7673067873778017,0,0,0.31781377,0.67398536,0.49715243,0.55838641,0.7857848,0.28638814,0.50351759,23.56856634,418,89.0140454751816,102.9,112.5,19.397094430992738,27,0.0645933,166,0.39712919,2022
Justin Verlander,HOU,18,4,0,28,28,175.0,9.514285714285714,1.491428571428571,0.6171428571428571,0.2396313364055299,0.804769,0.379232505,0.062176165,95.09869296577946,1.7485714285714289,2.6541803677458993,2.4895738588060654,3.230781258600099,6.054431915283203,Justin Verlander,8700,434378,6.37931034,0.27777778,0.04354354,0.23423423,0.1838351822503962,0.8285714285714286,45.60260333728061,63.121288247969765,81.6222006438609,-0.7410024302346367,3.086807218791894,21,0,0,0,0,666,116,43,34,12,29,0,6,3,0,185,4.036792278289795,-8.039608001708984,12.076400756835938,37.70650100708008,4.061084270477295,0.9412583112716676,0.9138954281806946,0.8700000047683716,0.9553500413894652,28,4.65789270401001,-0.3691738369904236,0,0,0.34168013,0.71146822,0.53586498,0.643026,0.84188912,0.21832498,0.52512466,24.76004173,446,87.81179138321995,103.0,110.9,16.868778280542987,28,0.06278027,155,0.34753363,2022
Sandy Alcantara,MIA,14,9,0,32,32,228.2,8.147230683139576,1.9679301167003809,0.6297376373441218,0.2615894039735099,0.78822412,0.534201954,0.085106382,97.95842391304348,2.2827989353724414,2.9205515344070325,2.9856088385869612,3.293084572137847,5.916477680206299,Sandy Alcantara,18684,645261,4.14,0.23363431,0.05643341,0.1772009,0.2103990326481257,0.9795918803130784,55.18369048304136,75.14151431539631,82.75153652913644,-0.7028099032145199,3.4171198617216736,24,6,1,0,0,886,174,67,58,16,50,1,9,3,0,207,5.083241939544678,-14.42147159576416,19.504714965820312,41.46820068359375,4.455729007720947,1.1328881978988647,1.0737543106079102,0.8712500333786011,1.0899615287780762,26,4.069775581359863,0.4172002287619305,0,0,0.34391534,0.69009217,0.52894089,0.58269231,0.84808013,0.23224679999999998,0.53448276,20.80762639,620,87.84590163934426,104.3,114.8,5.532679738562091,33,0.05322581,239,0.38548387,2022
Shohei Ohtani,LAA,15,9,0,28,28,166.0,11.873493975903614,2.3855421686746987,0.7590361445783133,0.2887139107611549,0.83111702,0.418781725,0.092715231,97.3578060522696,2.3313253012048194,2.607625013563283,2.4015876281692323,2.65180317032409,5.593522071838379,Shohei Ohtani,19755,660271,4.97727273,0.33181818,0.06666667,0.26515152,0.2019543973941368,1.0120481927710845,58.86643579750667,58.78848197960764,66.71262861710497,-0.0702623269644129,2.7331527533206605,16,0,0,0,0,660,124,45,43,14,44,0,2,14,0,219,3.40584659576416,-9.04330825805664,12.449153900146484,33.33440017700195,3.5222384929656982,0.9979794025421144,0.9593823552131652,0.8574143052101135,0.8745499849319458,28,3.2925875186920166,0.120154855638134,0,0,0.2936772,0.65101612,0.48763789,0.38243626,0.80947255,0.30811232,0.54279194,26.60372478,395,87.12544728053435,103.4,113.3,14.521628498727736,25,0.06329114,131,0.33164557,2022
Kevin Gausman,TOR,12,10,0,31,31,174.2,10.562977714420796,1.4427481756282063,0.7729008083722534,0.3634453781512605,0.73979592,0.392197125,0.085227272,94.94010033136966,3.349236836279765,3.3334488316188535,2.3796065315028496,2.754864273376801,5.544435024261475,Kevin Gausman,14107,592332,7.32142857,0.28275862,0.03862069,0.24413793,0.2701149425287356,1.2366412933956057,87.17756286100376,59.721516458107054,69.36660977845901,0.9696303047769153,2.9381444273265833,17,0,0,0,0,725,188,72,65,15,28,0,1,2,2,205,1.0547484159469604,-11.639577865600586,12.694326400756836,12.318799018859863,1.3166697025299072,0.9524723291397096,0.8963193297386169,0.871232271194458,0.9521548748016356,31,0.830375075340271,0.2770045132086463,0,0,0.39496403,0.71931084,0.55731225,0.53187614,0.8243513,0.27917473000000004,0.50053899,25.26101861,491,88.99815515913758,104.3,116.6,12.15605749486653,40,0.0814664,189,0.38492872,2022
Max Fried,ATL,14,7,0,30,30,185.1,8.25539591001321,1.5539568771789571,0.5827338289421089,0.2796116504854369,0.78196347,0.511538461,0.077922077,93.98086240310076,2.476618773003963,2.842339400139982,2.702359047963206,3.090723563349386,4.910667419433594,Max Fried,13743,608331,5.3125,0.2319236,0.04365621,0.18826739,0.2238163558106169,1.0143885170473748,60.73852703635079,69.63184375924577,77.7593504553835,-0.2257402749592425,3.308323987671246,21,0,0,0,0,733,156,55,51,12,32,2,4,9,0,170,4.2953362464904785,-10.55226993560791,14.84760570526123,40.01499938964844,3.979400634765625,1.057270884513855,0.985572338104248,0.8730000257492065,1.3564000129699707,30,3.972000360488891,0.0906635314289516,0,0,0.33378654,0.6718634,0.4953868,0.58452138,0.85303867,0.24140401,0.47799858,24.27135188,527,86.21481329191033,103.1,112.7,7.551456310679612,21,0.0398482,169,0.32068311,2022
Spencer Strider,ATL,11,5,0,31,20,131.2,13.80759560344047,3.0759495156179266,0.4784810357627886,0.2915129151291513,0.74074074,0.402877697,0.067961165,98.12025358606556,2.6658229135355365,2.386501902602221,1.8288866358868392,2.295808546593041,4.860654056072235,Spencer Strider,27498,675911,4.48888889,0.38257576,0.08522727,0.29734849,0.1791666666666666,0.9949367569035764,65.37871668941052,47.62420285229758,58.149032735449346,0.8369362776486973,2.4059747205067152,10,0,0,2,1,528,86,42,39,7,45,1,3,6,0,202,2.3710421323776245,-6.712839901447296,9.083882212638857,26.800000190734863,2.687720000743866,0.9281563114236904,0.8943662159684775,0.9172258127120232,1.0450642279216222,28,3.2793572545051575,-0.7247852463261633,7,1,0.32058288,0.66497031,0.49890206,0.48011364,0.78188776,0.31161972000000004,0.51778656,21.92192882,278,88.00935462567446,103.6,111.4,14.046762589928058,17,0.06115108,100,0.35971223,2022
Shane Bieber,CLE,13,8,0,31,31,200.0,8.91,1.62,0.81,0.286778398510242,0.75757576,0.481818181,0.104046242,91.515490981332,2.88,3.48628066634314,2.872431001663208,2.9829505360871553,4.767212390899658,Shane Bieber,19427,669456,5.5,0.25031606,0.04551201,0.20480405,0.2284196547144754,1.04,74.88624329005346,73.32766426668957,75.24018017957658,0.0075689983367919,3.212911959733241,23,1,0,0,0,791,172,70,64,18,36,0,2,5,1,198,2.6421947479248047,-11.779685974121094,14.421880722045898,26.18779945373535,2.7894861698150635,0.946069359779358,0.9147391319274902,0.8748258352279663,1.0276867151260376,30,3.3004820346832275,-0.5076690970133968,0,0,0.32999284,0.65155616,0.49530435,0.40130152,0.8701973,0.28160112000000004,0.51408696,19.947343,555,89.89,104.4,110.2,9.94909090909091,40,0.07207207,239,0.43063063,2022
Corbin Burnes,MIL,12,8,0,33,33,202.0,10.826732673267326,2.272277227722772,1.0247524752475248,0.2591006423982869,0.76791809,0.470225872,0.141104294,96.15615844726562,2.9405940594059405,3.0174620675756945,3.1371834769107334,2.8515409662434377,4.58866024017334,Corbin Burnes,19361,669203,4.76470588,0.30489335,0.06398996,0.24090339,0.1964529331514324,0.9653465346534652,72.72403218459796,78.28901675658273,71.85878671780806,-0.1965894175047928,2.9111847501339367,21,0,0,0,0,797,144,73,66,23,51,0,13,10,0,243,3.1547722816467285,-10.986071586608888,14.140844345092772,26.16080093383789,2.767650365829468,0.900226354598999,0.942100465297699,0.8728363513946533,1.204909086227417,33,2.56003999710083,0.9443811582340468,0,0,0.32528799,0.63128877,0.46090409,0.44182125,0.819869,0.3286945,0.44318876,25.58833129,490,87.17731958762887,104.3,117.5,10.012345679012345,28,0.05714286,167,0.34081633,2022
