Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA,ERA,xERA,FIP,xFIP,fWAR,NameASCII,PlayerId,MLBAMID,K/BB,K%,BB%,K-BB%,AVG,WHIP,ERA-,FIP-,xFIP-,E-F,SIERA,QS,CG,ShO,HLD,BS,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,Chase%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Whiff%,Zone%,Pace,Year,bWAR
Chris Sale,ATL,18,3,0,29,29,177.2,11.397749245462858,1.975609869213562,0.4559099698185143,0.3135391923990498,0.7981756,0.448356807,0.062937062,94.94208480046947,2.380863175718908,2.782230288705658,2.0858042942755386,2.644250116623746,6.4253740310668945,Chris Sale,10603,519242,5.76923077,0.32051282,0.05555556,0.26495727,0.2152671755725191,1.0131332662633652,57.462253207147725,53.22823922997992,65.68970072716299,0.2950588814433694,2.803292149652315,18,0,0,0,0,702,141,48,47,9,39,0,8,4,1,225,4.0414605140686035,-9.075809478759766,13.117270469665527,41.11280059814453,4.235349655151367,0.9473883509635924,0.8973824381828308,0.8704276084899902,0.8306620717048645,29,4.3748393058776855,-0.1089429499028442,0,0,430,86.53829602541371,104.4,114.4,9.577830188679243,24.0,0.05581395,134.0,0.31162791,0.34492968,0.62295082,0.48952043,0.53648069,0.80153509,0.28809869,0.52007105,19.57292162,2024,6.21
Tarik Skubal,DET,18,4,0,31,31,192.0,10.6875,1.640625,0.703125,0.2725321888412017,0.8,0.45702306,0.087719298,96.99477782943676,2.390625,2.6851972148481353,2.4946047782897955,2.8256122650811455,5.9618635177612305,Tarik Skubal,22267,669373,6.51428571,0.30278884,0.04648074,0.2563081,0.2002820874471086,0.921875,59.29183996943964,60.16304128751233,68.44889676437636,-0.1039797782897955,2.8893415627543417,22,0,0,0,0,753,142,54,51,15,35,0,9,2,0,228,4.286072254180908,-9.260972023010254,13.54704475402832,40.03900146484375,4.196405410766602,0.9223779439926147,0.9162306189537048,0.8768322467803955,0.9548451900482178,31,4.173089027404785,0.4736745710700125,0,0,481,87.4467246960888,104.3,113.0,11.995771670190274,32.0,0.06652807,162.0,0.33679834,0.32818846,0.65815691,0.51498061,0.49257426,0.8013245,0.28405201999999996,0.56609094,16.6018078,2024,6.66
Zack Wheeler,PHI,16,7,0,32,32,200.0,10.08,2.34,0.9,0.2463768115942029,0.80116959,0.426,0.102564102,95.46789937258688,2.565,2.821236140494097,3.126479778289795,3.300687974356115,5.392975807189941,Zack Wheeler,10310,554430,4.30769231,0.28462516,0.0660737,0.21855146,0.1911966987620357,0.955,61.207644137788435,75.9598867875301,81.5529965548983,-0.5614797782897951,3.3169765272525167,26,0,0,0,0,787,139,62,57,20,52,0,8,8,0,224,3.951886177062988,-10.394461631774902,14.34634780883789,39.129600524902344,4.00068998336792,0.924381673336029,0.9032184481620787,0.8733125329017639,0.7839750051498413,32,3.432443618774414,0.842723545456467,0,0,503,86.72028662008282,103.2,114.3,12.962809917355372,42.0,0.08349901,167.0,0.33200795,0.32580424,0.6831746,0.51119895,0.58193277,0.82063197,0.25257732,0.5187747,18.55427559,2024,6.49
Cole Ragans,KCR,11,9,0,32,32,186.1,10.771019972008446,3.236136045401641,0.724508069866039,0.2904656319290465,0.74747475,0.407407407,0.080645161,95.54908834226646,3.1395349694195023,3.254923066167714,2.9947445320993267,3.457536477955223,4.855106353759766,Cole Ragans,21846,666142,3.32835821,0.29265092,0.08792651,0.20472441,0.2119013062409288,1.143112732455306,75.78170451273822,72.87890091858776,84.16963534661068,0.1447904373201756,3.4946125197414393,21,1,0,0,0,762,146,71,65,15,67,1,6,11,0,223,2.5627102851867676,-12.187857627868652,14.750568389892578,25.7377986907959,2.573378562927246,1.0252244472503662,0.9837150573730468,0.8763375282287598,1.26982581615448,31,2.731508493423462,-0.2318506945288772,0,0,466,88.32997982768053,103.8,115.4,15.255458515283843,29.0,0.06223176,165.0,0.35407725,0.29949239,0.68028534,0.4878127,0.53389831,0.78265014,0.29454305999999997,0.49454779,17.76588486,2024,4.68
Dylan Cease,SDP,14,11,0,33,33,189.1,10.64788760998921,3.0897888153986544,0.8556338258027043,0.2626931567328918,0.6935123,0.397849462,0.091370558,96.92338346541788,3.470070515755412,3.3068118444664107,3.0978178046142695,3.4351364194456018,4.746432781219482,Dylan Cease,18525,656302,3.44615385,0.29396325,0.08530184,0.20866142,0.1971223021582734,1.066901437112014,87.43770375370642,77.31974145663848,84.8020405168069,0.3722527111411424,3.457713576221004,16,1,1,0,0,762,137,80,73,18,65,0,2,12,0,224,1.2994163036346436,-11.126919746398926,12.426336288452148,13.101799964904783,1.328773021697998,0.8837617635726929,0.8744755387306213,0.8674121499061584,0.8605374693870544,32,2.294508457183838,-0.8241842621410169,0,0,471,89.01378973599138,104.4,116.8,14.125,40.0,0.08492569,181.0,0.38428875,0.31109799,0.67202142,0.48023839,0.47248577,0.80876494,0.3069889,0.46863237,18.62505167,2024,4.03
Seth Lugo,KCR,16,9,0,33,33,206.2,7.882258452495868,2.090322683534816,0.6967742278449386,0.2766323024054983,0.75141777,0.441624365,0.073732718,92.34196428571428,3.004838857581298,3.764560781549614,3.2487378468548225,3.8298950890902206,4.6767354011535645,Seth Lugo,12447,607625,3.77083333,0.21650718,0.05741627,0.15909091,0.2272143774069319,1.0887097310077165,72.53042652228318,79.21697918423996,93.4330126080602,-0.2438989892735246,3.937443872712888,22,1,0,0,0,836,177,75,69,16,48,1,9,4,0,181,3.5803744792938232,-11.971315383911133,15.551690101623535,35.56879806518555,3.614687204360962,0.9771687984466552,0.9232516288757324,0.8685696721076965,1.11328125,32,3.429889678955078,0.2341389770819573,0,0,598,88.50118511652542,104.5,115.1,10.669491525423728,48.0,0.08026756,233.0,0.38963211,0.28045515,0.63226205,0.46336761,0.57040573,0.88758553,0.20457698000000002,0.51992288,16.36323464,2024,5.04
Cristopher Sánchez,PHI,11,9,0,31,31,181.2,7.579816938197533,2.179816635821513,0.5449541589553782,0.3131868131868132,0.71225071,0.573770491,0.093220338,,3.319266240910031,3.5964410251469223,2.995837566899727,3.1907934967201372,4.654372692108154,Cristopher Sanchez,20778,650911,3.47727273,0.20291777,0.05835544,0.14456233,0.2563380281690141,1.244036766908237,79.20641983321478,72.85928569830588,78.89731698364983,0.3234286740103038,3.577777788602064,17,2,1,0,0,754,182,76,67,11,44,0,0,7,1,153,1.5996267795562744,-12.487648010253906,14.087274551391602,19.03969955444336,1.9570292234420776,1.0255253314971924,0.9382104873657228,0.8798967599868774,1.286510348320007,29,1.848042368888855,-0.2882303092287239,0,0,557,87.4145971145073,105.3,120.0,2.3861566484517303,30.0,0.05385996,192.0,0.34470377,0.35693431,0.66152768,0.51233464,0.6196319,0.86228814,0.22051639999999995,0.51018949,17.99852435,2024,3.79
Garrett Crochet,CHW,6,12,0,32,32,146.0,12.883561643835616,2.0342465753424657,1.1095890410958904,0.3181818181818182,0.73637703,0.450867052,0.144,97.27986666341654,3.5753424657534247,2.8508351995356422,2.6870277234952744,2.378815742520845,4.625381946563721,Garrett Crochet,27463,676979,6.33333333,0.3512605,0.05546218,0.29579832,0.2208258527827648,1.0684931506849316,88.66931441634587,63.21058668364914,57.33368518120905,0.8883147422581503,2.5324797444409644,11,0,0,0,0,595,123,61,58,18,33,0,5,3,1,209,1.672254204750061,-9.420820236206056,11.093073844909668,11.10919952392578,1.2115150690078735,0.998050332069397,0.9533226490020752,0.8746645450592041,1.0514065027236938,31,1.758122205734253,-0.0826012915908318,0,0,348,88.29796511627907,105.9,111.4,11.057803468208093,32.0,0.09195402,135.0,0.38793103,0.33427495,0.68472536,0.52906734,0.45352113,0.78681319,0.30671937000000005,0.55583438,17.45500279,2024,4.05
Logan Webb,SFG,13,10,0,33,33,204.2,7.563518291238209,2.198697177685526,0.4837133790908157,0.3151815181518151,0.71668064,0.568181818,0.078571428,92.8356818896812,3.473941540743131,4.367291185973823,2.9466100605212424,3.28218585995796,4.439412593841553,Logan Webb,17995,657277,3.44,0.20451843,0.05945303,0.1450654,0.256020278833967,1.2312704195038946,86.3206696983493,75.77112448932698,81.10587957241586,0.5273314802218887,3.614297077813484,20,1,1,0,0,841,202,83,79,11,50,3,2,4,1,172,1.131911039352417,-14.483555793762209,15.615466117858888,15.490999221801758,1.6704126596450806,1.020055651664734,0.971372127532959,0.8760666847229004,1.0303562879562378,32,2.2621779441833496,-1.1525217822816585,0,0,617,89.81251905487805,106.4,120.4,2.5170731707317073,43.0,0.06969206,285.0,0.46191248,0.34161114,0.58580645,0.45985629,0.67730496,0.89977974,0.18546196000000004,0.48422368,16.18104547,2024,3.79
Paul Skenes,PIT,11,3,0,23,23,133.0,11.50375939849624,2.1654135338345863,0.6766917293233082,0.2837837837837837,0.8559322,0.513157894,0.106382978,98.86830223321344,1.962406015037594,2.5029111064749023,2.4446752670115997,2.5358691781759264,4.267452239990234,Paul Skenes,33677,694973,5.3125,0.3307393,0.06225681,0.26848249,0.1974789915966386,0.9473684210526316,46.70187387339791,61.11850670301294,63.07059692558683,-0.4822692519740057,2.7140478644684807,15,0,0,0,0,514,94,31,29,10,32,0,6,2,1,170,3.6879262924194336,-6.253335952758789,9.941262245178224,37.22420120239258,3.7832415103912354,0.960322082042694,0.9351412057876588,0.8721739053726196,1.0359303951263428,23,3.3208329677581787,0.5194684908679443,0,0,306,87.8323406559406,103.5,112.5,8.398026315789474,16.0,0.05228758,111.0,0.3627451,0.31047992,0.66938406,0.49694118,0.49842271,0.83491204,0.26609848,0.51952941,18.4547723,2024,5.78
