Name,PlayerId,MLBAMID,Team,fWAR,bWAR,fWAR-bWAR Avg,ERA,xERA,FIP,xFIP,ERA-xERA,vFA,K%,BB%,K-BB%,IP,Chase%,Whiff%,G,GS,Barrel%,HardHit%,EV,GB%,K/9,BB/9,K/BB,HR/9,BABIP,LOB%,HR/FB,SV,AVG,WHIP,ERA-,FIP-,SIERA,WPA,Clutch,SO,BB,HBP,HR,QS,CG,ShO,ER,TBF,fWAR/200,bWAR/200
Cristopher Sánchez,20778,650911,PHI,2.8060319423675537,3.63,3.218015971183777,1.6175116344758933,2.87,1.9482234381827337,2.3481120366406003,-1.2524883655241068,,0.29054054,0.05405405,0.23648649,72.1,0.36462094,0.30754351999999996,11,11,8.3,44.0,89.0,0.583333333,10.700461581917448,1.9907835501241764,5.375,0.373271915648283,0.3368421052631579,0.82706767,0.061224489,0,0.2401433691756272,1.1474655184743516,39.49733087919882,47.52284567819292,2.550344595455959,1.7536542415618896,0.198528173834158,86,16,1,3,8,1,1,13,296,7.783722447621509,10.069348127600556
Cam Schlittler,32095,693645,NYY,2.729753017425537,3.1,2.9148765087127684,1.5,2.6,1.7939852830135463,2.5762410969445204,-1.1,98.0061274509804,0.29644269,0.0513834,0.24505929,66.0,0.36746988,0.26678766,11,11,6.7,39.4,87.7,0.469135802,10.227272727272728,1.7727272727272727,5.76923077,0.2727272727272727,0.2576687116564417,0.81180812,0.035714285,0,0.1833333333333333,0.8636363636363636,37.12245128031233,42.91253561089348,2.7310850600743475,1.765097975730896,-0.2115988626643234,75,13,0,2,7,0,0,11,253,8.271978840683445,9.393939393939394
Davis Martin,21448,663436,CHW,2.2913761138916016,2.87,2.580688056945801,2.043243327506538,3.56,2.303485660413653,2.8399823871944867,-1.5167566724934622,94.30225212191358,0.27385892,0.04979253,0.22406639,61.2,0.35344828,0.25813449,10,10,7.5,46.9,90.4,0.443037974,9.632432829673675,1.7513514235770322,5.5,0.437837855894258,0.3057324840764331,0.84142395,0.057692307,0,0.2256637168141592,1.021621663753269,49.87016135714528,54.639504379369185,2.94598648233805,1.946816086769104,1.0368816575851283,66,12,3,3,7,0,0,14,241,7.488157234939874,9.379084967320262
Jacob Misiorowski,31623,694819,MIL,2.1523778438568115,2.16,2.156188921928406,1.894736842105263,2.31,2.11695179019058,2.201783943228554,-0.415263157894737,99.74208752285192,0.39285714,0.08035714,0.3125,57.0,0.30733945,0.35632184,10,10,2.7,32.7,86.9,0.433628318,13.894736842105264,2.8421052631578947,4.88888889,0.631578947368421,0.2568807339449541,0.82995951,0.097560975,0,0.1592039800995024,0.8771929824561403,47.37662870052424,52.4698744793009,2.1940128916586996,1.4684559106826782,-0.0936226621725691,88,18,5,4,5,0,0,12,224,7.552202960901093,7.578947368421053
Dylan Cease,18525,656302,TOR,1.9316706657409668,1.62,1.7758353328704835,3.0483870967741935,2.96,2.5657350386342697,2.501124118028149,0.08838709677419354,97.98174342105264,0.35658915,0.10077519,0.25581395,62.0,0.31553398,0.33739836999999995,11,11,5.1,36.8,87.0,0.470588235,13.35483870967742,3.774193548387097,3.53846154,0.7258064516129032,0.3333333333333333,0.76056338,0.113636363,0,0.2139737991266375,1.2096774193548387,75.04548154911026,61.72030491461401,2.733918892462259,0.2112541198730468,-0.5500945765426352,92,26,3,5,4,0,0,21,258,6.231195695938602,5.225806451612904
Reid Detmers,27468,672282,LAA,1.9000523090362549,0.53,1.2150261545181276,4.571428848232018,2.9,2.827895801546111,3.40241638948553,1.671428848232018,94.23455528846154,0.28301887,0.07169811,0.21132075,63.0,0.33024119,0.25763358999999997,11,11,6.6,35.5,88.8,0.363636363,10.714286363043792,2.7142858786377606,3.94736842,0.7142857575362528,0.2962962962962963,0.5942029,0.06849315,0,0.2190082644628099,1.1428572120580045,110.56395237068668,68.13610495772245,3.1968509365186604,-0.068925991654396,-0.4079908547329046,75,19,4,5,4,0,0,32,265,6.031912092178587,1.6825396825396828
Max Fried,13743,608331,NYY,1.8429429531097412,1.7,1.7714714765548707,3.2108109432245593,2.5,2.6926748656529935,3.7631902684906864,0.7108109432245593,95.06169577205884,0.20833333,0.07916667,0.12916667,61.2,0.29338843,0.22549019999999997,10,10,1.8,30.8,86.1,0.487951807,7.297297598237635,2.772973087330301,2.63157895,0.1459459519647526,0.25,0.67092652,0.017543859,0,0.1963470319634703,1.0054054468682962,79.46211520676492,64.51264486719471,3.953183086301153,0.2400941252708435,-0.9764011566578804,50,19,2,1,6,0,0,22,240,6.02268938924752,5.555555555555555
Joe Ryan,21390,657746,MIN,1.8417422771453855,1.16,1.5008711385726927,3.017647194251888,2.87,2.517158163196074,3.4923989925484342,0.147647194251888,93.3838439792176,0.27111111,0.06222222,0.20888889,56.2,0.31497797,0.23819742,11,11,10.2,42.2,90.0,0.383561643,9.688235728913956,2.223529511554023,4.35714286,0.4764706096187192,0.2638888888888889,0.63197026,0.044117647,0,0.1971153846153846,0.9705882788529464,73.2878553626551,61.423217128963934,3.2279802000526954,0.3469140529632568,-0.7170364288241319,61,14,3,3,6,0,0,19,225,6.554242979165073,4.128113879003558
Kevin Gausman,14107,592332,TOR,1.8062032461166384,1.47,1.6381016230583192,3.2343751927837845,3.31,2.8631140578538172,3.2905122872008814,-0.07562480721621556,94.03410428436912,0.23643411,0.03875969,0.19767442,64.0,0.35714286,0.24282983000000002,11,11,8.6,34.2,87.3,0.385869565,8.578125511296124,1.4062500838190368,6.1,0.843750050291422,0.281767955801105,0.71672355,0.078947368,0,0.2298387096774193,1.0468750623986165,79.62415406816528,68.8979262899326,3.3488823660852116,0.5617542266845703,-0.3291334529665216,61,10,0,6,7,0,0,23,258,5.644385144114495,4.59375
Shohei Ohtani,19755,660271,LAD,1.7815020084381104,2.22,2.0007510042190555,0.7346938775510204,2.4,2.387986519871926,3.102152293798875,-1.6653061224489796,97.93927346068249,0.28421053,0.06842105,0.21578947,49.0,0.31496063,0.29005525,8,8,3.3,39.2,88.0,0.50420168,9.918367346938776,2.3877551020408165,4.15384615,0.3673469387755102,0.2203389830508474,0.9223301,0.045454545,0,0.160919540229885,0.8367346938775511,18.324910207445217,57.57529787096251,3.0321644195568265,1.839036226272583,0.2393453085739925,54,13,3,2,7,0,0,4,190,7.271436769135144,9.061224489795919
Seth Lugo,12447,607625,KCR,1.6264243125915527,1.03,1.3282121562957765,3.7384615384615385,5.21,3.081864070892334,4.12401353418827,-1.4715384615384615,91.8382199309593,0.1978022,0.08424908,0.11355311,65.0,0.24786325,0.15625,11,11,10.7,41.8,90.6,0.357512953,7.476923076923077,3.1846153846153844,2.34782609,0.4153846153846154,0.3316062176165803,0.72261072,0.038961038,0,0.268,1.3846153846153846,88.80899231201988,75.47509159845198,4.310591037852682,0.5513440370559692,-0.0286285228203776,54,23,0,3,7,0,0,27,273,5.004382500281701,3.1692307692307695
Paul Skenes,33677,694973,PIT,1.619844913482666,1.37,1.494922456741333,3.0,2.4,2.8651974042256674,3.0207389739652477,0.6000000000000001,97.34654017857144,0.28017241,0.0387931,0.24137931,60.0,0.34072581,0.22291667000000004,11,11,4.6,34.6,87.4,0.423841059,9.75,1.35,7.22222222,0.9,0.2297297297297297,0.69506726,0.095238095,0,0.182648401826484,0.8166666666666667,73.05816090084072,71.35768817862304,2.8479256948527985,1.1876401901245115,-0.173273928155232,65,9,4,6,5,0,0,20,232,5.39948304494222,4.566666666666666
José Soriano,22100,667755,LAA,1.6145728826522827,2.56,2.0872864413261416,2.442211242538624,3.69,3.096939448932696,3.2037328760223818,-1.2477887574613757,97.88451286764706,0.27924528,0.10188679,0.17735849,66.1,0.31903945,0.29629629999999996,11,11,8.6,36.8,88.5,0.518518518,10.04020177488101,3.663316863807936,2.74074074,0.6783920118162845,0.2468354430379747,0.83076923,0.096153846,0,0.1856540084388185,1.0703518408656931,59.066986813898545,74.63823438330014,3.438796778106753,1.3161081075668335,-0.0680477087937294,74,27,1,5,6,0,0,18,265,4.885243215286787,7.745839636913768
Parker Messick,31986,800048,CLE,1.6097077131271362,2.44,2.024853856563568,2.238342145877672,3.19,3.050775985532922,3.0665549575451334,-0.951657854122328,93.82387212030716,0.28,0.076,0.204,64.1,0.33333333,0.24166666999999997,11,11,5.0,32.5,87.1,0.439490445,9.792746888214817,2.6580312982297354,3.68421053,0.8393783047041269,0.2727272727272727,0.8557047,0.105263157,0,0.208695652173913,1.0414508595403056,55.42664221850606,75.41647639341733,3.2033097704984335,1.593578219413757,0.0043914623134453,70,19,1,6,4,0,0,16,250,5.022488964515246,7.613104524180968
Max Meyer,27474,676974,MIA,1.5676134824752808,2.2,1.8838067412376405,2.521978127698715,3.79,2.9829629678453258,3.451117007013329,-1.268021872301285,95.16577576754386,0.272,0.088,0.184,60.2,0.33333333,0.28784648,11,11,9.0,42.3,90.0,0.419354838,10.08791251079486,3.263736400551278,3.09090909,0.5934066182820505,0.25,0.80128205,0.068965517,0,0.1875,1.05494509916809,61.74792304316097,73.94528579758457,3.4463979413342716,1.5345640182495115,0.4865112606112112,68,22,4,4,3,0,0,17,250,5.208018214203591,7.308970099667775
