Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,CG,ShO,TBF,H,ER,HR,BB,IBB,HBP,SO,QS,AVG,WHIP,ERA-,FIP-,K%,BB%,SIERA,K-BB%,WPA,Clutch,EV,Barrel%,HardHit%,K/BB,Contact% (sc),O-Swing% (mlb),NameASCII,PlayerId,MLBAMID
"A.J. Minter","NYM",0,0,0,1,0,1,18,0,0,0.5,1,0.5,0,92.84278215680804,0,,-0.9228904724121092,0.48122588992118853,0.04348045215010643,0,0,4,1,0,0,0,0,0,2,0,0.25,1,0,-22.63232095978735,0.5,0,0.3335356881618501,0.5,0.0012680001091212034,0.010720740415599804,90.19999694824219,0,0.5,2,0.57142857,0.25,"A.J. Minter",18655,621345
"Alec Gamboa","BOS",0,0,0,1,0,1,18,0,0,0,1,0,0,95.40164184570312,0,0.2119209336277598,-0.9228904724121092,0.48122588992118853,0.03072941116988659,0,0,3,0,0,0,0,0,0,2,0,0,0,0,-22.714029592967762,0.66666667,0,-0.3072976425241496,0.66666667,0.0013000000035390258,0.033000006798655085,81.4000015258789,0,0,2,0.85714286,0,"Alec Gamboa",26227,687941
"Joey Gerber","NYM",0,0,0,1,0,2,22.5,4.5,0,0.6666666666666666,1,0,0,94.2967529296875,0,2.7201190153009285,-0.4228904724121092,0.27916770875453967,0.061405692249536514,0,0,9,2,0,0,1,0,0,5,0,0.25,1.5,0,-10.213816033733435,0.55555556,0.11111111,0.973257912644739,0.44444444,0.009060020558536053,0.05225741705305838,98.06667073567708,0,0.66666667,5,0.90909091,0.30434783,"Joey Gerber",24591,680702
"Alan Rangel","PHI",0,0,0,1,0,3,15,0,0,0.42857142857142855,0.66666667,0.285714285,0,93.0668586282169,3,2.917862767414034,-0.25622380574544223,1.1478925565878557,0.12459571659564972,0,0,12,3,1,0,0,0,0,5,0,0.25,1,73.12500968363852,-5.929071888719011,0.41666667,0,0.9747231933891001,0.41666667,0.009772016666829586,0.06339150628487122,86.11428397042411,0,0.14285714,5,0.68421053,0.23076923,"Alan Rangel",19524,660604
"Logan VanWey","HOU",0,0,0,2,0,2,13.5,0,0,0.25,1,0.25,0,93.65516764322916,0,1.2048952840322382,0.0771095275878908,2.1832840710878374,0.04798172041773796,0,0,7,1,0,0,0,0,0,3,0,0.14285714285714285,0.5,0,1.6024401397294603,0.42857143,0,1.2623214056054213,0.42857143,0.0016760266153141856,0.11000855271254698,93.8499984741211,0,0.5,3,0.69230769,0.22222222,"Logan VanWey",31884,701121
"Mason Miller","SDP",1,1,16,23,0,23.2,17.873241357211406,3.422535579040482,0,0.29411764705882354,0.84210526,0.617647058,0,101.24100378787878,0.760563462008996,0.9453180923527863,0.24612330788773873,0.7207542419320458,1.4700015783309937,0,0,90,10,2,0,9,0,0,47,0,0.12345679012345678,0.8028169876761625,19.57592483312608,6.418757264738108,0.52222222,0.1,1.1231350723823126,0.42222222,1.6720420122146606,0.11498431380136864,81.4294074563419,0,0.11764706,5.22222222,0.48850575,0.38967136,"Mason Miller",31757,695243
"Logan Allen","CLE",0,0,0,1,0,4,15.75,2.25,0,0.45454545454545453,0.66666667,0.454545454,0,91.28028215680804,0,3.7308650408451403,0.3271095275878908,1.7312258899211885,0.10374095290899277,0,0,19,5,0,0,1,0,0,7,0,0.2777777777777778,1.5,0,7.7882828618905195,0.36842105,0.05263158,1.7551797291012574,0.31578947,-0.014183999970555305,-0.29933443010649724,94,0.18181818,0.54545455,7,0.81818182,0.25,"Logan Allen",27589,671106
"Yacksel Ríos","CHC",0,0,0,1,0,1.2,10.800004119874618,0,0,0,1,0.333333333,0,98.51786041259766,0,4.53049782355788,0.6771086120601977,1.51957875083703,0.03379844129085541,0,0,5,0,0,0,0,0,0,2,0,0,0,0,17.28786608379749,0.4,0,1.0621956881618504,0.4,0.0012760328827425838,-0.007091902556611213,90.83333333333333,0,0.33333333,2,0.66666667,0.25,"Yacksel Rios",15007,605441
"Grant Wolfram","BAL",1,1,0,18,0,14.2,12.886370060368264,0.6136366695413459,0,0.5,0.61538462,0.43902439,0,95.53935282939189,4.2954566867894215,3.2604504165106043,1.0316539624500711,2.180477013424357,0.6071343421936035,0,0,69,22,7,0,1,1,3,21,0,0.3384615384615385,1.5681825999389951,106.22904821477587,25.029580279039884,0.30434783,0.01449275,1.9483053760305287,0.28985507,-0.09931182116270065,0.17183560407582357,89.4463426543445,0.06818182,0.45454545,21,0.73170732,0.33870968,"Grant Wolfram",21623,664991
"P.J. Higgins","CIN",0,0,0,1,0,1,9,0,0,0,1,0,0,53.644281005859376,0,0.08378162350194643,1.0771095275878908,3.8853422522544863,0.01791227236390114,0,0,3,0,0,0,0,0,0,1,0,0,0,0,25.59178780078892,0.33333333,0,4.222702354354517,0.33333333,0.00010799995652632788,,78.05000305175781,0,0,1,0.6,0.4,"P.J. Higgins",18433,664731
