Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Aaron Brooks","TBR",0,54.00005632644807,0,27.000028163224034,0,0.5,-0.5,0.5,9.000009387741345,0,-0.625,1964.7860003930584,1445.9090924626908,719.5861719040952,81.0000844896721,60.081923526587524,20.91816096308459,29.39927192059978,17.66857411837578,"Aaron Brooks",12272,605156
"Dylan Smith","SFG",0,13.500014081612017,0,0,0,0.33333333,-0.33333333,0,1.5000015646235574,0,1,0,194.83588064727266,290.5403910447511,0,7.581868764763007,-7.581868764763007,11.740563301875387,14.183185217103334,"Dylan Smith",30145,681916
"Reese McGuire","CHW",0,0,0,0,0,0,0,0,0,0,1,0,73.1719111358572,177.06392195500038,0,3.081864070892334,-3.081864070892334,7.2405542701482775,13.002074118375777,"Reese McGuire",15674,624512
"Gavin Hollowell","CHC",5.400002059937309,21.600008239749236,0.25,5.400002059937309,0.09090909,0.36363636,-0.27272727,0.2857142857142857,3.6000013732915397,0.2,0.86956522,272.91919807347824,424.70354400482364,327.6333612248014,10.800004119874618,16.881869335176567,-6.081865215301949,13.24055814538253,11.898644364182806,"Gavin Hollowell",25427,668970
"Duncan Davitt","CHW",0,9,0,0,0,0.33333333,-0.33333333,0,1,0,1,0,144.59889256417472,182.6348869645082,0,6.081864070892334,-6.081864070892334,7.468094137310982,11.474740776543777,"Duncan Davitt",31886,701474
"Carlos Estévez","KCR",0,54.00005632644807,0,27.000028163224034,0,0.28571429,-0.28571429,0.8,18.00001877548269,0.75,0,3848.393681041616,1475.3060732306624,719.5861719040952,162.0001689793442,60.081923526587524,101.9182454527567,29.39927192059978,11.005053691926188,"Carlos Estevez",14542,608032
"Wyatt Mills","LAD",2.70000025749209,18.90000180244463,0.14285714,0,0.04761905,0.33333333,-0.28571429,0.23076923076923078,3.0000002861023223,0.25,0.72727273,202.0321543043712,232.80700997484703,280.76704322515906,8.10000077247627,9.681864700317444,-1.5818639278411748,11.345340938661277,10.655727181464147,"Wyatt Mills",20010,670090
"Riley Cornelio","WSN",4.5,18,0.25,0,0.08333333,0.33333333,-0.25,0.25,3,0.2857142857142857,0.5,223.3748651919199,199.33751814325356,268.6248220798245,9,8.081864070892333,0.9181359291076667,10.854324203729629,10.52874772702175,"Riley Cornelio",31953,683000
"Jorge Mateo","ATL",0,0,0,0,0,0,0,0.25,1,0.25,1,0,77.93538205689671,179.26087462085653,0,3.081864070892334,-3.081864070892334,7.2405542701482775,10.275074118375779,"Jorge Mateo",17273,622761
"Yaramil Hiraldo","BAL",10.800004119874618,21.600008239749236,0.5,10.800004119874618,0.16666667,0.33333333,-0.16666667,0.375,4.2000016021734625,0.25,0.71428571,536.2729657664687,578.2947891190937,294.58465103727775,21.600008239749236,23.481871852877724,-1.8818636131284876,12.040557687618684,9.740532452025445,"Yaramil Hiraldo",25215,682274
"Garrett Stubbs","PHI",0,0,0,0,0,0,0,0,0,0,1,0,75.05497599069722,144.9811631012275,0,3.081864070892334,-3.081864070892334,5.85432420372963,9.502740779137111,"Garrett Stubbs",18067,596117
"Jorbit Vivas","WSN",0,0,0,0,0,0,0,0.6666666666666666,6.0000062584942295,0.6666666666666666,0.25,1005.1879418563684,76.14370135564003,282.1002237191204,40.50004224483605,3.0818640708923346,37.418178173943716,11.399253145117093,9.502740779137111,"Jorbit Vivas",23917,678391
"Jonathan Pintaro","NYM",0,0,0,0,0,0,0,0,0,0,1,0,76.89357278625455,144.9811631012275,0,3.081864070892334,-3.081864070892334,5.85432420372963,9.502740779137111,"Jonathan Pintaro",33980,702752
