Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Dylan Cease","TOR",3,3,3.0483870967741935,11,11,4,0,0,0,0,0,62,258,49,24,21,5,26,0,3,1,0,92,"Dylan Cease",18525,656302
"Jacob Misiorowski","MIL",4,2,1.894736842105263,10,10,5,0,0,0,0,0,57,224,32,14,12,4,18,0,5,2,1,88,"Jacob Misiorowski",31623,694819
"Cristopher Sánchez","PHI",5,2,1.6175116344758933,11,11,8,1,1,0,0,0,72.1,296,67,18,13,3,16,0,1,0,0,86,"Cristopher Sanchez",20778,650911
"Gavin Williams","CLE",7,3,3.245192545758214,11,11,5,0,0,0,0,0,69.1,277,55,26,25,9,22,0,1,1,0,84,"Gavin Williams",30122,668909
"Reid Detmers","LAA",1,5,4.571428848232018,11,11,4,0,0,0,0,0,63,265,53,35,32,5,19,0,4,0,0,75,"Reid Detmers",27468,672282
"Cam Schlittler","NYY",6,2,1.5,11,11,7,0,0,0,0,0,66,253,44,13,11,2,13,0,0,0,0,75,"Cam Schlittler",32095,693645
"José Soriano","LAA",6,3,2.442211242538624,11,11,6,0,0,0,0,0,66.1,265,44,18,18,5,27,1,1,0,0,74,"Jose Soriano",22100,667755
"Chris Sale","ATL",7,3,1.8870967741935485,10,10,9,0,0,0,0,0,62,241,40,15,13,6,14,0,5,0,0,72,"Chris Sale",10603,519242
"Parker Messick","CLE",6,1,2.238342145877672,11,11,4,0,0,0,0,0,64.1,250,48,17,16,6,19,0,1,1,0,70,"Parker Messick",31986,800048
"Nolan McLean","NYM",2,3,3.5689655172413794,10,10,5,0,0,0,0,0,58,234,43,28,23,6,17,0,5,1,0,69,"Nolan McLean",33703,690997
"Max Meyer","MIA",5,0,2.521978127698715,11,11,3,0,0,0,0,0,60.2,250,42,18,17,4,22,0,4,2,0,68,"Max Meyer",27474,676974
"Shota Imanaga","CHC",4,5,4.036082632952922,11,11,6,0,0,0,0,0,64.2,261,52,30,29,10,17,0,1,3,0,67,"Shota Imanaga",33829,684007
"Jesús Luzardo","PHI",3,4,4.850299622783529,10,10,5,0,0,0,0,0,55.2,236,58,32,30,5,15,0,3,3,0,66,"Jesus Luzardo",19959,666200
"Davis Martin","CHW",7,1,2.043243327506538,10,10,7,0,0,0,0,0,61.2,241,51,14,14,3,12,0,3,4,0,66,"Davis Martin",21448,663436
"Braxton Ashcraft","PIT",3,2,2.887700593666864,10,10,6,0,0,0,0,0,62.1,246,48,23,20,6,16,0,3,0,0,65,"Braxton Ashcraft",23793,677952
