Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,NameASCII,PlayerId,MLBAMID
"Justin Bruihl","STL",-0.03169191628694534,-1.6663410663604736,1.6346491575241089,-4.711999893188477,-0.46191394329071045,0.96306973695755,0.8158707022666931,1.0777839422225952,0.9336400032043457,25,-0.5039520859718323,0.47104489859922954,7,8,"Justin Bruihl",23779,677865
"Ryne Stanek","STL",-0.9021580815315247,-2.9699015617370605,2.0677435398101807,-5.210999965667725,-0.5274761915206909,1.2276400327682495,1.2468974590301514,1.2209416627883911,1.5636094808578491,21,-0.22079551219940186,-0.5140763211157892,6,7,"Ryne Stanek",15947,592773
"Jeff Hoffman","TOR",-1.7359520196914673,-4.270347595214844,2.534395456314087,-5.163000106811523,-0.5162813663482666,1.6869513988494873,1.4038879871368408,1.476088047027588,2.68612003326416,10,-0.46648773550987244,-0.5625591124760261,7,7,"Jeff Hoffman",17432,656546
"Drew Pomeranz","LAA",-0.9857358932495117,-2.4870400428771973,1.501304030418396,-7.76800012588501,-0.7813182473182678,1.4713866710662842,1.389778971672058,1.5495294332504272,1.5983999967575073,12,-0.5183747410774231,-0.1515619333761853,6,6,"Drew Pomeranz",11426,519141
"Adrian Morejon","SDP",0.7165961861610413,-2.7001020908355713,3.4166982173919678,-0.43900007009506226,-0.011733178049325943,1.666692852973938,1.652626872062683,1.9855130910873413,1.7784762382507324,21,0.14912393689155581,0.2808270195083554,14,6,"Adrian Morejon",20039,670970
"Calvin Faucher","MIA",-0.6413638591766357,-2.952455759048462,2.311091899871826,-3.3889997005462646,-0.3438916802406311,1.5489524602890015,1.2940722703933716,1.4555809497833252,1.0901000499725342,16,0.11022888869047165,-0.5242918606792768,7,6,"Calvin Faucher",20116,676534
"Andrés Muñoz","SEA",-0.5605999231338501,-3.2958486080169678,2.7352488040924072,-0.4629999101161957,-0.0781363844871521,1.8827626705169678,1.8497095108032227,2.027933359146118,3.599479913711548,5,-0.3409323990345001,0.04317850157703623,10,6,"Andres Munoz",20373,662253
"Greg Weissert","BOS",-0.7803019881248474,-2.4697420597076416,1.6894398927688599,-2.798999786376953,-0.260996013879776,1.141419768333435,0.9946321249008179,1.2789000272750854,0.8840399980545044,20,-0.09897349029779434,-0.5846505451122032,5,6,"Greg Weissert",20375,669711
"Braydon Fisher","TOR",0.2912861704826355,-1.8056560568511486,2.096942216157913,6.253000020980835,0.6558310389518738,0.9421579752649579,0.8910090262825424,1.2210370037290785,0.8073454715988853,22,0.005804494023323059,0.30336464547339315,10,6,"Braydon Fisher",24609,680755
"Tim Herrin","CLE",-0.2107398808002472,-1.8460299968719482,1.6352901458740234,0.33099985122680664,0.04218297451734543,1.4044069051742554,0.9939461350440979,1.3257091045379639,1.3708525896072388,19,-0.16001302003860474,0.009956878884770759,4,6,"Tim Herrin",25139,682120
"Connor Phillips","CIN",0.5440040230751038,-1.8581640720367432,2.402168035507202,-4.958000183105469,-0.5401468873023987,0.9775957465171814,0.8077372312545776,1.083008050918579,0.8400105237960815,19,-0.5772964358329773,1.1337677840494487,6,6,"Connor Phillips",27649,683175
"Matt Svanson","STL",-0.7179359793663025,-1.7589819431304932,1.0410460233688354,-10.059999465942383,-1.0645583868026733,0.5779815316200256,0.4941161572933197,0.5402416586875916,0.9571375250816345,16,-0.9643406867980957,-0.27780277296609124,1,6,"Matt Svanson",29629,694335
"Drew Anderson","DET",0.3513781279325485,-1.8863739743828773,2.237752228975296,3.7727999687194824,0.3779165744781494,0.8284925902449845,0.7981386359145002,1.0326235785203821,1.6999272866682573,11,0.23631630325689912,0.18780110234192027,6,5,"Drew Anderson",15130,623454
"Mark Leiter Jr.","ATH",-0.31247201561927795,-2.8509879112243652,2.53851580619812,-3.5850000381469727,-0.3742840886116028,1.386497139930725,1.0789449214935303,1.2208999395370483,1.2717764377593994,17,-0.10113315284252167,-0.12423479536319212,5,5,"Mark Leiter Jr.",15551,643410
"Ryan Borucki","SFG",-0.12636876106262207,-1.4740740060806274,1.3477052450180054,-1.8800002336502075,-0.20729386806488037,0.8905068039894104,0.5608833432197571,0.851610541343689,0.6172857284545898,14,-0.1387140452861786,-0.0031925190393252145,2,5,"Ryan Borucki",16350,621366
"Gabe Speier","SEA",-0.4364139437675476,-1.7013318538665771,1.2649179697036743,-0.2840000092983246,-0.027937818318605423,1.4632983207702637,1.3846533298492432,1.453346610069275,1.4252833127975464,12,-0.33062469959259033,0.03238480033689772,3,5,"Gabe Speier",17170,642100
"Jalen Beeks","TEX",0.09511421620845795,-1.3503119945526123,1.4454262256622314,1.6150001287460327,0.16121889650821686,0.9727200269699097,0.8294827938079834,0.9903565049171448,0.9778600335121155,20,0.05179711431264877,0.04598458398829536,5,5,"Jalen Beeks",17192,656222
"Justin Lawrence","PIT",-0.904015839099884,-2.177081823348999,1.2730660438537598,-8.362000465393066,-0.8748668432235718,0.9463257789611816,0.7527391314506531,0.7505545616149902,0.9551411867141724,17,-0.6494036912918091,-0.3058866106296467,2,5,"Justin Lawrence",17639,664875
"Phil Maton","CHC",-0.8712137937545776,-1.9843940734863281,1.1131802797317505,-7.664000034332275,-0.7866643667221069,0.9601051211357117,0.7682754397392273,0.9915111064910889,0.8615599870681763,15,-0.4586847722530365,-0.4487302332247135,4,5,"Phil Maton",18064,664208
"JoJo Romero","STL",1.0962140560150146,-2.4231579303741455,3.51937198638916,6.5,0.6923035979270935,1.8532764911651611,1.6787930727005005,1.8661082983016968,1.6663652658462524,23,0.4018807113170624,0.18961983446810604,13,5,"JoJo Romero",19574,668941
"Kevin Ginkel","ARI",0.35663172602653503,-1.824912667274475,2.181544542312622,3.9720001220703125,0.37280139327049255,1.3044719696044922,1.1414586305618286,1.3443636894226074,1.39246666431427,18,0.2410251647233963,0.032366471384095985,8,5,"Kevin Ginkel",19876,656464
"Tony Santillan","CIN",-0.07581393420696259,-3.0544111728668213,2.9785971641540527,-2.312999963760376,-0.19407428801059723,1.729973316192627,1.6277753114700317,1.6686636209487915,1.4668333530426025,18,-0.33423537015914917,0.29041161085758027,12,5,"Tony Santillan",19926,663574
"John Schreiber","KCR",-0.16137917339801788,-1.6505483388900757,1.4891691207885742,2.131999969482422,0.2028096318244934,1.0556108951568604,0.8884847164154053,1.2471181154251099,0.9929368495941162,19,-0.13696663081645966,-0.01591088696819476,5,5,"John Schreiber",20020,670167
"Griffin Jax","TBR",-0.2478419542312622,-2.9621280431747437,2.7142860889434814,-0.19990015029907227,-0.02746438980102539,1.4579040184020997,1.1905636281678171,1.6594749763607979,1.2500533660252888,15,0.06309416890144348,-0.2330929830228994,4,5,"Griffin Jax",20253,643377
"Eduard Bazardo","SEA",0.0764918178319931,-2.593022108078003,2.6695139408111572,3.0410001277923584,0.3067752420902252,1.5588815212249756,1.3102755546569824,1.5769360065460205,1.5218956470489502,23,-0.043957870453596115,0.09302626775673786,8,5,"Eduard Bazardo",20997,660825
"Grant Wolfram","BAL",-0.1253398358821869,-1.6057460308074951,1.4804061651229858,-1.4010000228881836,-0.15407349169254303,1.4432032108306885,1.2181802988052368,1.343537449836731,1.519837498664856,16,-0.21969623863697052,0.13284787595210443,5,5,"Grant Wolfram",21623,664991
"Juan Morillo","ARI",-0.2258819043636322,-2.68652606010437,2.460644245147705,3.1629998683929443,0.30230778455734253,1.7542318105697632,1.5822762250900269,1.7459391355514526,1.9749699831008911,20,0.3219544291496277,-0.4507184288688365,12,5,"Juan Morillo",21924,666661
"Camilo Doval","NYY",-0.8420799374580383,-2.3674819469451904,1.5254020690917969,-1.1600000858306885,-0.11778095364570618,1.1789441108703613,0.8874180316925049,1.0542173385620117,0.9081789255142212,19,-0.37615081667900085,-0.33811538957599174,3,5,"Camilo Doval",21992,666808
"DL Hall","MIL",0.028646200895309448,-1.2000659108161926,1.2287122011184692,4.338000059127808,0.46149785071611404,0.637883038453336,0.6072104957795912,0.8468190772192818,0.9385999627411366,16,0.2515714690089226,-0.206663234789735,3,5,"DL Hall",22207,669084
"Juan Mejia","COL",-0.20910805463790894,-2.8939280807971954,2.684819996356964,3.3580002784729004,0.24294620752334595,1.5698265639026607,1.4192620351396759,1.6779428947539556,1.5444999535878499,12,0.4023161828517914,-0.535520741524857,10,5,"Juan Mejia",23237,675848
"PJ Poulin","WSN",0.23483815789222717,-2.1854880452156067,2.4203261137008667,-1.2254002094268799,-0.12060892581939697,1.5971779650449753,1.181287092547263,1.5458782133848772,1.3701368131135638,19,-0.16930029541254044,0.316333477081569,6,5,"PJ Poulin",23394,676571
