Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Wade Meckler","LAA",3,7,8,4,3,0,0,1,1,3,1,0,1,0,0,0,0,0,0,0.571428571,"Wade Meckler",31490,685133
"Orlando Arcia","MIN",3,11,11,6,5,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0.545454545,"Orlando Arcia",13185,606115
"Gabriel Gonzalez","MIN",1,2,4,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0.5,"Gabriel Gonzalez",28833,694224
"Thomas Troy","ARI",1,4,4,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0.5,"Thomas Troy",33279,694371
"Michael Stefanic","ATH",2,5,5,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.4,"Michael Stefanic",25353,683021
"Bryan Torres","STL",2,8,10,3,2,0,0,1,1,2,2,0,1,0,0,0,0,0,0,0.375,"Bryan Torres",21464,663494
"Chadwick Tromp","ATL",5,11,12,4,4,0,0,0,1,2,0,0,3,0,0,1,0,0,0,0.363636363,"Chadwick Tromp",16953,644433
"Daniel Susac","SFG",17,45,49,16,12,3,1,0,2,9,4,0,11,0,0,0,1,0,1,0.355555555,"Daniel Susac",31441,691740
"Ryan Waldschmidt","ARI",16,51,57,18,13,4,1,0,9,7,5,0,16,0,0,0,0,5,1,0.352941176,"Ryan Waldschmidt",35061,814439
"Blake Dunn","CIN",13,37,40,13,9,2,1,1,9,2,3,0,9,0,0,0,0,2,0,0.351351351,"Blake Dunn",29487,694362
"Jared Young","NYM",11,20,23,7,5,2,0,0,2,2,2,0,3,0,1,0,0,0,0,0.35,"Jared Young",20404,676724
"Carlos Cortes","ATH",42,123,142,43,29,8,1,5,13,17,16,0,14,2,1,0,4,1,0,0.349593495,"Carlos Cortes",21842,666126
"Taylor Trammell","HOU",10,29,33,10,8,1,1,0,4,4,4,0,9,0,0,0,0,1,0,0.344827586,"Taylor Trammell",19960,666211
"Otto Lopez","MIA",53,208,221,70,50,14,2,4,30,21,8,0,36,3,2,0,5,8,3,0.336538461,"Otto Lopez",19608,672640
"José Azocar","ATL",9,15,16,5,3,2,0,0,1,0,1,0,3,0,0,0,0,1,0,0.333333333,"Jose Azocar",18821,640492
"Omar Martinez","LAA",5,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333333333,"Omar Martinez",25369,683079
"Ryan Ward","LAD",2,6,6,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.333333333,"Ryan Ward",27449,669899
"Tyler Black","MIL",9,27,28,9,5,4,0,0,2,7,1,0,7,0,0,0,1,0,0,0.333333333,"Tyler Black",29949,672012
"Jordan Lawlar","ARI",6,18,20,6,4,1,0,1,3,2,1,0,6,1,0,0,0,1,0,0.333333333,"Jordan Lawlar",29976,691783
"Dominic Smith","ATL",42,110,118,36,26,4,1,5,17,23,4,0,19,1,2,1,2,0,0,0.327272727,"Dominic Smith",15653,642086
"Troy Johnston","COL",49,157,175,51,36,13,0,2,19,23,15,0,37,2,0,1,2,2,2,0.324840764,"Troy Johnston",26143,687859
"Mickey Gasper","BOS",13,37,39,12,10,2,0,0,4,2,0,0,9,1,0,1,0,0,1,0.324324324,"Mickey Gasper",24759,681508
"Colby Thomas","ATH",16,34,37,11,8,2,0,1,4,5,2,0,9,0,0,1,0,0,0,0.323529411,"Colby Thomas",31855,687515
"Brandon Marsh","PHI",49,175,188,56,41,9,2,4,27,22,9,1,41,1,3,0,2,4,1,0.32,"Brandon Marsh",20202,669016
"Luis Arraez","SFG",50,197,219,63,49,9,3,2,25,18,13,2,9,2,3,4,3,4,0,0.319796954,"Luis Arraez",18568,650333
"Justin Foscue","TEX",15,44,49,14,9,3,0,2,5,7,3,0,15,1,1,0,1,0,0,0.318181818,"Justin Foscue",27501,679822
"Endy Rodríguez","PIT",7,19,25,6,5,1,0,0,3,2,6,0,6,0,0,0,0,0,0,0.315789473,"Endy Rodriguez",25332,682848
"Yandy Díaz","TBR",47,181,206,57,40,8,1,8,27,33,17,3,24,7,1,0,5,1,0,0.314917127,"Yandy Diaz",16578,650490
"Xavier Edwards","MIA",54,201,229,63,45,9,3,6,38,19,27,1,26,0,0,1,5,6,2,0.313432835,"Xavier Edwards",22266,669364
"Yohendrick Piñango","TOR",23,67,71,21,16,4,0,1,5,10,4,0,12,0,0,0,1,0,0,0.313432835,"Yohendrick Pinango",26664,682818
"Riley Greene","DET",54,193,223,60,41,15,0,4,30,24,28,0,61,2,0,0,3,1,1,0.310880829,"Riley Greene",25976,682985
"Nick Gonzales","PIT",47,172,189,53,45,8,0,0,21,21,13,0,33,3,1,0,5,3,2,0.308139534,"Nick Gonzales",27490,693304
"Ryan Vilade","TBR",29,65,77,20,14,3,1,2,8,14,9,0,13,0,2,1,1,2,0,0.307692307,"Ryan Vilade",22165,668723
"Ildemaro Vargas","ARI",45,179,189,55,38,8,2,7,29,32,7,1,18,1,0,1,3,1,0,0.307262569,"Ildemaro Vargas",13324,545121
"Alejandro Osuna","TEX",27,62,76,19,17,2,0,0,8,7,9,0,12,5,0,0,0,1,2,0.306451612,"Alejandro Osuna",27915,696030
"Shea Langeliers","ATH",48,197,221,60,36,12,0,12,35,27,20,1,45,3,1,0,4,0,0,0.304568527,"Shea Langeliers",25816,669127
"Alex Call","LAD",23,46,58,14,10,4,0,0,11,9,10,0,7,1,1,0,1,0,1,0.304347826,"Alex Call",19296,669743
"Nick Sogard","BOS",7,23,28,7,5,1,1,0,2,2,5,0,4,0,0,0,1,0,0,0.304347826,"Nick Sogard",25483,686765
"William Contreras","MIL",47,188,210,57,45,8,0,4,28,30,20,2,24,1,1,0,4,1,1,0.303191489,"William Contreras",20503,661388
"Drake Baldwin","ATL",48,188,216,57,38,6,0,13,39,38,24,1,44,3,1,0,6,1,1,0.303191489,"Drake Baldwin",31539,686948
"Josh Jung","TEX",48,182,199,55,36,14,0,5,22,21,14,0,29,2,1,0,8,1,1,0.302197802,"Josh Jung",26299,673962
"Jordan Walker","STL",50,192,215,58,32,11,0,15,37,42,20,0,55,2,1,0,3,7,3,0.302083333,"Jordan Walker",27475,691023
"Corbin Carroll","ARI",49,176,208,53,26,12,8,7,34,28,28,1,48,2,2,0,1,6,1,0.301136363,"Corbin Carroll",25878,682998
"Jorge Mateo","ATL",32,60,64,18,13,3,0,2,17,6,4,0,21,0,0,0,1,6,1,0.3,"Jorge Mateo",17273,622761
"Yordan Alvarez","HOU",53,190,229,57,31,11,0,15,31,31,34,7,38,4,1,0,2,1,0,0.3,"Yordan Alvarez",19556,670541
"Andrew Vaughn","MIL",15,47,55,14,9,4,0,1,8,7,6,0,5,2,0,0,2,0,0,0.29787234,"Andrew Vaughn",26197,683734
"Nick Allen","HOU",25,37,41,11,9,1,0,1,9,2,3,0,6,1,0,0,1,1,0,0.297297297,"Nick Allen",22277,669397
"Austin Martin","MIN",47,138,165,41,30,9,0,2,19,15,23,0,25,3,1,0,4,7,4,0.297101449,"Austin Martin",27462,668885
"Carson Kelly","CHC",39,125,142,37,29,6,0,2,17,17,15,0,26,2,0,0,3,0,0,0.296,"Carson Kelly",13620,608348
"Casey Schmitt","SFG",45,169,183,50,29,9,1,11,25,29,7,0,36,5,2,0,2,3,1,0.295857988,"Casey Schmitt",27577,669477
"Bobby Witt Jr.","KCR",53,210,235,62,40,14,1,7,25,23,23,2,41,0,2,0,6,16,3,0.295238095,"Bobby Witt Jr.",25764,677951
"Ryan Jeffers","MIN",37,122,147,36,21,7,1,7,26,26,23,0,23,1,1,0,2,1,0,0.295081967,"Ryan Jeffers",24618,680777
"Ernie Clement","TOR",52,200,209,59,39,17,0,3,20,18,8,0,18,0,1,0,4,2,0,0.295,"Ernie Clement",20352,676391
"Starling Marte","KCR",21,51,57,15,12,3,0,0,3,2,4,0,16,1,1,0,1,0,1,0.294117647,"Starling Marte",9241,516782
"P.J. Higgins","CIN",8,17,21,5,5,0,0,0,1,3,1,0,7,0,1,2,0,0,0,0.294117647,"P.J. Higgins",18433,664731
"Juan Soto","NYM",37,136,159,40,25,4,1,10,22,21,22,5,24,0,1,0,1,5,1,0.294117647,"Juan Soto",20123,665742
"Brandon Lockridge","MIL",28,85,96,25,21,4,0,0,9,12,10,0,25,0,0,1,0,5,0,0.294117647,"Brandon Lockridge",21496,663604
"Jhostynxon Garcia","PIT",5,17,18,5,5,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0.294117647,"Jhostynxon Garcia",28142,691373
