"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Arraez, Luis","650333","195","14.9",40,"101","87.3","94.1","88.8","86.6","376","163","345","40",20.5,"0",0,0
"Hoerner, Nico","663538","193","13.4",39.4,"105.8","85.3","95.6","89","83","400","166","383","50",25.9,"3",1.6,1.3
"Albies, Ozzie","645277","184","17",33.2,"107.7","86.3","96.6","90.7","83.2","414","175","386","48",26.1,"7",3.8,3
"Clement, Ernie","676391","183","15.3",31.1,"109.7","85.8","95.7","89.6","84.1","383","157","370","47",25.7,"4",2.2,1.9
"Bichette, Bo","666182","178","7.3",32.6,"114.9","90.9","101.4","93.1","89.8","409","152","389","80",44.9,"13",7.3,5.6
"Simpson, Chandler","802415","177","2.2",28.2,"106.3","84.1","92.9","85","84.6","335","109",,"28",15.9,"0",0,0
"Edwards, Xavier","669364","176","11.9",39.2,"105.7","87.6","97.3","91.9","83.6","422","160","396","59",33.5,"11",6.3,4.8
"Garcia, Maikel","672580","175","8.4",32.6,"110.6","90.2","100.6","92.2","90.3","412","158","398","74",42.3,"8",4.6,3.5
"Lopez, Otto","672640","174","6.3",29.9,"112.8","90.6","101.5","93.9","88.1","415","150","396","78",44.8,"14",8,6.3
"Lile, Daylen","695734","173","17.1",35.3,"109.5","87.9","98.6","91.1","84.6","429","181","405","65",37.8,"14",8.1,6
"Witt Jr., Bobby","677951","171","15.4",37.4,"115.6","93.3","103.7","96.4","92.7","427","182","404","91",53.2,"21",12.3,8.9
"Ramírez, José","608070","170","21",35.9,"110.8","90.2","100.1","93.2","88.8","410","190","396","73",43.2,"14",8.2,5.8
"Bregman, Alex","608324","169","14.2",31.4,"108.3","88.9","99.2","92.6","87.7","408","155","390","73",43.2,"10",5.9,4.2
"Guerrero Jr., Vladimir","665489","168","8.9",31,"116","90.4","102.1","91.8","91.1","437","141","412","72",42.9,"12",7.1,5.4
"McGonigle, Kevin","805808","165","20.4",40.6,"109.5","88.1","98.5","92.8","80.3","413","187","402","61",37,"16",9.7,7
"Contreras, William","661388","165","10.8",29.7,"111.9","90.5","101.2","94.7","89.1","419","150","406","74",44.8,"12",7.3,5.7
"Rodríguez, Julio","677594","165","12.4",29.7,"113","89.9","102.4","94.2","87.3","436","160","413","70",42.4,"13",7.9,5.5
"Marte, Ketel","606466","164","9.7",32.9,"116.9","91.7","103.5","94.9","89.7","443","158","411","76",46.3,"19",11.6,9
"Naylor, Josh","647304","164","15.3",33.5,"111.5","87.7","99.4","91.7","87.1","433","155","402","68",41.5,"10",6.1,4.6
"Kwan, Steven","680757","163","14.5",34.4,"100.8","82","91.3","85.9","79.4","381","149","381","15",9.3,"1",0.6,0.5
"Turner, Trea","607208","163","11.1",32.5,"109.7","90.2","99.4","91.3","90.2","423","161","388","66",40.5,"8",4.9,3.5
"Vargas, Ildemaro","545121","162","11.3",30.9,"109","87.2","97.8","91.4","86.6","431","148","399","53",32.7,"6",3.7,3.2
"Burleson, Alec","676475","162","10.7",32.7,"111.6","91.3","101.8","96.1","87.1","432","166","408","78",48.1,"17",10.5,7.8
"Bellinger, Cody","641355","161","20.2",41.6,"109.3","89.9","99","92.8","88.6","402","186","379","65",40.4,"12",7.5,5.4
"Schanuel, Nolan","694384","160","10.8",36.3,"106.6","87","97.1","89.7","85.6","392","148","371","51",31.9,"5",3.1,2.4
"DeLauter, Chase","800050","159","14",36.5,"111.2","90.2","100.3","94","88.8","422","166","376","64",40.5,"10",6.3,4.8
"Lee, Jung Hoo","808982","159","11.4",36.5,"107.6","88","96.8","89.6","87.4","374","163","363","50",31.4,"3",1.9,1.6
"Rumfield, TJ","681198","159","12.3",41.5,"107.6","85.8","98.3","92.2","78.9","440","175","412","58",36.5,"13",8.2,6.1
"Díaz, Yandy","650490","158","5.6",29.1,"113.7","90.3","102.2","93.9","88.8","439","149","383","70",44.6,"13",8.2,6.3
"Perez, Salvador","521692","158","16.5",33.5,"111.2","88.8","100.1","92.8","84.9","425","174","392","64",40.5,"14",8.9,6.6
"Adell, Jo","666176","157","19.4",33.8,"114.9","91.5","102.6","94.8","89.1","449","176","412","73",46.5,"13",8.3,5.8
"Dubón, Mauricio","643289","156","15.6",37.8,"106.3","87","96.8","90.8","83.7","413","173","389","45",28.8,"8",5.1,3.9
"Caminero, Junior","691406","156","10.2",25.6,"116.9","92.2","104.8","97","90.6","450","147","407","71",45.8,"20",12.8,9.1
"Abreu, Wilyer","677800","156","17.3",31.4,"113.1","90","100.8","93.4","87.2","427","187","391","66",42.3,"18",11.5,8.2
"Olson, Matt","621566","155","16.6",32.9,"111.6","93","104.5","98.1","88.6","441","184","413","79",51,"24",15.5,10.1
"Harper, Bryce","547180","154","12.7",38.3,"112.5","89.3","101.2","94.5","84.3","457","175","411","63",40.9,"21",13.6,9.5
"Henderson, Gunnar","683002","154","14.8",29.9,"111.9","89.9","100.5","95.5","85.2","410","174","387","68",44.2,"15",9.7,6.3
"Semien, Marcus","543760","154","18",32.5,"107.5","85.7","96.7","89.9","80.1","407","177","396","50",32.5,"11",7.1,5.2
"Jung, Josh","673962","154","11.2",39.6,"110.1","90","100.5","93.3","86.7","412","166","378","71",46.1,"9",5.8,4.5
"Herrera, Iván","671056","154","7.8",31.2,"112.3","89.4","100.9","94.3","87.6","429","144","403","66",42.9,"11",7.1,4.7
"Stewart, Sal","701398","154","14.1",35.7,"111.4","90.9","101.2","94.5","87.3","441","182","393","64",41.6,"25",16.2,11
"Pages, Andy","681624","154","14",35.1,"109.7","90","101.5","94","87.5","412","169","388","72",46.8,"12",7.8,5.6
"Wetherholt, JJ","802139","154","16.7",37.7,"108.7","90.2","99.7","95.3","83.6","425","186","394","70",45.5,"12",7.8,5.2
"Walker, Christian","572233","154","15.3",31.8,"112.2","91","102.4","94","89.4","432","172","393","73",47.4,"20",13,9.1
"Abrams, CJ","682928","153","16.4",33.3,"110.8","89.7","100.4","94","87.1","426","166","391","62",40.5,"17",11.1,7.5
"Alvarez, Yordan","670541","153","19.3",45.8,"117.8","93.9","105.2","96.3","90.5","424","215","393","79",51.6,"26",17,11.4
"Nimmo, Brandon","607043","153","9.7",35.3,"109","91.9","101.8","96.7","87","436","175","407","79",51.6,"18",11.8,8.1
"Langeliers, Shea","669127","153","20.4",35.9,"114.4","91.8","103.2","95.3","90.3","467","182","415","69",45.1,"22",14.4,10
"Hicks, Liam","689414","153","15.7",30.1,"107.5","87.3","98","90.6","86","431","169","378","55",35.9,"8",5.2,4.2
"Freeman, Freddie","518692","152","11",36.2,"110.3","91.9","101.5","96.4","87","438","174","401","72",47.4,"18",11.8,8.3
"Bohm, Alec","664761","152","11.6",36.2,"108.8","90","99.7","93.2","89.3","409","155","371","64",42.1,"5",3.3,2.5
"Perdomo, Geraldo","672695","150","12.2",32,"106.3","87.7","97.5","89.9","86.2","398","146","382","52",34.7,"6",4,2.9
"Pasquantino, Vinnie","686469","149","19.9",33.6,"108.1","88.9","98.9","93.6","86","422","178","398","53",35.6,"12",8.1,5.6
"Soderstrom, Tyler","691016","148","14.7",28.4,"113.2","90","101.3","94.5","87.1","420","164","393","65",43.9,"16",10.8,7.5
"Tucker, Kyle","663656","148","17.2",35.8,"107.2","89.1","99.1","91.1","87.1","435","177","397","63",42.6,"8",5.4,3.6
"Alonso, Pete","624413","148","15.4",32.4,"114.6","95.1","103.4","97.7","92.2","416","186","391","81",54.7,"20",13.5,8.8
"Rocchio, Brayan","677587","148","10.7",31.1,"109.6","86.2","97.5","88.6","86.9","402","142","381","48",32.9,"5",3.4,2.6
"Adames, Willy","642715","147","21.6",37.4,"108.1","88.8","99.4","91.5","85.8","402","182","376","61",41.5,"14",9.5,6.3
"Bogaerts, Xander","593428","146","8.8",31.5,"110.4","87.8","99.2","92.1","84.2","424","151","392","53",36.3,"10",6.8,5
"Keaschall, Luke","807712","146","16.7",33.6,"105.9","84.2","96","89.2","81.8","394","165","367","38",26,"5",3.4,2.5
"Vargas, Miguel","678246","145","19.6",40.7,"112.9","89.9","101.1","95.2","82.5","428","196","393","65",44.8,"22",15.2,10
"Baldwin, Drake","686948","145","12.1",42.1,"110.7","92.8","103.7","98.9","87","438","183","402","78",53.8,"27",18.6,12.5
"Tatis Jr., Fernando","665487","145","0.8",31.7,"113.5","90.8","104.4","96.3","86.9","393","137",,"79",54.5,"15",10.3,6.8
"Harris II, Michael","671739","144","11.4",27.8,"114.9","93.3","105.3","97.2","91.2","425","166","400","80",55.6,"23",16,12.2
"Chapman, Matt","656305","144","9.2",21.5,"113","87.5","99.6","93.8","86.4","386","130","349","48",33.3,"7",4.9,3.2
"De La Cruz, Elly","682829","144","12.9",37.5,"116.3","94.1","105","95.2","92.6","442","175","394","75",52.1,"21",14.6,9.1
"Frelick, Sal","686217","144","8.3",27.8,"107.2","85.3","96.2","87.9","84.8","407","130","402","36",25,"4",2.8,2.2
"Wilson, Jacob","805779","143","7.3",32.2,"105.4","84.3","96.2","86.7","83.5","386","135","368","43",30.1,"3",2.1,1.8
"Paredes, Isaac","670623","142","25.1",35.9,"106","87.7","96.8","90.9","85.5","383","190","372","40",28.2,"7",4.9,3.5
"Lee, Brooks","686797","142","12.2",35.9,"108","87.2","96.4","91.8","82.9","383","160","364","40",28.2,"6",4.2,3.1
"Varsho, Daulton","662139","142","14.1",38,"110.4","86.4","98.8","91.3","83","405","166","387","56",39.4,"9",6.3,4.5
"Arozarena, Randy","668227","142","6.8",35.2,"113","91.1","100.4","94.7","88.7","426","149","379","61",43,"10",7,4.4
"Young, Cole","702284","142","17.2",36.6,"111.3","88.2","99.2","92.5","86.1","423","168","395","56",39.4,"9",6.3,4.3
"Ward, Taylor","621493","141","13.2",35.5,"109.5","88.9","98.9","92.4","85.9","404","171","390","53",37.6,"6",4.3,2.5
"Devers, Rafael","646240","140","11.3",32.1,"112.4","91","101.9","95.4","87.9","441","169","402","66",47.1,"14",10,6.4
"Riley, Austin","663586","140","17.9",31.4,"111.9","90.9","102.1","94.8","87.8","438","171","409","64",45.7,"14",10,6.3
"Bell, Josh","605137","140","14.8",35,"112.3","89.9","100.2","94.2","85.6","429","178","397","60",42.9,"14",10,6.9
"Gonzales, Nick","693304","140","5.9",32.1,"109.7","86.9","98.7","91.6","83.4","373","138",,"57",40.7,"2",1.4,1.1
"Busch, Michael","683737","139","14.8",33.1,"108.7","88.5","99.6","92.9","83.6","427","173","396","61",43.9,"18",12.9,7.9
"Young, Jacob","696285","139","11.1",38.1,"110.1","88.7","98.5","90.1","88.1","403","170","390","49",35.3,"8",5.8,4.4
"Steer, Spencer","668715","139","18.7",43.2,"107.2","90","99.4","93.5","86.9","411","191","392","52",37.4,"19",13.7,9.6
"Giménez, Andrés","665926","139","10",26.6,"108.9","85.7","95.4","89.4","84.2","406","140","382","34",24.5,"5",3.6,2.7
"Meidroth, Chase","805367","139","7.5",30.9,"107.7","87.8","97.6","91.5","85.4","417","137","380","54",38.8,"7",5,3.3
"Walker, Jordan","691023","138","14.6",34.8,"115.6","94.5","105.8","96.4","94.6","459","183","406","72",52.2,"23",16.7,10.7
"McNeil, Jeff","643446","138","11.4",39.1,"105","86.4","96.7","89.9","84.3","395","147","380","46",33.3,"2",1.4,1.1
"Burger, Jake","669394","137","12.8",32.8,"113.6","90.6","102.9","94.7","88.8","438","164","393","68",49.6,"14",10.2,6.8
"Marsh, Brandon","669016","137","11.2",42.3,"110.1","89.8","100.1","92.6","88.4","454","168","398","64",46.7,"8",5.8,4.3
"Martínez, Angel","682657","137","14.2",32.8,"110.1","88.1","100.2","91.3","86.2","407","156","388","50",36.8,"12",8.8,6.6
"Marsee, Jakob","805300","137","20.9",29.2,"110.9","87.4","98.4","91.7","86","398","175","374","51",37.2,"5",3.6,2.2
"Reynolds, Bryan","668804","136","3.2",29.4,"113.7","90.5","101.6","94.6","87.7","443","138","415","58",42.6,"10",7.4,4.4
"Neto, Zach","687263","135","22.4",35.6,"109.6","89.9","99.3","94.8","81.5","443","191","399","53",39.3,"17",12.6,6.9
"Schmitt, Casey","669477","135","20.7",35.6,"112.3","89.7","101","92.9","87.5","410","184","388","62",45.9,"20",14.8,10.9
"McLain, Matt","680574","135","20.3",36.3,"110.5","88.1","98.4","90.3","86.7","421","186","398","50",37,"10",7.4,4.8
"Lowe, Brandon","664040","135","16.8",37.8,"111.1","89.6","101.6","96.1","83.6","444","191","397","63",46.7,"17",12.6,8.2
"Stott, Bryson","681082","135","16.7",32.6,"109.6","89.7","99.1","93","88","412","174","390","53",39.3,"8",5.9,4.5
"Ohtani, Shohei","660271","135","13",40,"114.6","93.1","102.5","96.5","89.2","438","183","400","66",48.9,"22",16.3,9.6
"Machado, Manny","592518","135","10.6",29.6,"109.6","90.2","101.1","94.4","89","436","153","396","58",43,"9",6.7,4.3
"Merrill, Jackson","701538","135","12.6",34.1,"108.7","89.6","100.4","95.8","83.9","436","162","408","63",46.7,"12",8.9,5.9
"Crow-Armstrong, Pete","691718","135","18.2",28.1,"111.5","90.9","101.9","94.3","89.8","410","158","386","63",46.7,"12",8.9,5.6
"Benge, Carson","701807","135","9.6",40,"108.9","90.2","100.9","93.7","88","436","162","403","60",44.4,"11",8.1,5.8
"Buxton, Byron","621439","135","23.8",33.3,"110.4","89.7","101.3","95.5","82.7","438","203","395","62",45.9,"27",20,13.2
"García Jr., Luis","671277","134","13",30.6,"110.9","92.3","102","95.3","91.9","405","156","388","63",47,"8",6,4.8
"Winn, Masyn","691026","133","13.8",33.1,"108.5","86.7","97.1","88.8","87.5","373","149","373","39",29.3,"4",3,2.1
"Dingler, Dillon","693307","132","14.6",40.2,"110.8","90","101.6","96.2","83.5","443","180","399","65",49.2,"18",13.6,9.2
"Arenado, Nolan","571448","132","19.2",38.6,"107.5","85.6","97.2","89.9","83.7","411","174","401","42",31.8,"9",6.8,4.8
"Aranda, Jonathan","666018","132","15",37.1,"107.5","89.8","99.8","92.8","85.8","415","181","396","56",42.4,"13",9.8,6
"Trout, Mike","545361","132","20.9",33.3,"114.6","91.4","103.7","95.8","87.1","446","204","407","64",48.5,"27",20.5,11.3
"Greene, Riley","682985","132","15.5",40.9,"112.4","90.5","102.7","96.1","84.9","417","184","409","66",50,"17",12.9,7.6
"Turang, Brice","668930","131","8.2",38.9,"109.6","91.3","101.4","96.9","85.4","433","167","400","61",46.6,"11",8.4,5.1
"Duran, Jarren","680776","131","15.4",26,"114.7","90.2","102","95.2","90.1","424","150","387","53",40.5,"14",10.7,6.8
"Carroll, Corbin","682998","130","13.3",33.8,"111.8","91.7","102.2","96.4","88","448","176","417","64",49.2,"19",14.6,9.1
"Altuve, Jose","514888","130","8.3",33.1,"107.3","86.3","98.4","93.8","81.8","390","143","373","48",36.9,"8",6.2,4.3
"Wood, James","695578","130","9.6",39.2,"116.3","96.2","106.8","100.8","90.4","442","198","406","77",59.2,"33",25.4,13
"Swanson, Dansby","621020","130","14.3",27.7,"110.3","89.9","99.8","95.3","84.6","430","164","398","58",44.6,"11",8.5,5.6
"Rafaela, Ceddanne","678882","129","9.3",38,"108.6","87.1","98.2","91.7","82.2","379","162","364","50",38.8,"10",7.8,5.3
"Grisham, Trent","663757","129","17.1",31,"111.6","91.1","100.8","95.3","88.9","412","187","381","61",47.3,"18",14,9.2
"Cruz, Oneil","665833","128","6.1",32,"119","95.9","107","100.4","93.6","444","163","410","78",60.9,"22",17.2,9.5
"Tovar, Ezequiel","678662","128","13.9",38.3,"108.9","87.5","99","93.7","80.8","413","166","401","46",35.9,"8",6.3,4.2
"O'Hearn, Ryan","656811","127","12",30.7,"108.1","90.3","99.9","94","87","413","162","392","57",44.9,"9",7.1,4.9
"Contreras, Willson","575929","127","14.9",33.9,"113.2","90.1","102.9","95.6","86.6","449","170","410","56",44.1,"20",15.7,9.5
"Vientos, Mark","668901","127","13.7",33.9,"110.2","90.6","101.2","93.3","89.4","434","164","406","59",46.5,"13",10.2,7.6
"Chisholm Jr., Jazz","665862","127","16.9",29.1,"110.9","88.7","99.1","93.1","84.2","413","162","377","46",36.2,"7",5.5,3.3
"Crawford, J.P.","641487","127","11.9",36.2,"107.8","88.2","98.6","93.8","86.2","395","149","376","46",36.2,"10",7.9,5.3
"Horwitz, Spencer","687462","125","15.2",28,"108","86.4","97","90.6","85","409","154","380","39",31.5,"5",4,2.8
"Mullins, Cedric","656775","125","29.2",28,"107.9","87.7","97.4","92.9","84","403","182","379","38",30.9,"2",1.6,1.2
"Judge, Aaron","592450","125","15.2",35.2,"116.2","93.8","105.3","100.6","87","456","198","404","69",55.2,"29",23.2,12.4
"Rice, Ben","700250","124","13.3",40.3,"110.9","92.6","102.8","96.4","88.5","427","183","389","66",53.2,"23",18.5,11.6
"Nuñez, Nasim","683083","124","9.2",29.8,"105.8","84.5","94","88.7","82","355","135",,"23",18.5,"0",0,0
"Andujar, Miguel","609280","124","7.5",29.8,"109","88.8","100.3","93","87.8","412","143","394","49",39.5,"6",4.8,3.9
